Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGNGA10D,Nigeria 10-year Bond Yield,Government Bond Yields,Nigeria Naira,Nigeria,,,,,,,Percent per Annum,Units,Stock,none,Daily From Dec 2007 To Sep 2022<BR>,,
Date,Ticker,Close,Annual_Percent_Change
12/31/2007,IGNGA10D,10.933,
01/31/2008,IGNGA10D,10.641,
02/29/2008,IGNGA10D,10.694,
03/31/2008,IGNGA10D,10.609,
04/30/2008,IGNGA10D,10.569,
05/31/2008,IGNGA10D,10.639,
06/30/2008,IGNGA10D,12.559,
07/31/2008,IGNGA10D,12.713,
08/31/2008,IGNGA10D,12.869,
09/30/2008,IGNGA10D,12.534,
10/31/2008,IGNGA10D,12.244,
11/30/2008,IGNGA10D,12.094,
12/31/2008,IGNGA10D,12.26,12.1375651696698
01/31/2009,IGNGA10D,12.132,14.0118409923879
02/28/2009,IGNGA10D,12.116,13.8614791842872
03/31/2009,IGNGA10D,11.535,8.72843811857857
04/30/2009,IGNGA10D,11.453,8.36408364083639
05/31/2009,IGNGA10D,11.32,6.40097753548267
06/30/2009,IGNGA10D,11.082,-11.7604904849112
07/31/2009,IGNGA10D,9.934,-21.8595138834264
08/31/2009,IGNGA10D,9.224,-28.3238790892843
09/30/2009,IGNGA10D,9.064,-27.6846976224669
10/31/2009,IGNGA10D,7.423,-39.37438745508
11/30/2009,IGNGA10D,8.278,-31.5528361170828
12/31/2009,IGNGA10D,8.636,-29.5595432300163
01/31/2010,IGNGA10D,7.986,-34.1740850642928
02/28/2010,IGNGA10D,6.825,-43.6695278969957
03/31/2010,IGNGA10D,6.018,-47.8283485045514
04/30/2010,IGNGA10D,6.367,-44.4075788003143
05/31/2010,IGNGA10D,6.464,-42.8975265017668
06/30/2010,IGNGA10D,7.147,-35.5080310413283
07/31/2010,IGNGA10D,7.847,-21.0086571371049
08/31/2010,IGNGA10D,8.299,-10.0281873373808
09/30/2010,IGNGA10D,8.305,-8.37378640776699
10/31/2010,IGNGA10D,8.314,12.0032331941264
11/30/2010,IGNGA10D,8.321,0.519449142304896
12/31/2010,IGNGA10D,8.335,-3.48540991199628
01/31/2011,IGNGA10D,8.357,4.64562985224142
02/28/2011,IGNGA10D,11.949,75.0769230769231
03/31/2011,IGNGA10D,11.908,97.8730475240944
04/30/2011,IGNGA10D,12.584,97.6441024030155
05/31/2011,IGNGA10D,12.338,90.8725247524752
06/30/2011,IGNGA10D,12.718,77.9487897019729
07/31/2011,IGNGA10D,12.749,62.4697336561743
08/31/2011,IGNGA10D,11.475,38.2696710447042
09/30/2011,IGNGA10D,11.515,38.6514148103552
10/31/2011,IGNGA10D,16.354,96.7043541015155
11/30/2011,IGNGA10D,13.263,59.3919000120178
12/31/2011,IGNGA10D,15.273,83.2393521295741
01/31/2012,IGNGA10D,16.243,94.3640062223286
02/29/2012,IGNGA10D,16.213,35.6849945602143
03/31/2012,IGNGA10D,15.346,28.8713469936177
04/30/2012,IGNGA10D,15.351,21.9882390336936
05/31/2012,IGNGA10D,15.477,25.4417247527963
06/30/2012,IGNGA10D,16.215,27.4964617078157
07/31/2012,IGNGA10D,16.178,26.896227155071
08/31/2012,IGNGA10D,13.168,14.7538126361656
09/30/2012,IGNGA10D,12.84,11.5067303517151
10/31/2012,IGNGA10D,13.1,-19.8972728384493
11/30/2012,IGNGA10D,12.208,-7.95445977531478
12/31/2012,IGNGA10D,12.006,-21.3906894519741
01/31/2013,IGNGA10D,11.271,-30.6101089700178
02/28/2013,IGNGA10D,10.615,-34.6487717786123
03/31/2013,IGNGA10D,10.979,-28.4569268864851
04/30/2013,IGNGA10D,11.782,-23.249299719888
05/31/2013,IGNGA10D,12.311,-20.4561607546682
06/30/2013,IGNGA10D,13.916,-14.1782300339192
07/31/2013,IGNGA10D,13.746,-15.0327605390036
08/31/2013,IGNGA10D,13.668,3.79708383961118
09/30/2013,IGNGA10D,13.297,3.55919003115265
10/31/2013,IGNGA10D,12.353,-5.70229007633588
11/30/2013,IGNGA10D,12.768,4.58715596330276
12/31/2013,IGNGA10D,13.255,10.4031317674496
01/31/2014,IGNGA10D,13.739,21.8969035578032
02/28/2014,IGNGA10D,13.875,30.7112576542628
03/31/2014,IGNGA10D,14.116,28.5727297568085
04/30/2014,IGNGA10D,13.032,10.6094041758615
05/31/2014,IGNGA10D,12.704,3.19226707822273
06/30/2014,IGNGA10D,12.047,-13.430583501006
07/31/2014,IGNGA10D,12.022,-12.5418303506475
08/31/2014,IGNGA10D,11.899,-12.9426397424642
09/30/2014,IGNGA10D,12.45,-6.3698578626758
10/31/2014,IGNGA10D,12.601,2.00760948757388
11/30/2014,IGNGA10D,13.165,3.10933583959899
12/31/2014,IGNGA10D,15.13,14.1456054319125
01/31/2015,IGNGA10D,15.074,9.71686440061139
02/28/2015,IGNGA10D,15.951,14.9621621621622
03/31/2015,IGNGA10D,14.986,6.1632190422216
04/30/2015,IGNGA10D,14.062,7.90362185389809
05/31/2015,IGNGA10D,13.809,8.69804785894205
06/30/2015,IGNGA10D,14.702,22.0386818295011
07/31/2015,IGNGA10D,14.915,24.0642156047247
08/31/2015,IGNGA10D,15.923,33.8179678964619
09/30/2015,IGNGA10D,15.119,21.4377510040161
10/31/2015,IGNGA10D,13.431,6.5867788270772
11/30/2015,IGNGA10D,11.328,-13.9536650208887
12/31/2015,IGNGA10D,11.085,-26.7349636483807
01/31/2016,IGNGA10D,12.054,-20.0344964840122
02/29/2016,IGNGA10D,12.089,-24.2116481725284
03/31/2016,IGNGA10D,12.342,-17.6431335913519
04/30/2016,IGNGA10D,12.883,-8.38429810837719
05/31/2016,IGNGA10D,13.732,-0.557607357520457
06/30/2016,IGNGA10D,13.931,-5.24418446469869
07/31/2016,IGNGA10D,15.695,5.22963459604426
08/31/2016,IGNGA10D,15.225,-4.3835960560196
09/30/2016,IGNGA10D,15.098,-0.138898075269522
10/31/2016,IGNGA10D,15.062,12.1435485071849
11/30/2016,IGNGA10D,15.928,40.6073446327684
12/31/2016,IGNGA10D,15.731,41.9124943617501
01/31/2017,IGNGA10D,16.17,34.1463414634147
02/28/2017,IGNGA10D,16.276,35.0257176041148
03/31/2017,IGNGA10D,15.83,28.2612218441095
04/30/2017,IGNGA10D,16.155,25.3978110688504
05/31/2017,IGNGA10D,16.155,17.6449169822313
06/30/2017,IGNGA10D,16.055,15.2465723925059
07/31/2017,IGNGA10D,16.251,3.54252946798344
08/31/2017,IGNGA10D,16.677,9.53694581280788
09/30/2017,IGNGA10D,15.792,4.59663531593588
10/31/2017,IGNGA10D,15.01,-0.34523967600584
11/30/2017,IGNGA10D,14.797,-7.10070316423908
12/31/2017,IGNGA10D,14.121,-10.2345686860339
01/31/2018,IGNGA10D,13.383,-17.2356215213358
02/28/2018,IGNGA10D,13.756,-15.4829196362743
03/31/2018,IGNGA10D,13.743,-13.1838281743525
04/30/2018,IGNGA10D,12.975,-19.6843082636955
05/31/2018,IGNGA10D,13.31,-17.6106468585577
06/30/2018,IGNGA10D,13.801,-14.0392401121146
07/31/2018,IGNGA10D,13.992,-13.9006830348902
08/31/2018,IGNGA10D,15.141,-9.21028962043533
09/30/2018,IGNGA10D,15.069,-4.57826747720364
10/31/2018,IGNGA10D,15.532,3.47768154563624
11/30/2018,IGNGA10D,15.837,7.0284517131851
12/31/2018,IGNGA10D,15.633,10.7074569789675
02/28/2019,IGNGA10D,14.195,3.19133469031695
03/31/2019,IGNGA10D,14.252,3.70370370370371
04/30/2019,IGNGA10D,14.494,11.7071290944123
05/31/2019,IGNGA10D,14.241,6.99474079639368
06/30/2019,IGNGA10D,14.212,2.97804506919788
07/31/2019,IGNGA10D,13.734,-1.84391080617496
08/31/2019,IGNGA10D,14.13,-6.67723400039627
09/30/2019,IGNGA10D,14.301,-5.09655584312164
10/31/2019,IGNGA10D,13.343,-14.0934844192635
11/30/2019,IGNGA10D,12.553,-20.7362505525036
12/31/2019,IGNGA10D,11.563,-26.0346702488326
