Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGROU10D,Romania 10-year Government Bond Yield,Government Bond Yields,Romania New Leu,Romania,,,,,,,Percent per Annum,Units,Stock,NA ,Annual From Dec 2001 To May 2002<BR>Monthly From Jun 2002 To Dec 2007<BR>Daily From Jan 2008 To Jun 2023<BR>,,
Date,Ticker,Close
12/31/2001,IGROU10D,34.7
05/31/2002,IGROU10D,26
06/30/2002,IGROU10D,26
07/31/2002,IGROU10D,25.5
08/31/2002,IGROU10D,24.8
09/30/2002,IGROU10D,23.9
10/31/2002,IGROU10D,22
11/30/2002,IGROU10D,15.7
12/31/2002,IGROU10D,14.2
01/31/2003,IGROU10D,14.2
02/28/2003,IGROU10D,14
03/31/2003,IGROU10D,13.9
04/30/2003,IGROU10D,14.1
05/31/2003,IGROU10D,14.7
06/30/2003,IGROU10D,14.4
07/31/2003,IGROU10D,14.5
08/31/2003,IGROU10D,13.9
09/30/2003,IGROU10D,13.9
10/31/2003,IGROU10D,13.9
11/30/2003,IGROU10D,13.9
12/31/2003,IGROU10D,13.9
01/31/2004,IGROU10D,13.9
02/29/2004,IGROU10D,13.9
03/31/2004,IGROU10D,13.9
04/30/2004,IGROU10D,13.9
05/31/2004,IGROU10D,13.9
06/30/2004,IGROU10D,13.9
07/31/2004,IGROU10D,13.99
08/31/2004,IGROU10D,13.54
09/30/2004,IGROU10D,13.14
10/31/2004,IGROU10D,12.75
11/30/2004,IGROU10D,11.8
12/31/2004,IGROU10D,11.49
01/31/2005,IGROU10D,11.49
02/28/2005,IGROU10D,8.27
03/31/2005,IGROU10D,6.92
04/30/2005,IGROU10D,6.75
05/31/2005,IGROU10D,6.75
06/30/2005,IGROU10D,7.07
07/31/2005,IGROU10D,7.13
08/31/2005,IGROU10D,7.13
09/30/2005,IGROU10D,7.13
10/31/2005,IGROU10D,6.84
11/30/2005,IGROU10D,6.98
12/31/2005,IGROU10D,7.15
01/31/2006,IGROU10D,7.07
02/28/2006,IGROU10D,6.97
03/31/2006,IGROU10D,7.07
04/30/2006,IGROU10D,6.94
05/31/2006,IGROU10D,7.04
06/30/2006,IGROU10D,7.12
07/31/2006,IGROU10D,7.11
08/31/2006,IGROU10D,7.41
09/30/2006,IGROU10D,7.49
10/31/2006,IGROU10D,7.56
11/30/2006,IGROU10D,7.56
12/31/2006,IGROU10D,7.42
01/31/2007,IGROU10D,7.39
02/28/2007,IGROU10D,7.52
03/31/2007,IGROU10D,7.53
04/30/2007,IGROU10D,7.39
05/31/2007,IGROU10D,7.39
06/30/2007,IGROU10D,7.04
07/31/2007,IGROU10D,6.83
08/31/2007,IGROU10D,6.87
09/30/2007,IGROU10D,6.84
10/31/2007,IGROU10D,6.85
11/30/2007,IGROU10D,6.96
12/31/2007,IGROU10D,7.05
01/31/2008,IGROU10D,7.9
02/29/2008,IGROU10D,8
03/31/2008,IGROU10D,8.15
04/30/2008,IGROU10D,8.004
05/31/2008,IGROU10D,7.9
06/30/2008,IGROU10D,7.8
07/31/2008,IGROU10D,8
08/31/2008,IGROU10D,7.9
09/30/2008,IGROU10D,8.01
10/31/2008,IGROU10D,7.5
11/30/2008,IGROU10D,8.015
12/31/2008,IGROU10D,9.501
01/31/2009,IGROU10D,9.25
02/28/2009,IGROU10D,9.75
03/31/2009,IGROU10D,9
