Date,ten_yr,five_yr,TermPremium
2020-06-30,13.911,13.711,0.1999999999999993
2020-07-31,14.459,14.401,0.05799999999999983
2020-08-31,14.747,14.523,0.2240000000000002
2020-09-30,14.578,14.478,0.09999999999999964
2020-10-31,14.687,14.532,0.15499999999999936
2020-11-30,14.478,14.177,0.30100000000000016
2020-12-31,14.481,14.154,0.32699999999999996
2021-01-31,14.481,14.02,0.4610000000000003
2021-02-28,14.649,14.435,0.21399999999999864
2021-03-31,14.915,14.531,0.38399999999999856
2021-04-30,15.349,14.953,0.3960000000000008
2021-05-31,14.894,14.616,0.27800000000000047
2021-06-30,14.823,14.571,0.25200000000000067
2021-07-31,15.316,15.058,0.2580000000000009
2021-08-31,15.272,14.87,0.402000000000001
2021-09-30,14.88,14.619,0.261000000000001
2021-10-31,14.913,14.608,0.3049999999999997
2021-11-30,14.915,14.575,0.33999999999999986
2021-12-31,14.893,14.494,0.3990000000000009
2022-01-31,14.893,14.505,0.3879999999999999
2022-02-28,14.891,14.496,0.3949999999999996
2022-03-31,15.51,15.33,0.17999999999999972
2022-04-30,15.27,15.06,0.20999999999999908
2022-05-31,17.28,16.61,0.6700000000000017
2022-06-30,17.017,16.344,0.6729999999999983
2022-07-31,17.994,17.84,0.15399999999999991
2022-08-31,18.565,18.565,0.0
2022-09-30,18.718,18.834,-0.11599999999999966
2022-10-31,18.03,18.48,-0.4499999999999993
2022-11-30,18.55,18.7,-0.14999999999999858
2022-12-31,18.3,18.32,-0.019999999999999574
2023-01-31,19.87,20.38,-0.509999999999998
2023-02-28,21.1,21.41,-0.3099999999999987
2023-03-31,22.42,23.04,-0.6199999999999974
2023-04-30,23.53,23.99,-0.4599999999999973
2023-05-31,23.98,24.14,-0.16000000000000014
2023-06-30,22.73,22.9,-0.16999999999999815
2023-07-31,23.21,23.63,-0.41999999999999815
2023-08-31,24.0,24.19,-0.19000000000000128
2023-09-30,25.418,24.43,0.9879999999999995
