Date,Volatility
2000-12,
2001-01,
2001-02,25.791899513502255
2001-03,39.432084406326894
2001-04,31.84767806245388
2001-05,15.755925826328063
2001-06,21.451919159969012
2001-07,20.936807229978797
2001-08,28.25210933150571
2001-09,35.80153706790172
2001-10,37.566032042381494
2001-11,20.631789840519396
2001-12,25.40066911428455
2002-01,10.801150055885177
2002-02,23.818961022607958
2002-03,15.38810136265748
2002-04,12.02794346295445
2002-05,10.216111047372426
2002-06,7.3173714107587315
2002-07,8.692388797334605
2002-08,10.63952019208226
2002-09,2.596916612510656
2002-10,3.7260842839944175
2002-11,4.155763018194466
2002-12,12.82660256667703
2003-01,8.218077405761244
2003-02,53.56637618271232
2003-03,28.926911635419582
2003-04,38.487746424420656
2003-05,40.962884433604074
2003-06,36.916292981117664
2003-07,36.87886033065578
2003-08,36.242318768070234
2003-09,45.51322741347809
2003-10,70.35481880548929
2003-11,50.9946499308692
2003-12,23.573079363275422
2004-01,72.56196597821672
2004-02,93.41407173322135
2004-03,36.6881812996394
2004-04,47.304709838119805
2004-05,70.10378813310176
2004-06,47.78459996782107
2004-07,48.88433322411256
2004-08,65.88065781983997
2004-09,136.52463284027678
2004-10,122.40406684703177
2004-11,112.91462728086294
2004-12,71.40387896640199
2005-01,156.3908210249435
2005-02,358.6747377901102
2005-03,360.6748573808523
2005-04,224.25467510810134
2005-05,192.51354721687852
2005-06,189.29198620704602
2005-07,254.6638454398807
2005-08,89.462549293153
2005-09,180.37501194269285
2005-10,243.97261938555428
2005-11,204.0399860686161
2005-12,192.39573202484422
2006-01,509.3116292436619
2006-02,678.8736248439211
2006-03,450.96752760201167
2006-04,297.17936189875877
2006-05,370.5879982678963
2006-06,533.3205894893423
2006-07,321.269402890278
2006-08,341.30835274121074
2006-09,209.72780947650512
2006-10,147.61170151573148
2006-11,120.28346190295252
2006-12,130.78826408111019
2007-01,207.88344037580646
2007-02,232.92813624146387
2007-03,212.95352686397175
2007-04,97.82497705607993
2007-05,131.29785351326996
2007-06,137.52204763138576
2007-07,262.3476346607055
2007-08,273.1071580935304
2007-09,326.3125250085585
2007-10,332.52116071694996
2007-11,270.69635295678654
2007-12,302.8725704655846
2008-01,404.64605861290244
2008-02,401.96294407425887
2008-03,504.6019513634556
2008-04,280.0928855232715
2008-05,446.38356013457076
2008-06,392.30640096089064
2008-07,493.58002325938605
2008-08,501.2927758593287
2008-09,504.784918467622
2008-10,909.3953502830217
2008-11,747.3624013612285
2008-12,522.8244898806483
2009-01,283.95405341777507
2009-02,419.5626249076266
2009-03,174.8654683976131
2009-04,431.4359629006881
2009-05,428.74099373469244
2009-06,337.18352034505983
2009-07,348.3932913791077
2009-08,398.7722569985962
2009-09,191.89191617742986
2009-10,156.7231944126516
2009-11,258.23211522543716
2009-12,288.293892303619
2010-01,172.09680156767845
2010-02,224.80116517055367
2010-03,162.23491654459474
2010-04,334.6856388738205
2010-05,425.5582579726807
2010-06,334.388979277556
2010-07,199.98444660691263
2010-08,181.71568714610262
2010-09,105.2982476494634
2010-10,133.57209861721736
2010-11,98.92116195606843
2010-12,90.74142862786168
2011-01,173.44573184163553
2011-03,740.254912327077
2011-04,794.6388700247206
2011-05,252.38254398319717
2011-06,206.91703744285712
2011-07,154.91035848244582
2011-08,232.10538843491082
2011-09,178.7036878256318
2011-10,247.06188141668935
2011-11,195.949730997282
2011-12,222.39038328108936
2012-01,190.56399295653927
2012-02,479.1247419713859
2012-03,319.37284972249006
2012-04,205.42278434873433
2012-05,166.93075285035465
2012-06,243.25047163907598
2012-07,311.98337762847166
2012-08,159.1327627183714
2012-09,268.8407236839737
2012-10,196.67250221737504
2012-11,148.56533641882325
2012-12,334.3332731064065
2013-01,269.55930399285864
2013-02,100.68373097519225
2013-03,170.67387728964664
2013-04,155.8061797655507
2013-05,109.86850339634412
2013-06,262.9784396435265
2013-07,381.61906981094955
2013-08,224.9822962466903
2013-09,168.32236256378326
2013-10,230.41402986775768
2013-11,247.70963053689158
2013-12,169.70992948745226
2014-01,237.6111977886219
2014-02,260.9339092177123
2014-03,290.6658650394775
2014-04,303.6157565787016
2014-05,263.2561976486866
2014-06,274.49591670178717
2014-07,182.58983559794976
2014-08,345.4247085008427
2014-09,246.40604699539415
2014-10,344.92288256233314
2014-11,436.1262649966274
2014-12,291.49377746950944
2015-01,416.76802156212057
2015-02,435.0712370598894
2015-03,217.73370943211594
2015-04,357.10277548678704
2015-05,238.3183086052815
2015-06,207.19149855058905
2015-07,371.1183681944887
2015-08,374.3792693588502
2015-09,451.6131739069518
2015-10,182.88455812449232
2015-11,355.79186337226383
2015-12,361.0582639125941
2016-01,347.78629276130886
2016-02,368.9978216463752
2016-03,384.17167510137307
2016-04,507.1838061878312
2016-05,167.27408819131938
2016-06,153.3725409059976
2016-07,322.18474227036324
2016-08,379.1389434984084
2016-09,183.5268784344377
2016-10,188.1863607066071
2016-11,939.0586736482963
2016-12,918.7198056603095
2017-01,609.9943699959629
2017-02,359.1958477876871
2017-03,379.81436699733143
2017-04,260.6242227003463
2017-05,235.19473064934184
2017-06,322.78661422228186
2017-07,219.98259985035435
2017-08,235.8284782727359
2017-09,287.6073427283503
2017-10,267.40341693748354
2017-11,252.4052495985031
2017-12,314.87662040671324
2018-01,281.77128373861194
2018-02,242.1997667490247
2018-03,671.388551113796
2018-04,677.8444674555366
2018-05,508.55522208240706
2018-06,570.606103561786
2018-07,342.8750620509983
2018-08,365.7616413680487
2018-09,397.1214456216627
2018-10,700.9319020949462
2018-11,415.30784413985475
2018-12,477.3158021020394
