Date,IMF_FCI
1991-01,-1.2111495101453877
1991-02,-1.3335354676295312
1991-03,-1.2797255496196611
1991-04,-1.2457796903916145
1991-05,-1.3018654241250935
1991-06,-1.1025366669077832
1991-07,-1.4570896211253794
1991-08,-1.3262436711788121
1991-09,-1.464173572878529
1991-10,-1.4424054044873507
1991-11,-2.7997695161007647
1991-12,-2.6461465954048378
1992-01,-2.326383748791021
1992-02,-2.1311047181130243
1992-03,-1.749608538847085
1992-04,-1.4718820154647205
1992-05,-1.6109633595105284
1992-06,-1.4898762716319796
1992-07,-1.2893380464813446
1992-08,-1.5623303063256546
1992-09,-1.414217131832055
1992-10,-1.3525307062307168
1992-11,-1.2674109628068098
1992-12,-1.0939099945716106
1993-01,-1.2126748915948322
1993-02,-0.9273349124487387
1993-03,-0.901134674807637
1993-04,-1.6406177671131326
1993-05,-3.2501286123589574
1993-06,-6.021969030319456
1993-07,-5.9194516529291965
1993-08,-5.60137464525648
1993-09,-5.9590653739793655
1993-10,-5.38417629549434
1993-11,-5.068393131674648
1993-12,-4.639258766373467
1994-01,-5.202844878860886
1994-02,-5.037951755168881
1994-03,-4.854458126801588
1994-04,-5.031469532396664
1994-05,-5.017410658019176
1994-06,-4.811667752960308
1994-07,-5.289148136851612
1994-08,-5.40088832862382
1994-09,-5.104981936094634
1994-10,-5.371536327719981
1994-11,-5.2788284446669484
1994-12,-4.951404701534589
1995-01,-4.814120936917957
1995-02,-4.740167102868975
1995-03,-4.7060957821399
1995-04,-4.66288115643449
1995-05,-4.536724583553658
1995-06,-4.6375658536227755
1995-07,-4.5043058104150155
1995-08,-4.10135391880009
1995-09,-4.013877786408829
1995-10,-4.101861883658427
1995-11,-4.109308020531542
1995-12,-3.917204261083057
1996-01,-3.8647349611856034
1996-02,-3.7106339130780057
1996-03,-3.6410520485643496
1996-04,-3.438142226558971
1996-05,-3.174086703242193
1996-06,-3.0068630386365034
1996-07,-2.7687006161092937
1996-08,-2.4595702372307633
1996-09,-2.2900287424351093
1996-10,-2.092654618213601
1996-11,-1.8984522541987756
1996-12,-1.810314507307581
1997-01,-1.6252123681796393
1997-02,-1.5213811239220676
1997-03,-1.5770219698306063
1997-04,-1.333666460731853
1997-05,-1.2628055646948133
1997-06,-1.2538476602874067
1997-07,-1.1952925761835937
1997-08,-1.272915230956743
1997-09,-1.3028954996759858
1997-10,-1.2565019881903652
1997-11,-1.381829043997649
1997-12,-1.39801269050358
1998-01,-1.279780489005334
1998-02,-1.3812726834291293
1998-03,-1.663270872118661
1998-04,-1.5761502240951057
1998-05,-1.6167199875579823
1998-06,-1.7401746864682073
1998-07,-1.7419504072367071
1998-08,-2.0035704552168205
1998-09,-2.359011484014264
1998-10,-2.465204861251117
1998-11,-2.4948991556438136
1998-12,-2.465112212730589
1999-01,-2.4362893445649614
1999-02,-2.4436312413658237
1999-03,-2.3648334220842133
1999-04,-2.2813766486514973
1999-05,-2.3573592559322636
1999-06,-2.4414338194457614
1999-07,-2.343824248651227
1999-08,-2.0858258466
1999-09,-2.030886982136616
1999-10,-2.021350590755517
1999-11,-1.9248389044830017
1999-12,-1.8077301178369767
2000-01,-1.9800320441095365
2000-02,-2.0660804932330823
2000-03,-2.1622991867033217
2000-04,-2.28541903720665
2000-05,-2.2457682460384905
2000-06,-2.098953514544254
2000-07,-1.9249549003236053
2000-08,-2.6483575241422552
2000-09,-2.2838686037971705
2000-10,-2.24483321085896
2000-11,-2.1681087335579834
2000-12,-2.1123266827720344
2001-01,-2.1118745622757684
2001-02,-2.188074269288859
2001-03,-2.0074243570014842
2001-04,-1.5107077037735939
2001-05,-1.3528112025048695
2001-06,-2.0432545395206105
2001-07,-1.9406501523089144
