Date,Policy Rate
10/2008,9.318181818181818
10/2009,7.309523809523809
10/2010,5.25
10/2011,6.0
10/2012,6.489130434782608
10/2013,3.5818181818181816
10/2014,2.1
10/2015,1.35
10/2016,0.9000000000000001
10/2017,0.9
10/2018,0.9000000000000001
10/2019,0.9
10/2020,0.6
10/2021,1.7071428571428573
10/2022,13.0
11/1995,28.0
11/1996,23.0
11/1997,20.5
11/1998,18.0
11/1999,15.227272727272727
11/2000,11.0
11/2001,10.431818181818182
11/2002,9.285714285714286
11/2003,9.65
11/2004,10.357142857142858
11/2005,6.0
11/2006,8.0
11/2007,7.5
11/2008,11.4
11/2009,6.880952380952381
11/2010,5.261904761904762
11/2011,6.023809523809524
11/2012,6.2125
11/2013,3.37
11/2014,2.1
11/2015,1.35
11/2016,0.9000000000000001
11/2017,0.9000000000000001
11/2018,0.9000000000000001
11/2019,0.9000000000000001
11/2020,0.6
11/2021,1.942857142857143
11/2022,13.0
12/1995,28.0
12/1996,23.0
12/1997,20.5
12/1998,17.434782608695652
12/1999,14.826086956521738
12/2000,11.0
12/2001,9.892857142857142
12/2002,8.75
12/2003,12.5
12/2004,9.818181818181818
12/2005,6.0
12/2006,8.0
12/2007,7.5
12/2008,10.547619047619047
12/2009,6.431818181818182
12/2010,5.586956521739131
12/2011,6.666666666666667
12/2012,5.892857142857143
12/2013,3.1333333333333337
12/2014,2.1
12/2015,1.35
12/2016,0.9000000000000001
12/2017,0.9
12/2018,0.9
12/2019,0.8999999999999999
12/2020,0.6
12/2021,2.256521739130435
12/2022,13.0
