date,value,gdp,money_velocity,mo12m
2004-03-01,340647,214304.7,0.6291107803679469,NA
2004-04-01,349390,215419.6531972363,0.6165592981975337,NA
2004-05-01,345587,221383.07249439863,0.6406001165969745,NA
2004-06-01,351484,226018.2,0.6430397969751113,NA
2004-07-01,350945,225700.02176909585,0.6431207789513909,NA
2004-08-01,354859,224589.72504872063,0.6328984893964099,NA
2004-09-01,354378,228868.4,0.6458312874952734,NA
2004-10-01,373500,242331.08847187264,0.6488114818524033,NA
2004-11-01,359696,257030.70360852388,0.7145775977729079,NA
2004-12-01,371270,263900.2,0.7108039970910658,NA
2005-01-01,377234,255743.9869514085,0.6779452195491618,NA
2005-02-01,382284,241923.9186826317,0.6328382006116701,NA
2005-03-01,391183,230098.9,0.5882129335886273,-0.06500897466007462
2005-04-01,397641,229721.51038695683,0.5777108255611388,-0.06300849366794985
2005-05-01,405245,236400.2878601626,0.583351522807592,-0.08936712983054255
2005-06-01,404858,242441.24,0.5988303059344263,-0.06875078533031458
2005-07-01,403389,242999.628126835,0.6023952763383112,-0.06332481229961592
2005-08-01,409915,241731.53873613957,0.5897113761051427,-0.06823703013172686
2005-09-01,414129,244647.8,0.5907526398779124,-0.08528333743472305
2005-10-01,422355,255509.27297561936,0.6049632962214709,-0.06758232068542111
2005-11-01,421693,267667.86770970956,0.6347458167664854,-0.11171884097014874
2005-12-01,427121,273342.5,0.6399650216215077,-0.09966035047560719
2006-01-01,422117,266386.6645820174,0.6310730545844337,-0.06913857287156376
2006-02-01,431533,254729.5308327566,0.5902898059540211,-0.06723423873041127
2006-03-01,433717,244896.2,0.5646451487951821,-0.04006675720246487
2006-04-01,438928,244897.06397993112,0.5579435897913351,-0.03421648841460357
2006-05-01,449315,250997.612227828,0.5586228196873642,-0.042390740665614254
2006-06-01,454384,256604.7,0.5647309324271982,-0.05694329957803124
2006-07-01,456528,257768.4616819434,0.5646279345011552,-0.06269528218535615
2006-08-01,463244,258372.7074394684,0.5577464736498873,-0.05420431714642083
2006-09-01,469491,264324.1,0.5630014206875105,-0.04697603923722982
2006-10-01,476372,279358.6407607464,0.5864295986345679,-0.030636069498203147
2006-11-01,483259,295429.8905849625,0.6113282744552352,-0.03689278714831651
2006-12-01,495308,303606.4,0.6129648622675185,-0.04219005483389975
2007-01-01,503573,296670.4676890517,0.5891310052148382,-0.06646148027539332
2007-02-01,509353,283835.3888998851,0.5572469169709123,-0.05597740067644432
2007-03-01,511981,272905.4,0.5330381400872298,-0.05597676483255742
2007-04-01,516999,273121.4213518991,0.5282823010332691,-0.053161805782478755
2007-05-01,521239,279997.44496929506,0.5371766981543881,-0.03839105882745448
2007-06-01,521381,285685.6,0.5479401819398865,-0.029732301744382097
2007-07-01,527692,285494.91607567144,0.5410256666306699,-0.041801452652777085
2007-08-01,538037,284555.478742137,0.5288771566679188,-0.051760644568576056
2007-09-01,537330,290508.5,0.540651927121136,-0.03969704648184078
2007-10-01,541940,308146.3204967341,0.5685985911664282,-0.03040604960878015
2007-11-01,548957,327749.076650122,0.5970396163089677,-0.02337313476789588
2007-12-01,561624,338408.6,0.6025536657977579,-0.01698498088658257
2008-01-01,568638,331135.1279304859,0.5823302838193822,-0.011543648755977355
2008-02-01,577953,315659.27068640466,0.5461677172476044,-0.019882029645910584
2008-03-01,581825,302030.85,0.5191094401237485,-0.02613077548484984
2008-04-01,594317,300375.55730957433,0.5054130326232874,-0.043289862948752277
2008-05-01,600134,306069.8710298389,0.5100025511466422,-0.05058698022663647
2008-06-01,606585,311056.71,0.5127998714112615,-0.06413165467116658
2008-07-01,616093,310319.86424139555,0.5036899692763845,-0.06900910558791006
2008-08-01,628647,308810.90936042706,0.49123102370714733,-0.07118124215829842
2008-09-01,630462,314013.41,0.4980687337222544,-0.07876267754307027
2008-10-01,635740,330558.8442077551,0.5199591723153414,-0.0855426299092783
2008-11-01,648297,348960.8348611789,0.5382730983811106,-0.09842984673473576
2008-12-01,666230,358469.83,0.5380571724479535,-0.10703858761594881
2009-01-01,668851,350352.2599434635,0.523812119505635,-0.10048964640811545
2009-02-01,680926,335020.3868936055,0.49200704172495324,-0.09916491548711853
2009-03-01,683674,321110.2,0.4696832115891492,-0.0952135035780061
2009-04-01,680027,319320.19456039637,0.4695698767260658,-0.07091854302051111
2009-05-01,685394,325095.869979266,0.4743196905418869,-0.06996604335513473
2009-06-01,693692,330450,0.47636415008389893,-0.07105251650529645
2009-07-01,689427,330478.8382512245,0.479352909374342,-0.04831753933278811
2009-08-01,685391,330255.22415655473,0.481849373797664,-0.019098243915222027
2009-09-01,691270,337326.1,0.48798023926974987,-0.02025522537242889
2009-10-01,711195,356217.0441020964,0.5008711311273228,-0.03671065384426406
2009-11-01,699861,375711.4944925909,0.5368373069689423,-0.0026674032502953427
2009-12-01,720230,383138.2,0.5319664551601572,-0.011319832909365161
2010-01-01,711032,368700.1302601337,0.5185422460031809,-0.010060617741009375
2010-02-01,715594,346661.49687680503,0.48443879752597846,-0.015382390000844052
2010-03-01,721507,328151.3,0.4548137440107996,-0.03165850345819159
2010-04-01,721224,327419.5045006924,0.4539775499715656,-0.03320555156393979
2010-05-01,737851,337697.50955838576,0.45767710494176433,-0.03508727537983763
2010-06-01,742767,347247.3,0.46750501839742475,-0.018597393789843073
2010-07-01,743273,348752.83763271035,0.46921230507863243,-0.021154777821094737
2010-08-01,749565,348025.6477349978,0.4643034930059405,-0.036413621654080054
2010-09-01,752867,354441.3,0.4707887316086374,-0.03522992588150527
2010-10-01,756555,373866.10167043825,0.4941690976471483,-0.013380754177407138
2010-11-01,763353,394919.3139867564,0.5173482176486585,-0.03630353007752369
2010-12-01,783648,404528.4,0.5162118706357957,-0.029615748082495803
2011-01-01,769159,392370.22556068737,0.5101288882541677,-0.016225018913813987
2011-02-01,775999,372166.7198149411,0.47959690645856645,-0.009994845772344146
2011-03-01,801196,355127.7,0.44324697077868586,-0.025431890272513604
2011-04-01,790249,355041.59939252894,0.4492781381470004,-0.010351639249252574
2011-05-01,795503,365343.82073832175,0.4592613990623816,0.0034615979333702273
2011-06-01,797346,374546,0.4697408653207014,0.004782508925660293
2011-07-01,799125,375665.315671546,0.47009581188368027,0.0018829574490800674
2011-08-01,815792,375259.3935334709,0.45999396112424606,-0.00928171324707066
2011-09-01,829476,383444.5,0.46227317004952523,-0.018087861895112356
2011-10-01,835655,406427.3076693751,0.4863577764380936,-0.015806980335772068
2011-11-01,853345,430616.7267437433,0.504622077522858,-0.024598789928455884
2011-12-01,881498,440522.6,0.4997431644768337,-0.031902997772364605
2012-01-01,874634,424014.28069417813,0.48479053031802805,-0.049670501944824204
2012-02-01,872118,396900.6080439962,0.4550996631694291,-0.051078818397786524
2012-03-01,874494,374631.4,0.4283979078186929,-0.03350065299692056
2012-04-01,870705,373182.08662506216,0.42859761529457413,-0.04603055678987827
2012-05-01,884146,384533.4893302042,0.4349208041773691,-0.052999435473361674
2012-06-01,884719,394901.6,0.4463582222151892,-0.04977774946096801
2012-07-01,886870,395549.19332884386,0.44600583324370413,-0.051244827184159056
2012-08-01,895530,393070.6838485095,0.4389251994333071,-0.04580225714147629
2012-09-01,892680,398273,0.4461542770085585,-0.03486876177399582
2012-10-01,902437,417696.4853269937,0.4628539004129858,-0.04832630866363765
2012-11-01,901840,438366.85996294016,0.4860805242204162,-0.03674344450694778
2012-12-01,921412,444932.7,0.4828813820527625,-0.03374089656978763
2013-01-01,913433,425761.08657697815,0.46611090969669167,-0.03853132322754394
2013-02-01,920260,398061.9897243171,0.43255383231295186,-0.0495404252762184
2013-03-01,932005,374894.1,0.40224473044672504,-0.061048798079183085
2013-04-01,935228,373444.09653810674,0.3993080794609515,-0.06833807466122278
2013-05-01,941786,385248.9376369012,0.40906207741132405,-0.059456173440485434
2013-06-01,946584,395913.4,0.418254903949359,-0.06296135450660889
2013-07-01,945074,396386.10675151297,0.41942335388711677,-0.05960119212625254
2013-08-01,949982,393991.5782253595,0.4147358352319933,-0.05511044759458898
2013-09-01,947225,400482.1,0.4227951120377946,-0.05235669851107537
2013-10-01,955410,423114.6363504546,0.4428618460665626,-0.043193012586876994
2013-11-01,953440,447963.669703912,0.46983939178544215,-0.033412431944320004
2013-12-01,978903,458836.4,0.46872509329320683,-0.02931628612264214
2014-01-01,962411,442984.33059739525,0.46028602187360207,-0.012496784996686681
2014-02-01,968433,417147.8622055583,0.4307451958014218,-0.004181298086896906
2014-03-01,980373,394621.4,0.4025216932738866,6.885430838434197e-4
2014-04-01,986137,392429.2997803942,0.39794602553234915,-0.0034110352348518704
2014-05-01,991123,403063.301305944,0.40667334055000637,-0.005839546106142077
2014-06-01,996173,413397.8,0.4149859512353778,-0.007815694886334181
2014-07-01,1002133,415099.674634471,0.4142161515831442,-0.012415146309125297
2014-08-01,1020561,414270.4446384328,0.40592423641353415,-0.021246292386405838
2014-09-01,1021826,420936.7,0.4119455758612523,-0.025661451297886363
2014-10-01,1028667,441299.35539333103,0.42900117860622633,-0.03129794897312737
2014-11-01,1033416,462966.93277217745,0.44799667585191,-0.046489750147443776
2014-12-01,1059018,471596.4,0.44531481051313576,-0.04994459036872381
2015-01-01,1044751,456082.2216314092,0.43654633652555414,-0.05157594239211337
2015-02-01,1052741,432152.5434989619,0.410502244615686,-0.046995187370744325
2015-03-01,1066042,412279.3,0.38673832738297365,-0.03921121806514294
2015-04-01,1055846,412118.86681880505,0.3903210002394336,-0.01916095350547908
2015-05-01,1065807,423743.1649233096,0.3975796414578902,-0.022361188170872875
2015-06-01,1077724,433578.7,0.4023095894681755,-0.030546484114620805
2015-07-01,1087323,433405.3132163288,0.3985984966898785,-0.03770411857088288
2015-08-01,1094497,431639.0899903489,0.39437210882291035,-0.028458826929602447
2015-09-01,1106539,440997.2,0.3985374216362912,-0.032548363207758106
2015-10-01,1120684,469203.11671069707,0.418675662997506,-0.0240687348278778
2015-11-01,1130022,499232.9853055295,0.4417905008093024,-0.01385317208170343
2015-12-01,1154987,511615.4,0.4429620419970095,-0.00528338258818557
2016-01-01,1151165,491050.9664542315,0.42656870774757005,-0.02285582982414977
2016-02-01,1158726,456982.4926663223,0.39438356666401053,-0.03926574863620018
2016-03-01,1162418,428321.4,0.36847450744912763,-0.047225264838465265
2016-04-01,1178155,424892.907659665,0.3606426214374721,-0.07603582380593402
2016-05-01,1189187,437103.6112183675,0.3675650769966099,-0.07549321275913298
2016-06-01,1200702,448549.5,0.3735727099646707,-0.07142976517535399
2016-07-01,1203820,448773.1862278965,0.37279093737261093,-0.06474575175667717
2016-08-01,1204445,446006.09835830034,0.37030009536201347,-0.06103883343257985
2016-09-01,1209915,453478.9,0.3748022794989731,-0.059555617236313106
2016-10-01,1218088,479444.59595181426,0.3936042354508166,-0.05988269623123233
2016-11-01,1239495,508497.3771195179,0.4102456057664758,-0.07140238412786258
2016-12-01,1265475,522855.1,0.413169047195717,-0.06725857291739148
2017-01-01,1249010,508245.1746507754,0.4069184191085543,-0.04606594033297953
2017-02-01,1253838,482196.0980347329,0.38457607604390115,-0.024867898789669232
2017-03-01,1253371,459118.2,0.36630670408043586,-0.005883184114144067
2017-04-01,1257184,456954.7042851278,0.3634748010514991,0.007853147259018653
2017-05-01,1263876,467981.07413504936,0.37027451596125677,0.007371317718173374
2017-06-01,1260702,478551.6,0.37959137052213765,0.01611108198464541
2017-07-01,1264294,480159.2125167725,0.3797844587704857,0.01875990185588832
2017-08-01,1269801,479997.37521673035,0.3780099206227829,0.02082047873423342
2017-09-01,1275939,489383.7,0.3835478812074872,0.02333390746770534
2017-10-01,1287689,515362.68883395573,0.4002229488905751,0.016815656041347545
2017-11-01,1295821,543087.7303312494,0.4191070605671998,0.021600364942770994
2017-12-01,1324369,555740.5,0.4196266297383886,0.015629395731603903
2018-01-01,1309614,539948.2037437005,0.4122956869304242,0.013214609045346179
2018-02-01,1315388,513317.9587386261,0.3902407188895034,0.01472957679498401
2018-03-01,1325797,489978.7,0.36957294367086363,0.00891667980422915
2018-04-01,1328848,487837.1123065224,0.36711280169479305,0.010008948716030789
2018-05-01,1346708,499259.3465547567,0.37072575981931993,0.0012186738179691024
2018-06-01,1352496,510710,0.37760555299239335,-0.005231461207910923
2018-07-01,1356808,513834.70487680053,0.3787084870348646,-0.0028331115472825814
2018-08-01,1365479,515713.1230196167,0.37767927812849317,-8.746926370211892e-4
2018-09-01,1376165,527438.7,0.38326705009937034,-7.321930895113185e-4
2018-10-01,1394704,555941.4616005896,0.39860892461811936,-0.00403281290323261
2018-11-01,1409695,585458.7198709998,0.4153087865609226,-0.009062777422878025
2018-12-01,1445744,598379.1,0.41389008012483536,-0.013670604311098247
2019-01-01,1425080,580801.3785005462,0.40755703434231494,-0.011493335337531425
2019-02-01,1443686,552016.7212366114,0.3823661940592424,-0.020178634491729425
2019-03-01,1456838,527507.6,0.362090774677761,-0.02024544578070121
2019-04-01,1466745,526664.6761858383,0.3590703743226248,-0.021907237598471165
2019-05-01,1480237,540755.1385986325,0.36531659362563734,-0.014590748148493506
2019-06-01,1477865,554322.7,0.3750834480821996,-0.006679205033418906
2019-07-01,1490533,557776.2499254125,0.3742126138270085,-0.011871593486211484
2019-08-01,1500115,558475.3162336778,0.3722883353834058,-0.014273864247466858
2019-09-01,1505817,568393.2,0.37746499076581014,-0.015138424584257622
2019-10-01,1523592,595162.0547396046,0.39063086097827016,-0.02001476421405381
2019-11-01,1542231,624020.4896809821,0.4046219338613879,-0.02573230580559136
2019-12-01,1565221,638268.3,0.40778158483690163,-0.01475873808353008
2020-01-01,1557428,623748.232378637,0.4004989202573968,-0.01731810149297997
2020-02-01,1579015,593582.0902342019,0.37591922194165467,-0.016860727275981
2020-03-01,1628074,559518.6,0.343669022415443,-0.05087606078534385
2020-04-01,1672787,537481.168399042,0.3213087908974914,-0.10516485381554919
2020-05-01,1717552,527582.0272329065,0.3071709195604596,-0.15916515997289524
2020-06-01,1745876,529052.1,0.3030295966036534,-0.1921008560813795
2020-07-01,1740478,540606.9847751331,0.31060834137238913,-0.1699682749978664
2020-08-01,1743745,561307.1728117764,0.3218975095623365,-0.13535429674199617
2020-09-01,1761824,589122.6,0.33438220843852734,-0.11413716074668383
