date,money_velocity,mo12m
2002-01-01,0.0125344697919278,NA
2002-02-01,0.012414649286157667,NA
2002-03-01,0.012347203358439314,NA
2002-04-01,0.012260912211868563,NA
2002-05-01,0.012039489525644112,NA
2002-06-01,0.011789672247111532,NA
2002-07-01,0.012300123001230012,NA
2002-08-01,0.012439358129120536,NA
2002-09-01,0.012295585884667405,NA
2002-10-01,0.012251899044351873,NA
2002-11-01,0.012193634922570418,NA
2002-12-01,0.012138868657441126,NA
2003-01-01,0.011595547309833025,-0.0749072356215212
2003-02-01,0.011442956860052637,-0.07826982492276012
2003-03-01,0.011343012704174229,-0.08132940108892923
2003-04-01,0.011241007194244606,-0.08318345323740998
2003-05-01,0.011015642211940955,-0.0850407578761842
2003-06-01,0.010643959552953698,-0.09717935071846745
2003-07-01,0.011160714285714286,-0.09263392857142855
2003-08-01,0.011001100110011,-0.11562156215621563
2003-09-01,0.010873110796999022,-0.11568989888006953
2003-10-01,0.01127141568981064,-0.08002705139765538
2003-11-01,0.011150758251561105,-0.0855263157894737
2003-12-01,0.011075423634954036,-0.08760660095248647
2004-01-01,0.01092896174863388,-0.05748633879781428
2004-02-01,0.010860121633362294,-0.05093397046046915
2004-03-01,0.010830715910321672,-0.045164085346041445
2004-04-01,0.010758472296933835,-0.04292630446476615
2004-05-01,0.010526315789473684,-0.04442105263157889
2004-06-01,0.010462439840970915,-0.01705377694078249
2004-07-01,0.011285407967498025,0.011172553887823034
2004-08-01,0.011137097672346585,0.012362178416304668
2004-09-01,0.012374706100730107,0.1381017200841479
2004-10-01,0.012172854534388313,0.0799756542909311
2004-11-01,0.01201634222542658,0.07762557077625572
2004-12-01,0.011916110581506196,0.07590562440419452
2005-01-01,0.011883541295306001,0.0873440285204991
2005-02-01,0.01177024482109228,0.08380414312617716
2005-03-01,0.011648223645894002,0.0754804892253933
2005-04-01,0.011524720525527256,0.07122277284775848
2005-05-01,0.011384335154826957,0.08151183970856098
2005-06-01,0.01129815840018077,0.0798779798892779
2005-07-01,0.012433171702101205,0.10170334452318777
2005-08-01,0.01226692836113837,0.10144749754661446
2005-09-01,0.012217470983506415,-0.012706169822846626
2005-10-01,0.011475786091347258,-0.05726417259582272
2005-11-01,0.011427265455376527,-0.04902296880356536
2005-12-01,0.011353315168029064,-0.047229791099000946
2006-01-01,0.011213276519398968,-0.05640278089257686
2006-02-01,0.011096316023080336,-0.05725699067909473
2006-03-01,0.011091393078970719,-0.04780390417036391
2006-04-01,0.010792143319663286,-0.06356572415281667
2006-05-01,0.010758472296933835,-0.05497579343733188
2006-06-01,0.010582010582010581,-0.06338624338624337
2006-07-01,0.01172607879924953,-0.05687148217636021
2006-08-01,0.011575413821044102,-0.05637226530848478
2006-09-01,0.012537612838515545,0.026203610832497344
2006-10-01,0.012394645513138323,0.08006941001487339
2006-11-01,0.012428535918468805,0.08762117822520529
2006-12-01,0.012140342357654486,0.06932135486220718
2007-01-01,0.01223391240518718,0.0910203082945928
2007-02-01,0.012072920439454304,0.08801159000362194
2007-03-01,0.011957431543704412,0.07808202798038984
2007-04-01,0.011788282447247436,0.09230225156194732
2007-05-01,0.011230907457322551,0.04391284815813119
2007-06-01,0.011033873993158999,0.04270109235352547
2007-07-01,0.012619888944977285,0.07622412922766292
2007-08-01,0.012509382036527395,0.08068551413560168
2007-09-01,0.012417732522041475,-0.00956165404197184
2007-10-01,0.012272950417280314,-0.009818360333824152
2007-11-01,0.012017786323759164,-0.03304891239033772
2007-12-01,0.011821728336682822,-0.02624423690743594
2008-01-01,0.012370113805047007,0.01113310242454222
2008-02-01,0.012140342357654486,0.005584557484521104
2008-03-01,0.011849745230477545,-0.009005806375162908
2008-04-01,0.011781338360037702,-5.890669180017584e-4
2008-05-01,0.011761938367442956,0.04728299223712081
2008-06-01,0.011693171188026194,0.05975210477081387
2008-07-01,0.014166312508853945,0.12253860320158658
2008-08-01,0.01331203407880724,0.06416400425985085
2008-09-01,0.013368983957219251,0.07660427807486629
2008-10-01,0.013324450366422385,0.08567621585609597
2008-11-01,0.0132520540683806,0.10270341902994971
2008-12-01,0.013142331449599158,0.11170981732159288
2009-01-01,0.013090718680455558,0.058253698128027255
2009-02-01,0.012987012987012988,0.0697402597402598
2009-03-01,0.012843565373747753,0.08386848189057282
2009-04-01,0.012784454103809767,0.0851444643313729
2009-05-01,0.012561236025624922,0.06795628689863077
2009-06-01,0.012495314257153568,0.06859927527177301
2009-07-01,0.014136273678258413,-0.0021204410517386687
2009-08-01,0.014322543683758238,0.0759094815239189
2009-09-01,0.014130281192595734,0.05694503320616095
2009-10-01,0.013935340022296542,0.04584726867335548
2009-11-01,0.014027212792818065,0.05849347734605107
2009-12-01,0.013827433628318585,0.05212942477876115
2010-01-01,0.013904338153503892,0.06215239154616228
2010-02-01,0.013779798814937303,0.06104450875017224
2010-03-01,0.013585110718652357,0.05773672055427251
2010-04-01,0.01355197181189863,0.06003523512671082
2010-05-01,0.013466199838405602,0.07204416913546989
2010-06-01,0.013150973172014729,0.052472382956338694
2010-07-01,0.014936519790888723,0.056609410007468164
2010-08-01,0.014734050390452334,0.0287313982613818
2010-09-01,0.014532771399505885,0.028484231943031357
2010-10-01,0.0143348623853211,0.028669724770642266
2010-11-01,0.014306151645207437,0.019885550786838336
2010-12-01,0.014084507042253521,0.018591549295774622
2011-01-01,0.014146272457207527,0.017399915122365384
2011-02-01,0.013962580284836637,0.013264451270594713
2011-03-01,0.013883104262113009,0.021935304734138544
2011-04-01,0.013902405116085082,0.025858473515918353
