date,value,gdp,money_velocity,mo12m
2001-12-01,30675.919,36377.3,1.1858585230975476,NA
2002-01-01,29166.9475,33272.099375984064,1.1407467091297114,NA
2002-02-01,30310.4727,29767.462337177018,0.9820850579204929,NA
2002-03-01,31865.7451,27464.3,0.8618753433761698,NA
2002-04-01,32659.7133,28466.90572542376,0.8716214212885868,NA
2002-05-01,36157.3944,31731.777078737035,0.8776013207062575,NA
2002-06-01,36036.646,35274.2,0.9788424816227347,NA
2002-07-01,36402.2671,37941.664043538774,1.042288490969805,NA
2002-08-01,38048.3996,40031.88172244968,1.0521305007123003,NA
2002-09-01,38736.793,42337.6,1.0929557333256783,NA
2002-10-01,40587.9043,45396.88745667442,1.1184831599367504,NA
2002-11-01,40807.3248,47606.73821898297,1.1666223760637935,NA
2002-12-01,44970.0064,47195.4,1.049486174856315,-0.11499883467128803
2003-01-01,43013.0418,42998.08595798448,0.999652295178633,-0.12368601445164018
2003-02-01,44264.0036,38045.70417979852,0.8595179171682185,-0.12480297889044678
2003-03-01,44411.2098,34454,0.7757951236896952,-0.09987548703885414
2003-04-01,43901.1883,35152.900547834426,0.8007277686338715,-0.08133537212739399
2003-05-01,43725.2992,38949.05077609038,0.8907669355888679,0.015001817536025606
2003-06-01,44189.9819,43501.3,0.9844154292355572,0.005693405953921899
2003-07-01,48352.9846,47417.676026990994,0.9806566527227565,-0.05913126622908657
2003-08-01,49163.07283,50771.90512730342,1.0327244048163258,-0.018444571165683776
2003-09-01,51307.3629,54157.8,1.0555561022607147,-0.034218797637085324
2003-10-01,52602.2602,58021.21251043913,1.1030174804245223,-0.01382736912471948
2003-11-01,50767.5276,60544.30219691768,1.1925792934796706,0.022249631027527757
2003-12-01,54446.236,59804.5,1.0984138554591727,0.04662060518287102
2004-01-01,51803.9695,54576.78922263195,1.0535252365676717,0.05389167978593189
2004-02-01,55183.621,48302.22634825156,0.8753000523153702,0.018361612750491394
2004-03-01,56463.2423,43984.4,0.778991751240612,0.004120453265694245
2004-04-01,57653.5412,44889.9485598194,0.778615634451599,-0.027615046022443104
2004-05-01,59655.9772,49546.97234318177,0.8305449792075783,-0.0676068609815182
2004-06-01,61438.404,55098.7,0.8968120330729945,-0.08899027134366505
2004-07-01,64870.4245,59872.016026655176,0.9229478069263316,-0.05884714658917413
2004-08-01,68018.7198,64078.07760031073,0.9420653283202594,-0.08778632137795804
2004-09-01,69725.8757,68569.2,0.9834110982703655,-0.06834786311768191
2004-10-01,71339.2778,73960.98928378442,1.0367499022226494,-0.06007844787407019
2004-11-01,70732.087,77686.70445871721,1.0983233742094618,-0.07903534782596455
2004-12-01,80809.7452,77036,0.9533008650050786,-0.132111398388572
2005-01-01,81437.6278,70179.90900952114,0.8617626876592437,-0.1820198911733525
2005-02-01,85203.2954,61810.62587710094,0.7254487703429947,-0.17119990062377394
2005-03-01,89242.8193,54939.6,0.6156192781776001,-0.2097229820506149
