date,value,gdp,money_velocity,mo12m
2010-03-01,11141330.7703955,12583478.33,1.1294412300760823,NA
2010-04-01,10957292.346417,12607700.285712603,1.150621876930689,NA
2010-05-01,10787721.8833172,12703844.939986082,1.1776207319204337,NA
2010-06-01,10961596.1803077,12934530.67,1.1799860583476556,NA
2010-07-01,10965822.2089424,13352929.158183252,1.2176860889915044,NA
2010-08-01,11584324.9792455,13857415.82248726,1.1962212599624262,NA
2010-09-01,11231159.1521412,14304438.44,1.273638655300587,NA
2010-10-01,11256343.5171184,14620383.700493095,1.2988572779658631,NA
2010-11-01,11222393.7342409,14774744.8250123,1.3165412990218601,NA
2010-12-01,11662911.7919411,14789816.74,1.2681067133011796,NA
2011-01-01,11844809.926814,14686069.078797458,1.2398737649264835,NA
2011-02-01,11829088.4925,14565691.137113707,1.231345183219214,NA
2011-03-01,12024870.6468166,14501448.14,1.2059546057436414,0.06774445064521414
2011-04-01,12128809.3230685,14581716.3883255,1.2022380762958875,0.04485939334204724
2011-05-01,12161740.0187282,14787050.657595366,1.2158663673803565,0.03247703986796561
2011-06-01,12310587.3411623,15054961.2,1.2229279385932685,0.036391853905244305
2011-07-01,12700851.6067604,15366038.57290868,1.2098431702587296,-0.006440837916831611
2011-08-01,13030901.6027523,15730259.085748794,1.2071504770189005,0.009136451108399132
2011-09-01,13163599.1373394,16163642.18,1.2279044668073174,-0.03590829180861823
2011-10-01,12880169.7049883,16686699.379935175,1.2955341243270002,-0.0025585210132304235
2011-11-01,13272351.2124224,17109711.9756629,1.289124413739811,-0.02082493371261411
2011-12-01,14192086.085339,17260345.71,1.2161951108675022,-0.04093630440496552
2012-01-01,14126038.2586301,17009868.544770267,1.2041499699590812,-0.028812445248827805
2012-02-01,14361505.919368,16643923.289833903,1.158926047399237,-0.05881302562994165
2012-03-01,15202571.7884985,16450359.58,1.0820774148519734,-0.10272127184694506
2012-04-01,15225119.4324095,16691054.902077643,1.096284004613299,-0.08813069039456363
2012-05-01,15306488.2603481,17219148.35545266,1.1249574731037009,-0.07476882058389629
