,Money Supply: Broad Money
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,NGN mn
Source,International Monetary Fund
Status,Active
Series ID,243761301
SR Code,SR3422933
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/2001
Last Obs. Date,04/2023
Last Update Time,05/07/2023
Series remarks,
Suggestions,
08/2021,40945143.7665772
09/2021,40450136.0871692
10/2021,41475250.5121677
11/2021,42604214.9324781
12/2021,44443974.7454661
01/2022,44296031.2137281
02/2022,44740264.8834195
03/2022,46495965.0165819
04/2022,47147578.6546855
05/2022,48514495.2997831
06/2022,48898340.4372976
07/2022,48291204.0613655
08/2022,49316792.0084501
09/2022,49333082.5104292
10/2022,50629994.4366523
11/2022,51686054.5993728
12/2022,52195014.6760281
01/2023,53118074.7740413
02/2023,53334857.068889
03/2023,54628225.0656445
04/2023,56043932.1877552
