Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Broad_Money_mo12m%_change,Velocity_of_Money_mo12m%_change,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
1995-01,,,,,,70.6785793398804,,,,,,,,,,,,,
1995-02,,,,,,59.8504582730342,,,,,,,,,,,,,
1995-03,,,,,,56.6882148184983,,,,,,,,,,,,,
1995-04,,,,,,77.6673866090713,,,,,,,,,,,,,
1995-05,,,,,,-43.0259146341463,,,,,,,,,,,,,
1995-06,,,,,,-14.3747708104144,,,,,,,,,,,,,
1995-07,,,,,,-26.6751918158568,,,,,,,,,,,,,
1995-08,,,,,,-45.4649542965097,,,,,,,,,,,,,
1995-09,,,,,,-71.2921457805496,,,,,,,,,,,,,
1995-10,,,,,,-117.617052286391,,,,,,,,,,,,,
1995-11,,,,,,-262.044173472909,,,,,,,,,,,,,
1995-12,,,,,,725.438596491228,,,,,,,,,,,,,
1996-01,,,,,,24.8712956954359,,,,,,,,,,,,,
1996-02,,,,,,-69.8041464224281,,,,,,,,,,,,,
1996-03,,,,,,-117.454776261504,,,,,,,,,,,,,
1996-04,,,,,,-165.299051787017,,,,,,,,,,,,,
1996-05,,,,,,54.2697881828316,,,,,,,,,,,,,
1996-06,,,,,,-104.839400428266,,,,,,,,,,,,,
1996-07,,,,,,-127.545422836668,,,,,,,,,,,,,
1996-08,,,,,,-151.833578276996,,,,,,,,,,,,,
1996-09,,,,,,-225.797691785472,,,,,,,,,,,,,
1996-10,,,,,,183.690353080219,,,,,,,,,,,,,
1996-11,,,,,,-41.866325914883,,,,,,,,,,,,,
1996-12,,,,,,-73.9638682252922,,,,,,,,,,,,,
1997-01,,,,,,-102.570676274945,,,,,,,,,,,,,
1997-02,,,,,,-221.217269638217,,,,,,,,,,,,,
1997-03,,,,,,265.454545454545,,,,,,,,,,,,,
1997-04,,,,,,122.423903937448,,,,,,,,,,,5.226074662967687,19.56033528,-14.334260617032314
1997-05,,,,,,237.895649660356,,,,,,,,,,,4.758984045001538,19.65907318,-14.900089134998462
1997-06,,,,,,-1887.61061946903,,,,,,,,,,,4.647031014959566,18.1353143,-13.488283285040437
1997-07,,,,,,-278.128237596408,,,,,,,,,,,3.5506415702221448,17.38175249,-13.831110919777856
1997-08,,,,,,-146.027138324445,,,,,,,,,,,3.714554735072518,13.96795333,-10.253398594927482
1997-09,,,,,,-53.804641122504,,,,,,,,,,,3.617687971577877,11.38516106,-7.767473088422123
1997-10,,,,,,60.558246107379,,,,,,,,,,,3.87973897184044,11.72562347,-7.8458844981595615
1997-11,,,,,,235.333984613506,,,,,,,,,,,3.853893117737476,11.92542407,-8.071530952262524
1997-12,,,,,,625.816326530612,,,,,,,,,,,3.908331381057772,11.08578939,-7.177458008942228
1998-01,,,,,,-10226.0107816712,,,,,,,,,,,3.686848980532973,10.99394273,-7.307093749467027
1998-02,,,,,,-701.780855800148,,,,,,,,,,,3.714843352195029,11.42482879,-7.709985437804971
1998-03,,,,,,-468.009950248756,,,,,,,,,,,3.3365493125300136,10.71003703,-7.373487717469986
1998-04,,,,,,-450.508474576271,,,,,,,,,,,3.52715741162108,10.75292997,-7.22577255837892
1998-05,,,,,,-502.549296377091,,,,,,,,,,,3.793420210656305,10.74527804,-6.951857829343696
1998-06,,,,,,-566.534653465347,,,,,,,,,,,4.003109038201645,13.26705609,-9.263947051798356
1998-07,,,,,,-598.003101977511,,,,,,,,,,,4.180244012634386,13.22777546,-9.047531447365614
1998-08,,,,,,-847.21325902024,,,,,,,,,,,4.255961444796255,16.94120932,-12.685247875203745
1998-09,,,,,,255.257009345794,,,,,,,,,,,4.586341675283643,19.16778164,-14.581439964716358
1998-10,,,,,,-15.8050077841204,,,,,,,,,,,4.308358610498651,18.73314662,-14.424788009501349
1998-11,,,,,,-38.9632381056427,,,,,,,,,,,3.694351518961177,18.20756044,-14.513208921038824
1998-12,,,,,,-36.0185575706453,,,,,,,,,,,3.5122135060613258,18.86712899,-15.354915483938676
1999-01,,,,,,-25.1986424436015,,,,,,,,,,,3.7641205233312616,18.48287153,-14.71875100666874
1999-02,,,,,,-14.9212220852171,,,,,,,,,,,3.6685336415634975,18.37790096,-14.709367318436504
1999-03,,,,,,-16.9392997161011,,,,,,,,,,,3.7477152784921977,19.04063362,-15.292918341507804
1999-04,,,,,,-36.2155837333142,,,,,,,,,,,3.207904018007252,19.22796708,-16.020063061992747
1999-05,,,,,,-54.4702057123427,,,,,,,,,,,2.758795654603989,18.74838102,-15.98958536539601
1999-06,,,,,,-62.839558573854,,,,,,,,,,,2.8364600340000767,18.41977027,-15.583310235999924
1999-07,,,,,,-55.3898859345194,,,,,,,,,,,2.834023931852803,18.61854079,-15.784516858147198
1999-08,,,,,,-26.9800765531455,,,,,,,,,,,2.824321228098988,18.2335988,-15.409277571901011
1999-09,,,,,,24.3012167050312,,,,,,,,,,,2.3851215788509927,17.89234949,-15.507227911149007
1999-10,,,,,,25.994838013791,,,,,,,,,,,2.296995923569563,17.16815421,-14.871158286430438
1999-11,,,,,,-21.7021657419008,,,,,,,,,,,2.977676392306436,16.4645192,-13.486842807693566
1999-12,,,,,,-44.2979564930785,,,,,,,,,,,3.1425091193818715,15.65803893,-12.515529810618128
2000-01,,,,,,-39.6658481904559,,,,,,,,,,,2.879115039068932,15.01392262,-12.134807580931067
2000-02,,,,,,-27.8233143850948,,,,,,,,,,,2.9575455209679014,14.24300585,-11.285460329032098
2000-03,,,,,,-21.5494791666667,,,,,,,,-60.0,,,2.9500664435070023,13.01929084,-10.069224396493
2000-04,,,,,,-28.4789038223953,,,,,,,,-60.0,,,2.859740714254429,12.400577,-9.540836285745572
2000-05,,,,,,-50.7689794394268,,,,,,,,-60.0,,,2.767472216614604,11.42950631,-8.662034093385397
2000-06,,,,,,-85.8081096516276,,,,,,,,49.0,,,2.5105921117853285,11.09233241,-8.58174029821467
2000-07,,,,,,-105.974925095267,,,,,,,,49.0,,,2.7559155444898344,8.1707169,-5.414801355510166
2000-08,,,,,,-101.881720430108,,,,,,,,49.0,,,2.582400900293331,7.70073993,-5.11833902970667
2000-09,,,,,,-81.0846560846561,,,,,,,,287.0,,,2.4938948393557507,7.67842517,-5.1845303306442485
2000-10,,,,,,-44.6418197939279,,,,,,,,287.0,,,2.491823279475546,7.39745396,-4.905630680524454
2000-11,,,,,,3.06701718291613,,,,,,,,287.0,,,2.319905202777629,7.37537086,-5.055465657222372
2000-12,,,,,,6.90335305719921,,,,,,,,-6.0,,,2.2324201141272444,6.53062532,-4.2982052058727565
2001-01,,,4.401039483611367,,,-57.3122179952225,,,,,,,,-6.0,,,2.5547330921885023,6.22824143,-3.6735083378114974
2001-02,,,-12.270488731866608,,-25.79189951350225,-108.239441333304,,,,,,,,-6.0,,,2.3046287506474363,6.21652907,-3.911900319352564
2001-03,,,-8.82160018305239,,-39.432084406326894,-134.107883817427,,,,,,,,7.0,,,2.1364822512005675,6.44291387,-4.306431618799433
2001-04,,,4.600816435789333,,-31.84767806245388,-152.454983249581,,,,,,,,7.0,,,2.29518271803094,6.24170046,-3.94651774196906
