Date,IMF_FCI
2011-05,-1.473216292
2011-06,-1.346175388
2011-07,-1.993454949
2011-08,-2.734516468
2011-09,-3.153344757
2011-10,-0.698988717
2011-11,-1.903571889
2011-12,-2.356417196
2012-01,-0.200100848
2012-02,-0.889620925
2012-03,-2.023450505
2012-04,-1.087600489
2012-05,-2.968303636
2012-06,0.241357395
2012-07,-0.201434331
2012-08,0.088935103
2012-09,0.197377724
2012-10,-0.33412698
2012-11,-0.978196723
2012-12,-0.186290104
2013-01,0.142473243
2013-02,-0.834132578
2013-03,-1.079648343
2013-04,0.240559948
2013-05,-0.597417538
2013-06,-0.482260238
2013-07,-1.246791719
2013-08,-1.232942371
2013-09,0.067358262
2013-10,-0.51932281
2013-11,0.001221843
2013-12,-0.095808743
2014-01,-0.698703139
2014-02,-1.681630585
2014-03,-1.211727065
2014-04,-0.101428343
2014-05,1.079481555
2014-06,0.028776663
2014-07,-0.10804897
2014-08,1.259202345
2014-09,1.418198387
2014-10,1.49814311
2014-11,1.187636484
2014-12,1.390975428
2015-01,1.282618793
2015-02,3.058972362
2015-03,2.832825599
2015-04,2.308925912
2015-05,1.076310637
2015-06,0.71740152
2015-07,1.543714103
2015-08,1.478035473
2015-09,2.088610336
2015-10,2.392386598
2015-11,2.553799238
2015-12,1.865811671
2016-01,0.97997032
2016-02,0.700581532
2016-03,1.337475117
2016-04,0.715194575
2016-05,-0.141819518
2016-06,0.053090235
2016-07,0.702435456
2016-08,0.626632795
2016-09,0.557123248
