,x,x,,,,
,,,,,,
,,,,,,
,Poland,,,,,
,Equity,Debt,,,,
Jul 17,282,-36,,,,
Aug 17,200,-576,,,,
Sep 17,103,811,,,,
Oct 17,329,-547,,,,
Nov 17,48,266,,,,
Dec 17,64,731,,,,
Jan 18,597,-1775,,,,
Feb 18,64,1493,,,,
Mar 18,-32,847,,,,
Apr 18,377,-1005,,,,
May 18,358,-1136,,,,
Jun 18,-250,-1640,,,,
Jul 18,64,-1281,,,,
Aug 18,-19,-498,,,,
Sep 18,-48,599,,,,
Oct 18,-408,839,,,,
Nov 18,71,-1071,,,,
Dec 18,189,-50,,,,
Jan 19,648,-4357,,,,
Feb 19,230,-2440,,,,
Mar 19,-103,3218,,,,
Apr 19,273,-907,,,,
May 19,-136,-722,,,,
Jun 19,127,120,,,,
Jul 19,6,-2689,,,,
Aug 19,-336,-1498,,,,
Sep 19,-26,-142,,,,
Oct 19,-90,-2146,,,,
Nov 19,-112,-755,,,,
Dec 19,-221,-106,,,,
Jan 20,20,-1272,,,,
Feb 20,-83,2446,,,,
Mar 20,-572,-1925,,,,
Apr 20,-307,-7271,,,,
May 20,-116,853,,,,
Jun 20,-253,-1575,,,,
Jul 20,-18,794,,,,
Aug 20,30,-575,,,,
Sep 20,-155,152,,,,
Oct 20,-9750,140,,,,
Nov-20,8176,400,,,,
Dec-20,-432,452,,,,
Jan-21,28,41,,,,
Feb-21,-275,-569,,,,
Mar-21,23,-2343,,,,
Apr-21,130,-2143,,,,
May-21,51,-2187,,,,
Jun-21,31,828,,,,
Jul-21,-8,1272,,,,
Aug-21,42,-123,,,,
Sep-21,165,-362,,,,
Oct-21,379,-998,,,,
Nov-21,-14,-421,,,,
Dec-21,158,-558,,,,
Jan-22,252,-1382,,,,
Feb-22,-15,-682,,,,
Mar-22,-191,-994,,,,
Apr-22,-84,1103,,,,
May-22,-26,3586,,,,
Jun-22,-121,309,,,,
Jul-22,-195,-109,,,,
Aug-22,-192,851,,,,
Sep-22,-276,546,,,,
Oct-22,-397,300,,,,
Nov-22,143,2746,,,,
Dec-22,-89,647,,,,
Jan-23,288,-2635,,,,
Feb-23,-188,4258,,,,
Mar-23,-371,-1511,,,,
Apr-23,89,4479,,,,
May-23,195,1928,,,,
Jun-23,230,900,,,,
Jul-23,173,-1147,,,,
Aug-23,,,,,,
Sep-23,,,,,,
