,,,,,,
,,,,,,
,,,,,,
,Romania,,,,,
,Equity,Debt,,,,
Oct 18,-32,1870,,,,
Nov 18,-57,2,,,,
Dec 18,-135,492,,,,
Jan 19,-47,-471,,,,
Feb 19,-80,211,,,,
Mar 19,12,-335,,,,
Apr 19,-12,2558,,,,
May 19,-25,28,,,,
Jun 19,-103,721,,,,
Jul 19,-91,2456,,,,
Aug 19,38,167,,,,
Sep 19,-20,-361,,,,
Oct 19,-257,204,,,,
Nov 19,-41,-567,,,,
Dec 19,-31,330,,,,
Jan 20,-40,3306,,,,
Feb 20,-31,2107,,,,
Mar 20,-62,-555,,,,
Apr 20,34,-752,,,,
May 20,-141,3365,,,,
Jun 20,-96,776,,,,
Jul 20,-37,3443,,,,
Aug 20,-236,553,,,,
Sep 20,172,-470,,,,
Oct 20,-74,1308,,,,
Nov-20,-31,343,,,,
Dec-20,-17,2766,,,,
Jan-21,-21,416,,,,
Feb-21,27,-475,,,,
Mar-21,-27,-1177,,,,
Apr-21,-10,3962,,,,
May-21,-84,-176,,,,
Jun-21,4,-396,,,,
Jul-21,-21,4237,,,,
Aug-21,46,369,,,,
Sep-21,110,-372,,,,
Oct-21,-21,-409,,,,
Nov-21,-130,55,,,,
Dec-21,-7,110,,,,
Jan-22,9,2080,,,,
Feb-22,-83,938,,,,
Mar-22,-34,-874,,,,
Apr-22,5,390,,,,
May-22,-7,1622,,,,
Jun-22,-76,320,,,,
Jul-22,8,-182,,,,
Aug-22,56,777,,,,
Sep-22,-253,1634,,,,
Oct-22,-47,-751,,,,
Nov-22,-99,244,,,,
Dec-22,276,489,,,,
Jan-23,-56,7115,,,,
Feb-23,-9,2319,,,,
Mar-23,-104,337,,,,
Apr-23,-24,287,,,,
May-23,35,2037,,,,
Jun-23,2,724,,,,
Jul-23,696,493,,,,
Aug-23,,,,,,
Sep-23,,,,,,
