BQ250,Current Account Balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"27,387","2,905","-4,674","18,169","23,011","2,441","-3,927","15,265","17,405","1,846","-2,971","11,546","9,432","10,384","10,110",-586,"1,273","2,190","3,401","7,157","1,649","4,062","2,232","6,637","5,650","6,706","-3,282","3,584","4,495","1,334","8,583","4,521","6,554","4,595","3,674","5,324","3,189",-263,"1,160","-3,178","-5,670","-2,060","-5,695","-2,014","1,729","-1,130",560,"3,918","4,114","2,163","2,799","4,487","2,260","5,186",-691,528,"-1,908","-3,790","-1,867","-6,119","-4,519","-3,186","-3,511","-4,770","-4,653","1,673","1,078","-1,351","-1,694","2,427","-2,063","2,348","-1,000",-750,-700,-302,-517,-367,-217,"1,100",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Capital Flows (+ = inflow of capital, - = outflow of capital)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ110,Foreign direct investment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,193","1,357","1,366","1,062","1,174","1,335","1,344","1,045","1,459","1,659","1,670","1,299","2,435","2,854","1,115","1,845","2,015","2,429","1,880","2,325","1,275","1,505","1,775","1,544","2,260","2,417","2,109","2,129","1,737",826,"1,479","3,085","1,532","1,943","1,133","1,000","1,128","1,381","1,155","1,030",723,625,"1,214",502,627,666,"1,144","1,016",618,599,508,689,378,162,176,59,"1,041",766,250,248,276,895,775,439,"1,436","1,561",274,42,39,"-1,474",496,753,300,200,100,100,300,500,500,500,
FQ111,Equity,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,193","1,357","1,366","1,062","1,174","1,335","1,344","1,045","1,459","1,659","1,670","1,299","2,398","2,833","1,110","1,844","2,014","2,429","1,868","2,319","1,268","1,490","1,770","1,510","2,243","2,374","1,947","2,096","1,725",807,"1,470","3,058","1,512","1,943","1,132",992,"1,127","1,370","1,155","1,029",723,625,"1,212",500,291,332,815,695,302,286,192,370,52,-170,-161,-285,690,406,-117,-128,-110,530,423,86,415,"2,192",115,21,-109,-100,-100,-50,150,300,100,100,200,250,300,350,
FQ113,Debt,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,0,0,0,0,0,0,0,0,0,0,0,37,20,5,1,2,1,12,7,8,15,5,33,17,42,163,33,13,19,9,27,20,0,1,8,0,11,0,1,0,0,2,2,336,334,329,321,316,313,315,319,326,332,337,343,352,359,367,376,386,365,352,352,"1,020",-631,159,21,148,"-1,374",596,803,150,-100,0,0,100,250,200,150,
FQ120,Portfolio investment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,248,356,185,95,792,"1,138",593,303,747,"1,073",559,285,997,221,219,-102,-412,273,361,260,853,600,917,"1,378","1,137","1,571","1,130","1,356","3,816","2,621","5,148","5,615","5,963","4,464","1,409","1,816",92,"2,883","3,088",-770,269,"1,500",-387,"1,153",227,563,795,303,46,"3,621","5,036","1,810","5,700","-3,136","-6,105","3,935","9,111",934,"-3,079","-3,788","-5,530",678,"1,742",-477,"1,926",-273,"7,458","-3,012","1,542","1,678",998,337,200,-100,-800,-500,50,100,120,150,
FQ121,Equity,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,162,502,170,-84,386,"1,196",404,-200,315,978,330,-164,-2,-370,-145,-443,-363,262,313,280,729,378,421,652,703,812,492,585,"2,510","1,425","2,674","3,430","3,343","1,809",398,28,"-1,306","1,691","1,716","-1,055",-633,738,-707,125,-5,96,58,175,-379,"2,672","-2,286","1,353","2,293","-2,288","-1,199","2,453","2,244","-3,117",-589,-88,"-1,414",127,125,906,-216,196,82,"-1,807",260,-150,-400,200,200,-100,-300,-500,50,100,120,150,
FQ122,Debt,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,85,-147,15,179,406,-58,189,503,432,96,229,449,998,591,364,341,-50,11,48,-20,124,223,496,725,434,759,637,771,"1,306","1,196","2,473","2,185","2,621","2,655","1,011","1,788","1,399","1,192","1,372",285,902,762,319,"1,028",232,467,736,128,425,949,"7,322",458,"3,407",-848,"-4,906","1,482","6,867","4,051","-2,490","-3,701","-4,115",551,"1,617","-1,383","2,143",-469,"7,376","-1,205","1,282","1,828","1,398",137,0,0,-500,0,0,0,0,0,
FQ130,Other investment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"-7,991","-4,147","-9,835","3,814","-6,949","-3,607","-8,553","3,317","1,320",685,"1,625",-630,730,"1,030",381,"-1,832","-2,495",-382,"3,597","1,111",729,-404,"-1,151","-1,342",941,-23,-668,486,"-1,269","1,087",876,121,-520,594,621,"1,648","2,184","3,552","2,550",61,"2,288",-995,163,"-1,706","1,373",-903,"1,606",-467,"3,110","1,983","1,494","3,061","5,760",16,-822,"2,161","1,915",834,"1,143",546,"-1,451","3,510","-1,744",-656,"1,844",-777,"8,696",-72,"1,699","3,002","2,074",848,"1,500","1,000",500,"1,765",-57,-227,"1,000","2,500",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ400,Resident Capital Flows (changes in assets),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"-13,184","7,767","23,714","-21,005","-13,582","4,497","20,350","-19,368","-14,593","1,471","7,722","-10,675","3,699","3,885","4,967","4,098",-934,"2,091","3,460","4,315","20,012","11,876","-15,883",-289,359,"10,866","4,715","4,044","-3,054","7,608","10,207","11,670","5,037","6,582","-3,389","6,613","6,325","8,065","2,988","-2,879","1,353","6,239","1,997","6,948","8,391","-7,362","-2,259","-1,117",-730,"-1,407","3,895","3,319","1,825","2,791","-2,693","3,176","7,582","7,595","-5,358","-16,843",938,"-5,392","-3,249","8,801",800,"4,138","3,215","4,245","4,473",-157,"2,314","2,191",-600,-600,-700,-700,-650,-500,-400,-350,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ440,Net financial derivatives,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
FQ445,Capital transfers,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ450,Errors and omissions,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"-9,765","-7,498","-18,399","5,141","-8,035","-5,942","-16,221","4,826",965,-618,"-4,207","1,089","-25,716","-17,773","-19,717","5,660","6,471","-2,982","-12,580","-14,207","-22,803","-14,441","14,988","-5,677","-11,153","-20,180","-3,918","-12,542","-8,260","-13,743","-31,479","-28,211","-22,688","-15,238","-2,552","-15,128","-7,460","-15,548","-11,996","9,717","5,806","-4,243","1,159","-3,316","-11,609","8,982",848,"-6,921","-10,134","-7,259","-16,519","-19,546","-23,246","-5,524","14,677","-9,862","-19,944","-6,290","12,928","28,581","14,672","1,417","5,842","-3,837",-48,"-4,179","-26,004","1,437","-5,100","-5,656","-2,382","-5,372",0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reserves (- = increase),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"-4,439","-3,174",-640,"-2,305","-1,393",-996,-201,-723,"-3,776","-2,700",-545,"-1,960","8,423",-599,"2,925","-9,082","-5,918","-3,619",-119,-961,"-1,715","-3,199","-2,879","-2,250",806,"-1,356",-86,944,"2,535",268,"5,187","3,199","4,122","-2,940",-896,"-1,273","-5,458",-70,"1,055","-3,980","-4,769","-1,067","1,550","-1,567",-738,-816,"-2,694","3,268","2,976",299,"2,787","6,180","7,322",504,"-4,542",3,"2,202",-49,"-4,018","-2,625","-4,386","2,077",143,500,"-1,305","-2,143","5,284","-1,289",-959,179,"-1,438","-1,106",-400,250,"1,600",-363,873,493,"-1,003","-3,900",
FQ500,Reserves excluding gold (- = increase),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"-4,439","-3,174",-640,"-2,305","-1,393",-996,-201,-723,"-3,776","-2,700",-545,"-1,960","8,423",-599,"2,925","-9,082","-5,918","-3,619",-119,-961,"-1,715","-3,199","-2,879","-2,250",806,"-1,356",-86,944,"2,535",268,"5,187","3,199","4,122","-2,940",-896,"-1,273","-5,458",-70,"1,055","-3,980","-4,769","-1,067","1,550","-1,567",-738,-816,"-2,694","3,268","2,976",299,"2,787","6,180","7,322",504,"-4,542",3,"2,202",-49,"-4,018","-2,625","-4,386","2,077",143,500,"-1,305","-2,143","5,284","-1,289",-959,179,"-1,438","-1,106",-400,250,"1,600",-363,873,493,"-1,003","-3,900",
FQ480,Monetary gold (- = increase),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
