Date,TermPremium,RiskPremium,mom%change,mo24mma%change,Volatility
2012-04,-3.1,11.65,-1.4613782865568767,0.8814386178488643,205.42278434873435
2012-07,0.35,15.49,3.269343901252808,0.9104255249600548,311.98337762847166
2012-09,0.35,15.35,9.181302452060567,1.1086736590932569,268.8407236839737
2012-10,0.7,14.48,-2.1623822103740657,1.089768017278469,196.67250221737504
2012-11,1.1,15.08,-15.59464389485124,0.9267549711320976,148.56533641882325
2012-12,1.1,14.92,13.618863191525207,1.0689609791728127,334.3332731064065
2013-01,3.55,14.33,2.637475697584581,1.1083830285856673,269.55930399285864
2013-02,3.65,14.56,-2.087402278430885,1.09915052735382,100.68373097519223
2013-03,1.3,14.83,-7.116182648202198,1.0222723155048103,170.67387728964664
2013-05,1.3,14.54,4.662579284438714,1.0919992380378083,109.86850339634412
2013-06,1.25,14.13,-12.623258567654084,0.9548290524232538,262.9784396435265
2013-07,1.25,14.05,12.046580335085489,1.07544241211592,381.6190698109496
2013-08,1.0,13.62,-1.07010723608841,1.0613521020769543,224.9822962466903
2013-09,1.15,13.91,6.697584533726156,1.126497272084317,168.32236256378326
2013-10,0.85,13.53,9.987136444427838,1.2238434129942268,230.41402986775768
2013-11,1.3,11.75,0.036396812609797,1.2070588459185263,247.7096305368916
2013-12,1.3,11.46,9.6817488692795,1.3010263190872844,169.70992948745226
2014-01,1.85,12.43,9.17624475883258,1.3854172992181295,237.6111977886219
2014-02,1.94,12.39,9.75240538806927,1.4885365584331989,260.9339092177123
2014-03,2.0,12.42,-3.966931776795644,1.3998162281210431,290.6658650394775
2014-04,1.79,12.73,5.779734350796853,1.4505179036483116,303.6157565787016
2014-05,2.02,13.02,-0.1598810097696854,1.4139289366745598,263.2561976486866
2014-06,1.98,12.92,-0.9795048853928414,1.3653729392931766,274.4959167017872
2014-07,0.95,13.27,8.136041753448836,1.4417548144428454,182.58983559794976
2014-08,1.49,13.55,7.030708293867849,1.5025837804213775,345.4247085008427
2014-09,1.29,13.43,3.859178158175808,1.5191458024134223,246.40604699539412
2014-10,1.35,13.63,-7.0914446460240175,1.3760001428988966,344.92288256233314
2014-11,1.35,13.8,2.109014955631152,1.3754367178092577,436.1262649966274
2014-12,1.3,12.73,-4.09652896255645,1.2835270784665394,291.49377746950944
2015-01,1.53,12.97,10.26731402171941,1.386534380106305,416.76802156212057
2015-02,1.8,12.17,-5.1720494559640775,1.2829210177109869,435.0712370598894
2015-03,1.8,12.26,-2.1344523950584966,1.2284895401043918,217.73370943211597
2015-04,1.75,12.4,-5.062957181234794,1.1404985305876247,357.10277548678704
2015-05,1.58,12.43,1.2714058224528746,1.1334118368109185,238.3183086052815
2015-06,1.68,12.3,-4.679961970042854,1.061286492288935,207.19149855058905
2015-07,1.15,12.8,-2.150144597224174,1.0189863228606812,371.1183681944887
2015-08,1.4,13.19,-11.464280787594008,0.8889577117927974,374.3792693588502
2015-09,1.51,13.34,1.1092833712286752,0.8897994167004237,451.6131739069518
2015-10,2.2,13.25,2.386647538211456,0.9032160852533948,182.88455812449232
2015-11,1.95,13.04,-15.33373557683984,0.7596699072230276,355.79186337226383
2015-12,2.19,13.27,10.215443669228298,0.8365548223627048,361.0582639125941
2016-01,2.17,13.83,-14.463153777970629,0.7147689895474713,347.78629276130886
2016-02,2.05,14.11,2.5732889238943257,0.7383451367401457,368.9978216463752
2016-03,1.26,15.37,22.41867078362694,0.912921295919282,384.171675101373
2016-04,1.16,15.46,3.298874815780483,0.9443742695694886,507.1838061878312
2016-05,1.59,15.4,-3.7253496937566486,0.9114210330225936,167.27408819131938
2016-06,1.37,16.48,-7.230829875795891,0.8487881319975342,153.3725409059976
2016-07,0.78,16.35,14.989225814257631,0.9821170120874416,322.18474227036324
2016-08,0.19,16.01,2.190739244533804,1.0079890379567338,379.1389434984084
2016-09,0.17,15.9,-3.394565361287764,0.9802763241519136,183.5268784344377
2016-10,0.08,15.56,6.406711744919193,1.053620188828433,188.1863607066071
2016-11,0.19,14.65,36.57535210343868,1.4445026939582688,939.0586736482963
2016-12,0.2,14.7,7.785039181018483,1.5396002397657216,918.7198056603096
2017-01,-0.11,14.9,2.65372959985873,1.5528730880866857,609.9943699959629
2017-02,0.11,14.59,-5.798544721676638,1.4419975685197035,359.1958477876871
2017-03,0.22,15.02,8.855413158514176,1.5493885638480074,379.8143669973314
2017-04,-0.1,14.84,-4.318650537137924,1.454582110788327,260.6242227003463
2017-05,0.03,16.38,7.286948269206013,1.532479500555597,235.19473064934184
2017-06,0.0,16.06,0.4211511113876494,1.5060805943308873,322.78661422228186
2017-07,-0.01,16.34,0.1759505397583252,1.4740368864932747,219.98259985035435
2017-08,0.08,14.72,-0.0269013918675733,1.439204540502124,235.8284782727359
2017-09,-0.05,13.12,3.523763451520112,1.4499728535926677,287.6073427283503
2017-10,0.07,13.27,3.267953149761918,1.4558407353922402,267.40341693748354
2017-11,0.01,13.79,1.67224686558298,1.4386018090524642,252.4052495985031
2017-12,0.08,13.78,2.9962515995506864,1.433244964448734,314.87662040671324
2018-01,-0.12,12.03,0.1546693086288654,1.391138002105568,281.77128373861194
2018-02,-0.11,11.93,2.860719421208225,1.382716722378288,242.1997667490247
2018-03,-0.12,12.08,12.780324558948708,1.507098632640021,671.388551113796
2018-04,-0.22,11.93,4.844772107976139,1.5256241841910398,677.8444674555366
2018-05,-0.93,12.49,-10.281395988209171,1.3204919224648333,508.5552220824071
2018-06,-0.15,14.1,-0.4019609455768734,1.276957369468834,570.606103561786
