Date,Foreign Exchange Reserves USD mn,GDP in mil USD,FER/GDP,FER/GDP MA3
2004-12-31,13446.7,21078.9,0.6379222824720455,
2005-01-31,14662.8,22290.44,0.6578066650994776,
2005-02-28,15455.4,22712.19,0.6804891998525902,0.6587393824747044
2005-03-31,16149.2,23017.24,0.7016132255648375,0.6799696968389685
2005-04-30,16589.8,23022.19,0.7206004294117979,0.700900951609742
2005-05-31,16882.7,23059.82,0.7321262698494612,0.7181133082753656
2005-06-30,17392.2,23482.76,0.7406369609023812,0.7311212200545468
2005-07-31,18336.4,24608.7,0.7451185962687993,0.7392939423402138
2005-08-31,18798.9,25816.23,0.7281814579433171,0.7379790050381659
2005-09-30,19571.0,26603.12,0.7356655911035999,0.7363218817719055
2005-10-31,19648.1,26570.92,0.7394587767378773,0.734435275261598
2005-11-30,19781.6,26039.55,0.7596751863991504,0.7449331847468758
2005-12-31,20686.2,25634.78,0.8069583589170651,0.7686974406846976
2006-01-31,20596.7,25763.08,0.7994657471078769,0.7886997641413641
2006-02-28,21103.2,26170.84,0.8063631125328802,0.8042624061859408
2006-03-31,21438.1,26707.32,0.802705026187577,0.8028446286094447
2006-04-30,21858.3,27075.85,0.8072987551637345,0.8054556312947305
2006-05-31,21848.0,27490.42,0.794749589129595,0.8015844568269689
2006-06-30,20834.2,28385.42,0.7339754000469255,0.7786745814467517
2006-07-31,20959.2,29824.44,0.7027525076749136,0.7438258322838114
2006-08-31,23002.6,31316.65,0.7345166229465795,0.7237481768894728
2006-09-30,23411.6,32386.76,0.7228756442447469,0.7200482582887466
2006-10-31,23867.2,32614.01,0.7318082014447166,0.7297334895453478
2006-11-30,24578.5,32366.38,0.7593836567450546,0.738022500811506
2006-12-31,24392.7,32010.49,0.7620220746386575,0.7510713109428094
2007-01-31,25655.1,31910.02,0.803982573498857,0.7751294349608564
2007-02-28,26139.1,32020.25,0.8163302909877342,0.7941116463750829
2007-03-31,26071.3,32175.44,0.8102857334662712,0.8101995326509542
2007-04-30,26437.8,32420.93,0.8154547078075798,0.8140235774205283
2007-05-31,27421.8,32867.74,0.8343074394527887,0.8200159602422131
2007-06-30,27843.5,33754.39,0.8248852964014459,0.8248824812206048
2007-07-31,28857.9,35512.66,0.8126087992282188,0.8239338450274846
2007-08-31,28977.0,37474.41,0.7732476642060542,0.8035805866119063
2007-09-30,29005.6,39040.85,0.7429551354542742,0.7762705329628491
2007-10-31,30438.1,40226.69,0.7566642942782515,0.7576223646461934
2007-11-30,31404.8,40407.92,0.7771941738154302,0.7589378678493187
2007-12-31,30932.4,40108.5,0.7712180709824601,0.7683588463587139
2008-01-31,32173.8,40343.35,0.7974994639760952,0.7819705695913285
2008-02-29,32783.2,40523.04,0.8090014964326466,0.792573010463734
2008-03-31,33267.6,40859.23,0.8142003654988114,0.8069004419691844
2008-04-30,33710.4,40961.09,0.8229859117518602,0.8153959245611061
2008-05-31,34066.3,41668.48,0.8175556199794185,0.8182472990766967
2008-06-30,34303.3,43065.42,0.7965393115868835,0.8123602811060541
2008-07-31,33623.8,46269.38,0.7266965755754671,0.780263835713923
2008-08-31,33476.4,49360.66,0.6782000078605107,0.7338119650076204
2008-09-30,33285.1,50349.91,0.6610756603139906,0.6886574145833227
2008-10-31,32429.3,48697.87,0.6659285098095665,0.668401392661356
2008-11-30,31693.6,46970.18,0.6747600285968671,0.667254732906808
2008-12-31,31795.8,45199.28,0.7034581081822542,0.6813822155295627
2009-01-31,30927.5,44546.1,0.6942807563400613,0.6908329643730609
2009-02-28,30397.1,44548.77,0.6823330924737092,0.6933573189986749
2009-03-31,29513.5,44627.66,0.6613275264712511,0.679313791761674
2009-04-30,28529.3,45174.86,0.6315304574269848,0.658397025457315
2009-05-31,28508.7,45927.18,0.6207370014880078,0.637864995128748
2009-06-30,28559.4,47700.53,0.5987229072716802,0.6169967887288909
2009-07-31,28879.2,50847.32,0.567959137276065,0.5958063486785843
2009-08-31,29092.3,54309.98,0.5356713443827451,0.5674511296434968
2009-09-30,29864.5,56358.7,0.5299004412805831,0.5445103076464645
2009-10-31,30369.8,56564.36,0.5369069852465403,0.5341595903032895
2009-11-30,30364.7,55300.95,0.5490809832380819,0.5386294699217351
2009-12-31,30145.4,53442.62,0.5640703992431508,0.5500194559092576
2010-01-31,30410.7,53211.05,0.5715109925476005,0.5615541250096111
2010-02-28,30673.0,52910.15,0.5797186362163025,0.5717666760023513
2010-03-31,31077.8,53260.47,0.5835059285057004,0.5782451857565345
2010-04-30,31230.6,53197.94,0.5870640855642154,0.5834295500954061
2010-05-31,31254.3,53164.22,0.5878822260535375,0.5861507467078177
2010-06-30,30826.6,54524.65,0.5653699748645795,0.5801054288274441
2010-07-31,30842.7,57794.04,0.5336657551539916,0.5623059853573695
2010-08-31,31095.7,61537.17,0.50531573031389,0.5347838201108204
2010-09-30,31068.4,63912.28,0.4861100245524021,0.5083638366734279
2010-10-31,31045.5,63626.08,0.4879367077148238,0.49312082086037196
2010-11-30,31112.4,61638.95,0.5047522710883298,0.4929330011185185
2010-12-31,31550.7,58810.34,0.5364821900366501,0.5097237229466012
2011-01-31,30514.9,56525.94,0.5398388775135805,0.5270244462128534
2011-02-28,28822.4,54264.0,0.5311514079315938,0.5358241584939415
2011-03-31,25593.0,53322.09,0.4799699336616401,0.5169867397022715
2011-04-30,23473.0,53535.32,0.4384581991851361,0.4831931802594567
2011-05-31,22773.0,55476.95,0.4104948091054032,0.4429743139840598
2011-06-30,21443.2,58739.5,0.3650558823279054,0.40466963020614827
2011-07-31,20739.3,63406.14,0.3270866196869893,0.3675457703734326
2011-08-31,20051.1,68341.6,0.2933952380394957,0.32851258001813016
2011-09-30,19096.1,71708.54,0.2663016148425278,0.2955944908563376
2011-10-31,17123.5,73025.21,0.2344875146541858,0.26472812251206973
