Date,Reserves,GDP in mil Local,FER/GDP
1995-08-31,752000,2096.619856922801,358.6725545486853
1995-09-30,681000,2259.1,301.44747908459124
1995-10-31,695000,2317.9801259490177,299.8300081263449
1995-11-30,817000,2291.090202337334,356.5987926474957
1995-12-31,717000,2218.0,323.26420198376917
1996-01-31,696000,2136.6626876258038,325.74163625863406
1996-02-29,554000,2072.0511124294626,267.36792189959044
1996-03-31,771000,2031.4,379.54120311115486
1996-04-30,663000,2040.462927904592,324.9262659630151
1996-05-31,1487000,2141.7143769065733,694.3035990390919
1996-06-30,2179000,2373.7,917.9761553692548
1996-07-31,1780000,2764.5864009831025,643.8576126132365
1996-08-31,1513000,3185.589252831627,474.9513763129113
1996-09-30,1585000,3472.9,456.39091249388116
1996-10-31,2831000,3545.871236353148,798.3933457526288
1996-11-30,2571000,3505.2813643883505,733.4646588202266
1996-12-31,2206000,3509.7,628.543750178078
1997-01-31,3265000,3680.616129712382,887.0797401670736
1997-02-28,3859000,3931.909295458373,981.4570250787351
1997-03-31,4279000,4223.9,1013.0448164019035
1997-04-30,7326000,4465.977128984107,1640.4024894024642
1997-05-31,7841000,4779.763423278589,1640.4577602758452
1997-06-30,10990000,5286.4,2078.919491525424
1997-07-31,12667000,6100.925247537643,2076.242452751318
1997-08-31,12621000,7030.230575201288,1795.2469502948895
1997-09-30,16096000,7806.3,2061.9243431587306
1997-10-31,15816000,8283.623198865156,1909.3094435013375
1997-11-30,16722000,8403.006729639483,1990.001976437478
1997-12-31,16765000,8183.5,2048.6344473635977
1998-01-31,16789000,7673.614670459245,2187.8867679702275
1998-02-28,16437000,7166.470680368375,2293.597606563444
1998-03-31,16342000,6822.7,2395.2394213434563
1998-04-30,17241000,6912.865477705677,2494.0453500220788
1998-05-31,17944000,7399.500813326958,2425.0284516060524
1998-06-30,18220000,8144.7,2237.0375827225066
1998-07-31,19372000,9079.451963066304,2133.608953359968
1998-08-31,18321000,10031.539293075872,1826.3398532113422
1998-09-30,17403000,10819.8,1608.4400820717574
1998-10-31,16532000,11354.646852799,1455.9677825580939
1998-11-30,14429000,11511.98077167043,1253.3898628034538
1998-12-31,15042000,11220.5,1340.5819705004233
1999-01-31,18953000,10486.28266021724,1807.4088420202243
1999-02-28,16809000,9793.641723968974,1716.317634824401
1999-03-31,17892000,9479.8,1887.38159032891
1999-04-30,18314000,9972.300532703655,1836.486971079558
1999-05-31,12560000,11082.707811924953,1133.2970437500378
1999-06-30,9843000,12382.3,794.925013931176
1999-07-31,14268000,13654.218761297816,1044.9517654164085
1999-08-31,20768000,14821.39680108559,1401.2174613987024
1999-09-30,23400000,15883.2,1473.2547597461469
1999-10-31,25857000,16879.619088812222,1531.8473636136712
1999-11-30,24669000,17478.899134179075,1411.358908282791
1999-12-31,27678000,17381.1,1592.4193520548183
2000-01-31,30640000,16408.040201549153,1867.3771896967407
2000-02-29,29060000,15273.621977875642,1902.6266357838626
2000-03-31,31270000,14621.4,2138.646094081278
2000-04-30,33430000,15110.720014080527,2212.336670181774
2000-05-31,33080000,16478.49516754776,2007.4648603318299
2000-06-30,40040000,18132.3,2208.21407102243
2000-07-31,46900000,19762.54368350645,2373.176284950712
2000-08-31,48630000,21310.052852551835,2282.0215574536533
2000-09-30,50990000,22823.1,2234.139972221127
2000-10-31,55400000,24376.630843355262,2272.668456769172
2000-11-30,57740000,25386.147500660136,2274.468782571225
2000-12-31,64000000,25296.3,2530.014270861747
2001-01-31,67260000,23767.26786675189,2829.9424392018673
2001-02-28,70280000,22043.43164158786,3188.2513187015516
2001-03-31,77020000,21074.0,3654.740438454968
2001-04-30,80350000,22007.79060943218,3650.97984736202
2001-05-31,86440000,24312.40451650875,3555.3867138606147
2001-06-30,103560000,26876.7,3853.1516145955416
2001-07-31,105790000,29103.327848871864,3634.9794961369253
2001-08-31,109130000,31059.863900382046,3513.537610789649
2001-09-30,111420000,33063.4,3369.889364070241
2001-10-31,108440000,35349.58350305369,3067.6457613887405
2001-11-30,112730000,36834.769584164045,3060.4236506060493
2001-12-31,123720000,36377.3,3401.0220659587158
2002-01-31,121050000,33272.099375984064,3638.1834110346035
2002-02-28,126780000,29767.46233717701,4259.012695269716
2002-03-31,133870000,27464.3,4874.327763678667
2002-04-30,143760000,28466.90572542376,5050.074686256052
2002-05-31,172500000,31731.777078737035,5436.1909694490305
2002-06-30,167990000,35274.2,4762.4042501318245
2002-07-31,172150000,37941.66404353877,4537.228514871004
2002-08-31,184370000,40031.88172244968,4605.579155091434
2002-09-30,184780000,42337.6,4364.44200899437
2002-10-31,201510000,45396.88745667442,4438.850575214342
2002-11-30,200210000,47606.73821898297,4205.4971100743705
2002-12-31,205140000,47195.4,4346.610050979544
2003-01-31,206700000,42998.08595798448,4807.1907247679965
