Date,FCI
2010-08,-0.6163204052588148
2010-09,-0.6036099150465366
2010-10,-0.6142928573754785
2010-11,-0.6206922125046621
2010-12,-0.5737699000720233
2011-01,-0.7326954818521383
2011-03,-0.93352101479113
2011-04,-1.0294054539203357
2011-05,-0.91402676140521
2011-06,-1.0294260706428338
2011-07,-1.0578020326201247
2011-08,-1.133992580783667
2011-09,-1.1848231268784228
2011-10,-1.2146430380045548
2011-11,-1.0761718837267211
2011-12,-1.1136510114005995
2012-01,-1.0121206658817925
2012-02,-0.9625386894892358
2012-03,-0.9549880131130841
2012-04,-0.9150322761821381
2012-05,-0.9697769775999645
2012-06,-0.9531268957267042
2012-07,-0.9684911619295151
2012-08,-0.8845066991326873
2012-09,-0.8195131258651701
2012-10,-0.7763860508369353
2012-11,-0.8211388154486039
2012-12,-0.6740656064048893
2013-01,-0.715353103716372
2013-02,-0.691914826138549
2013-03,-0.5409579227777067
2013-04,-0.4641630436501978
2013-05,-0.3371499727220418
2013-06,-0.3756102408600873
2013-07,0.1297307717712008
2013-08,-0.06706135368735149
2013-09,-0.1529673985496774
2013-10,-0.1677700260604661
2013-11,-0.2089134168439928
2013-12,-0.3288526545865067
2014-01,-0.12229893182521825
2014-02,-0.06337055137467719
2014-03,-0.07444114511626744
2014-04,-0.18577024946333287
2014-05,-0.39140765591968674
2014-06,-0.43474142613326544
2014-07,-0.4141862339369448
2014-08,-0.38891768447946484
2014-09,-0.35414362070374794
2014-10,-0.41298140600545125
2014-11,-0.4219763595565125
2014-12,-0.45464392688842614
2015-01,-0.5248305219561251
2015-02,-0.5633525648519413
2015-03,-0.6110854504739559
2015-04,-0.3234611756631307
2015-05,-0.368085925615264
2015-06,-0.3188493996191183
2015-07,-0.42644830228592157
2015-08,-0.5349483641271664
2015-09,-0.6689378755006251
2015-10,-0.6753460264196581
2015-11,-0.6556507032779357
2015-12,-0.4889358904879026
2016-01,-0.5518463464217924
2016-02,-0.5728978053701772
2016-03,-0.13337249122167952
2016-04,-0.39151434695386406
2016-05,-0.3454234979266668
2016-06,-0.18353305172067194
2016-07,-0.16970627535608643
2016-08,-0.06472259558091435
2016-09,0.23000075750461824
2016-10,0.2353937800956122
2016-11,1.3204071261712784
2016-12,1.4258026179491141
2017-01,1.5727423887164087
2017-02,1.546777028559489
2017-03,1.696475811142475
2017-04,1.6123210414413824
2017-05,2.164053366267266
2017-06,2.1471235225975978
2017-07,3.270050578597064
2017-08,3.046981683211307
2017-09,2.6295720099984186
2017-10,2.6914164837054835
2017-11,2.271309493042821
2017-12,2.160656805375592
2018-01,2.06314777888368
2018-02,2.0000139300453506
2018-03,1.693792964169002
2018-04,1.7457195297070498
2018-05,1.547750922204016
2018-06,1.4277869166270771
2018-07,1.275653038905575
2018-08,1.2753744913990492
2018-09,1.1770064885543718
2018-10,1.1188215275784152
2018-11,1.1220960643971885
2018-12,1.028228137025924
2019-01,1.0220652525611753
2019-02,0.7435226622866405
2019-03,0.46897856050130865
2019-04,0.7163599752060026
2019-05,0.6800514072416104
2019-06,0.7316025841780266
2019-07,0.6674212056242099
2019-08,0.41432462976223794
2019-09,0.20242171732520745
2019-10,0.24118182591920323
2019-11,-0.21684145363281201
2019-12,0.05926501391547913
2020-01,0.052756626800068526
2020-02,-0.005402550962579206
2020-03,-0.7163335474287255
2020-04,-0.7470401892531721
2020-05,-0.7766640155091883
2020-06,-0.7157840225688692
2020-07,-0.728125481453887
2020-08,-0.6939704246732337
2020-09,-0.8030087325048808
2020-10,-0.80030697741949
2020-11,-0.8913397881286417
2020-12,-0.8859205586407048
2021-01,-0.8542493695586362
2021-02,-0.8387869666721801
2021-03,-0.7582783395085317
2021-04,-0.6778317296794931
2021-05,-0.6466670383485188
2021-06,-0.6889670880267825
2021-07,-0.6569082027299954
2021-08,-0.7068670994627736
2021-09,-0.7211236419042482
2021-10,-0.7046335599278832
2021-11,-0.7032964088057992
2021-12,-0.6832060365408266
2022-01,-0.7014401011657807
2022-02,-0.7818515546908796
2022-03,-0.6471442972705425
2022-04,-0.6487885823347541
2022-05,-0.3459132551626261
2022-06,-0.5156371159208828
2022-07,-0.5728481045937551
2022-08,-0.49352467746467193
2022-09,-0.5738515931657169
2022-10,-0.06404667397581454
2022-11,-0.07862153546869864
2022-12,0.5715554764990449
2023-01,0.6304280561018923
2023-02,0.6869915930863999
2023-03,0.6774532166454768
2023-04,1.1261978513730335
2023-05,1.1235515119034036
2023-06,1.1912525833630059
2023-07,1.1375078299000387
2023-08,1.3865127914772695
2023-09,1.390681772961938
