Date,Bank Lending yryr%
2015-10-31,4.86352663
2015-11-30,7.76987379
2015-12-31,5.90034727
2016-01-31,5.42317026
2016-02-29,4.99919494
2016-03-31,2.88624197
2016-04-30,4.44239657
2016-05-31,4.13445587
2016-06-30,3.06808315
2016-07-31,2.95127733
2016-08-31,2.0814815
2016-09-30,4.04606691
2016-10-31,5.37661522
2016-11-30,3.66432278
2016-12-31,3.47544375
2017-01-31,4.05091799
2017-02-28,4.77919314
2017-03-31,6.45096473
2017-04-30,5.6778921
2017-05-31,6.05272292
2017-06-30,5.2521638
2017-07-31,6.9530666
2017-08-31,5.42675889
2017-09-30,5.0586333
2017-10-31,4.61188876
2017-11-30,4.31616141
2017-12-31,3.85508568
2018-01-31,4.29655681
2018-02-28,4.91798889
2018-03-31,4.25180213
2018-04-30,4.63950207
2018-05-31,4.10587096
2018-06-30,4.16395661
2018-07-31,4.87833279
2018-08-31,6.09097307
2018-09-30,6.78805607
2018-10-31,6.07056707
2018-11-30,6.52999439
2018-12-31,9.64615696
2019-01-31,6.26728369
2019-02-28,6.45945338
2019-03-31,6.69306529
2019-04-30,7.0940753
2019-05-31,7.88228824
2019-06-30,6.48207311
2019-07-31,7.27531201
2019-08-31,6.39141731
2019-09-30,7.15406616
2019-10-31,7.1554484
2019-11-30,4.72356632
2019-12-31,4.44112097
2020-01-31,6.30707483
2020-02-29,4.44858637
2020-03-31,8.48713324
2020-04-30,5.2161359
2020-05-31,2.75745516
2020-06-30,3.43415529
2020-07-31,0.1246441
2020-08-31,0.94217248
2020-09-30,-1.79949142
2020-10-31,0.21427525
2020-11-30,0.76233868
2020-12-31,0.704114
2021-01-31,-0.50084118
2021-02-28,1.59237533
2021-03-31,-1.75273954
2021-04-30,-0.29679358
2021-05-31,3.02640504
2021-06-30,2.67499773
2021-07-31,4.44994526
2021-08-31,3.4051022
2021-09-30,6.19431381
2021-10-31,3.62783343
2021-11-30,6.64759731
2021-12-31,7.13864565
2022-01-31,5.844852
2022-02-28,7.49405698
2022-03-31,6.52730929
2022-04-30,6.77905662
2022-05-31,7.16260137
2022-06-30,7.49935203
2022-07-31,5.5938383
2022-08-31,8.95822216
2022-09-30,9.15634543
2022-10-31,9.04104385
2022-11-30,4.8850987
2022-12-31,-0.16928864
2023-01-31,4.20948786
2023-02-28,1.88798448
2023-03-31,1.6280876
2023-04-30,-0.41989393
2023-05-31,-1.25619425
2023-06-30,-1.24015586
2023-07-31,0.73130376
2023-08-31,-2.20784266
2023-09-30,-4.9544919
