Date,CPI yryrl
1958-01-31,1.692986496103703
1958-02-28,0.6642335961266784
1958-03-31,0.5296271858870614
1958-04-30,1.0256500117189153
1958-05-31,0.8323670538548461
1958-06-30,1.0670324664713189
1958-07-31,-0.23182656023739856
1958-08-31,-0.3973515165576493
1958-09-30,-0.5285773821373926
1958-10-31,-0.7894777809623841
1958-11-30,-1.3529326996007398
1958-12-31,-1.3511492387569501
1959-01-31,-0.3297068561919035
1959-02-28,0.7584537639286959
1959-03-31,0.42826617984111764
1959-04-30,-0.13175232527118796
1959-05-31,-0.3321158847661418
1959-06-30,-0.5320930375431111
1959-07-31,-0.1659200612369912
1959-08-31,0.23198021770601168
1959-09-30,0.7260757984600099
1959-10-31,0.8877257097587098
1959-11-30,0.9588435178807525
1959-12-31,0.6943324337273082
1960-01-31,0.8222378208458765
1960-02-29,0.1969150649651244
1960-03-31,0.26263967984814945
1960-04-30,0.09883051655227085
1960-05-31,0.9601133158075962
1960-06-30,0.2996506287376996
1960-07-31,0.46388420159683125
1960-08-31,0.1984127616315345
1960-09-30,-0.19749841979999752
1960-10-31,-0.42643987373122216
1960-11-30,0.5905528986799022
1960-12-31,0.7222618382188543
1961-01-31,-0.032760035513704995
1961-02-28,0.13106161672973485
1961-03-31,-0.09840906584131441
1961-04-30,0.6236685284608673
1961-05-31,0.5257981257322052
1961-06-30,1.5176800717229644
1961-07-31,1.150382444798783
1961-08-31,1.6383066275688765
1961-09-30,1.0162355899021933
1961-10-31,1.1114857775932274
1961-11-30,-0.4590172039246261
1961-12-31,1.170745076785288
1962-01-31,-1.651838024251927
1962-02-28,-2.051014671502541
1962-03-31,-2.0557753195991535
1962-04-30,-3.1579822149156236
1962-05-31,-2.825516199286505
1962-06-30,-3.498607697449172
1962-07-31,-3.390155164119858
1962-08-31,-4.316739260898232
1962-09-30,-3.315953669207492
1962-10-31,-3.439492474347023
1962-11-30,-2.596683845644369
1962-12-31,-4.293922510529441
1963-01-31,-1.1053537477879136
1963-02-28,-0.7380107321326226
1963-03-31,0.334448477059352
1963-04-30,1.2418350607149147
1963-05-31,0.772463960131633
1963-06-30,0.6422195484798163
1963-07-31,0.6402717786012089
1963-08-31,1.2812043136913844
1963-09-30,1.073115592990907
1963-10-31,1.2040279250165713
1963-11-30,1.5395217054391463
1963-12-31,2.037818976557399
1964-01-31,2.198622875718638
1964-02-29,2.5923685046209
1964-03-31,1.6556669576713645
1964-04-30,1.883419292672054
1964-05-31,2.5761001854376246
1964-06-30,3.833913044264161
1964-07-31,3.595967192580026
1964-08-31,3.424766707083694
1964-09-30,3.313407914062963
1964-10-31,3.4632667322157933
1964-11-30,2.848449246477032
1964-12-31,11.306882538562398
1965-01-31,11.972148152229904
1965-02-28,13.913410637085292
1965-03-31,13.926206737150759
1965-04-30,13.455378308024077
1965-05-31,13.263434871341321
1965-06-30,13.166519057721693
1965-07-31,13.555461999400015
1965-08-31,14.918996121219653
1965-09-30,16.007968718865516
1965-10-31,15.22220389087181
1965-11-30,15.957722798849355
1965-12-31,10.769093453117415
1966-01-31,10.559433809922844
1966-02-28,9.341390291631889
1966-03-31,8.59155386697497
1966-04-30,9.570027143596265
1966-05-31,10.25009198081199
1966-06-30,9.53618607415694
1966-07-31,9.777665246738156
1966-08-31,8.008560866096829
1966-09-30,7.773468041118776
1966-10-31,8.482568433609229
1966-11-30,7.881423226806169
1966-12-31,4.3332761984009736
1967-01-31,1.2545904188884003
1967-02-28,1.650372680449715
1967-03-31,2.5881361748033176
1967-04-30,1.9313076113002154
1967-05-31,1.051156966583114
1967-06-30,1.1305361888760332
1967-07-31,-0.4371872723967394
1967-08-31,0.8713535346722547
1967-09-30,-0.15274952270584763
1967-10-31,-0.2282816443867694
1967-11-30,-0.6634369843745764
1967-12-31,-0.5346925562751934
1968-01-31,-1.6740288007203217
1968-02-29,-3.416146155277564
1968-03-31,-3.3227008748165616
1968-04-30,-2.625468291971784
1968-05-31,-3.991343186749816
1968-06-30,-3.3227008748165616
1968-07-31,-0.22684147083148956
1968-08-31,-1.2269780231369254
1968-09-30,-0.050406982184911624
1968-10-31,-0.09845075685755976
1968-11-30,-0.03796921739512528
1968-12-31,-0.4140231241292735
1969-01-31,2.985296314674001
1969-02-28,3.842932046929881
1969-03-31,4.023531221584268
1969-04-30,4.453601916027808
1969-05-31,4.981873034716606
1969-06-30,5.329519933801884
1969-07-31,1.7062025274841872
1969-08-31,1.800143357123939
1969-09-30,1.0323883350972998
1969-10-31,1.9562803638824475
1969-11-30,4.267809077936136
1969-12-31,3.9074738364864885
1970-01-31,4.18082253467178
1970-02-28,3.609832018856963
1970-03-31,3.4151911533036614
1970-04-30,2.199905397233971
1970-05-31,2.3095714812914143
1970-06-30,3.6400743080242846
1970-07-31,3.9618262773804194
1970-08-31,4.677606475606404
1970-09-30,5.627619058431755
1970-10-31,4.861443272956705
1970-11-30,2.9532347522689313
1970-12-31,2.8778964557844686
1971-01-31,3.046830667231089
1971-02-28,3.6594891101906426
1971-03-31,4.956766840609102
1971-04-30,4.5200427816275575
1971-05-31,3.3231616475866255
1971-06-30,2.9064132922557113
1971-07-31,3.375098324415722
1971-08-31,3.001107839586554
1971-09-30,1.053565496312839
1971-10-31,1.742204340452268
1971-11-30,2.8685147998344407
1971-12-31,2.711141127829635
1972-01-31,2.4412720643787025
1972-02-29,2.936307668077952
1972-03-31,1.542447037410117
1972-04-30,3.574848742932141
1972-05-31,2.357158457075638
1972-06-30,1.2936790997814476
1972-07-31,0.7829531071039233
1972-08-31,1.2100406891132094
