Date,CPI yryrl
1989-01-31,60.54082662519386
1989-02-28,53.23914016805511
1989-03-31,55.503387843031106
1989-04-30,57.54891370917129
1989-05-31,61.734546714366346
1989-06-30,64.86726904581157
1989-07-31,71.24594915923183
1989-08-31,103.92160787114533
1989-09-30,130.61683166406058
1989-10-31,171.75745710386786
1989-11-30,188.25138324965192
1989-12-31,200.09393135248783
1990-01-31,240.47806053087152
1990-02-28,255.18641179128815
1990-03-31,251.18730980178148
1990-04-30,248.73204010119358
1990-05-31,246.5129022179326
1990-06-30,244.33899695850667
1990-07-31,239.24257969938353
1990-08-31,213.82998986861895
1990-09-30,188.4034745337226
1990-10-31,151.73226235262948
1990-11-30,135.04080825554817
1990-12-31,125.0760965824695
1991-01-31,66.73164205254238
1991-02-28,58.778666490211904
1991-03-31,59.77369957552872
1991-04-30,53.64933705145685
1991-05-31,51.760260804501435
1991-06-30,54.46471722415015
1991-07-31,52.05779152086688
1991-08-31,51.64100020598913
1991-09-30,51.342224961325655
1991-10-31,49.956243148728
1991-11-30,48.673782823690075
1991-12-31,47.25005094443228
1992-01-31,37.43183791113276
1992-02-29,33.71862673548699
1992-03-31,32.28078744271551
1992-04-30,33.789978861239845
1992-05-31,35.90720685384538
1992-06-30,32.93037471426005
1992-07-31,34.57151037023904
1992-08-31,36.67242797917339
1992-09-30,38.18552424690307
1992-10-31,38.11724155391198
1992-11-30,37.43183791113276
1992-12-31,36.67242797917339
1993-01-31,31.84537311185346
1993-02-28,33.43270802748248
1993-03-31,33.43270802748248
1993-04-30,32.28078744271551
1993-05-31,30.601302913650446
1993-06-30,29.490591754110053
1993-07-31,29.862201249011523
1993-08-31,29.56502421009577
1993-09-30,27.00271372130602
1993-10-31,26.082461828189828
1993-11-30,28.51789422336625
1993-12-31,31.918073951115183
1994-01-31,28.065745751481654
1994-02-28,26.15947376884624
1994-03-31,26.390154378637753
1994-04-30,27.155269052189734
1994-05-31,27.155269052189734
1994-06-30,28.292075535007044
1994-07-31,28.367405105424197
1994-08-31,27.914574142949462
1994-09-30,29.71372312225361
1994-10-31,30.821972366932904
1994-11-30,28.893129185221284
1994-12-31,25.851069515150098
1995-01-31,27.99018851328186
1995-02-28,28.968007511445403
1995-03-31,28.593053941297452
1995-04-30,28.065745751481654
1995-05-31,27.99018851328186
1995-06-30,26.466929814270802
1995-07-31,24.373018492259817
1995-08-31,22.872792960811047
1995-09-30,21.672298351128703
1995-10-31,20.212418409013434
1995-11-30,19.885085874516516
1995-12-31,19.556678354397526
1996-01-31,19.06203596086497
1996-02-29,18.564934688662927
1996-03-31,18.564934688662927
1996-04-30,18.48184369925419
1996-05-31,18.065349969325755
1996-06-30,17.814618538347403
1996-07-31,18.564934688662927
1996-08-31,18.64795669426184
1996-09-30,17.814618538347403
1996-10-31,17.814618538347403
1996-11-30,17.47932903731631
1996-12-31,16.974277458709455
1997-01-31,16.381808522939494
1997-02-28,15.956456967133844
1997-03-31,15.357908792830058
1997-04-30,14.236724128692199
1997-05-31,13.627761829254775
1997-06-30,14.236724128692199
1997-07-31,13.889199886661865
1997-08-31,13.540463700620297
1997-09-30,12.75133202989597
1997-10-31,12.31021971339834
1997-11-30,12.39859797809913
1997-12-31,12.39859797809913
1998-01-31,12.722278513996086
1998-02-28,13.319258523578062
1998-03-31,13.0282370262922
1998-04-30,12.827887225968777
1998-05-31,12.512490692890099
1998-06-30,11.483647658962962
1998-07-31,11.233712244241781
1998-08-31,10.660973505825828
1998-09-30,10.035199392670403
1998-10-31,9.401843677250351
1998-11-30,8.818485486173621
1998-12-31,8.248280513590172
1999-01-31,6.659265994913197
1999-02-28,5.48858334842707
1999-03-31,5.971126365536089
1999-04-30,6.087870718107329
1999-05-31,6.244883927248852
1999-06-30,6.331277021175252
1999-07-31,6.087870718107329
1999-08-31,6.957270335196046
1999-09-30,7.698881852811082
1999-10-31,8.32375985700556
1999-11-30,8.805666382028313
1999-12-31,9.316242047413633
2000-01-31,9.620977504716087
2000-02-29,9.927503663392354
2000-03-31,9.758939859251381
2000-04-30,9.363605196126713
2000-05-31,9.49282887113849
2000-06-30,9.750776334781204
2000-07-31,10.985838506023885
2000-08-31,10.127417794063245
2000-09-30,9.777078639105394
2000-10-31,9.404574437903898
2000-11-30,8.887131290263225
2000-12-31,8.150625155513842
2001-01-31,7.1389996086673
2001-02-28,6.391332574365285
2001-03-31,6.015392281974714
2001-04-30,6.391332574365285
2001-05-31,6.6723632042908125
2001-06-30,6.015392281974714
2001-07-31,5.069311431551816
2001-08-31,4.974209189481401
2001-09-30,4.210117601863533
2001-10-31,3.922071315328133
2001-11-30,3.5367143837291346
2001-12-31,3.5367143837291346
2002-01-31,3.343477608623742
2002-02-28,3.4401426717332315
2002-03-31,3.246719013750141
2002-04-30,2.955880224154443
2002-05-31,1.8821754240587667
2002-06-30,1.5873349156290164
2002-07-31,1.2916225266546228
2002-08-31,1.1928570865273813
2002-09-30,1.2916225266546228
2002-10-31,1.0939940038334264
2002-11-30,0.8959741371471801
2002-12-31,0.7968169649176882
2003-01-31,0.4987541511038968
2003-02-28,0.4987541511038968
2003-03-31,0.5982071677547469
2003-04-30,0.2995508979798371
2003-05-31,0.3992021269537457
2003-06-30,0.7968169649176882
2003-07-31,0.7968169649176882
2003-08-31,0.6975613736425138
2003-09-30,0.8959741371471801
2003-10-31,1.2916225266546228
2003-11-30,1.5873349156290164
2003-12-31,1.6857117066422806
2004-01-31,1.5873349156290164
2004-02-29,1.5873349156290164
2004-03-31,1.6857117066422806
2004-04-30,2.176149178151271
