Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGROU5D,Romania 5-year Government Bond Yield,Government Bond Yields,Romania New Leu,Romania,,,,,,,Percent per Annum,Units,Stock,NA ,Daily From Jan 2008 To Sep 2022<BR>,,
Date,Ticker,Close,Annual_Percent_Change
01/31/2008,IGROU5D,8.5,
02/29/2008,IGROU5D,8.68,
03/31/2008,IGROU5D,9,
04/30/2008,IGROU5D,9.201,
05/31/2008,IGROU5D,9.4,
06/30/2008,IGROU5D,9.25,
07/31/2008,IGROU5D,9.7,
08/31/2008,IGROU5D,9.15,
09/30/2008,IGROU5D,9.953,
10/31/2008,IGROU5D,11,
11/30/2008,IGROU5D,10.8,
12/31/2008,IGROU5D,12.26,
01/31/2009,IGROU5D,10.72,26.1176470588235
02/28/2009,IGROU5D,10.955,28.8823529411765
03/31/2009,IGROU5D,11,22.2222222222222
04/30/2009,IGROU5D,10.4,13.0311922617107
05/31/2009,IGROU5D,10.541,12.1382978723404
06/30/2009,IGROU5D,10.471,13.2
07/31/2009,IGROU5D,10.399,7.20618556701031
08/31/2009,IGROU5D,9.75,6.55737704918032
09/30/2009,IGROU5D,9,-9.57500251180548
10/31/2009,IGROU5D,9.801,-10.9
11/30/2009,IGROU5D,9.5,-12.037037037037
12/31/2009,IGROU5D,9.5,-22.5122349102773
01/31/2010,IGROU5D,7.71,-28.0783582089552
02/28/2010,IGROU5D,6.5,-40.666362391602
03/31/2010,IGROU5D,6.534,-40.6
04/30/2010,IGROU5D,6.302,-39.4038461538462
05/31/2010,IGROU5D,6,-43.0794042310976
06/30/2010,IGROU5D,7.551,-27.8865437876039
07/31/2010,IGROU5D,6.95,-33.1666506394846
08/31/2010,IGROU5D,7,-28.2051282051282
09/30/2010,IGROU5D,6.95,-22.7777777777778
10/31/2010,IGROU5D,7.159,-26.9564330170391
11/30/2010,IGROU5D,7.15,-24.7368421052632
12/31/2010,IGROU5D,6.997,-26.3473684210526
01/31/2011,IGROU5D,7.121,-7.63942931258106
02/28/2011,IGROU5D,6.8,4.61538461538461
03/31/2011,IGROU5D,6.951,6.38200183654729
04/30/2011,IGROU5D,6.95,10.282450015868
05/31/2011,IGROU5D,7.02,17
06/30/2011,IGROU5D,7.04,-6.76731558733943
07/31/2011,IGROU5D,7.21,3.7410071942446
08/31/2011,IGROU5D,7.4,5.71428571428572
09/30/2011,IGROU5D,7.45,7.19424460431655
10/31/2011,IGROU5D,7.07,-1.24319038971923
11/30/2011,IGROU5D,7.042,-1.51048951048952
12/31/2011,IGROU5D,7.149,2.17235958267829
01/31/2012,IGROU5D,6.66,-6.47380985816599
02/29/2012,IGROU5D,7.031,3.39705882352941
03/31/2012,IGROU5D,6.259,-9.9554021004172
04/30/2012,IGROU5D,6.3,-9.35251798561151
05/31/2012,IGROU5D,6.55,-6.69515669515669
06/30/2012,IGROU5D,6.56,-6.81818181818182
07/31/2012,IGROU5D,6.56,-9.01525658807213
08/31/2012,IGROU5D,6.75,-8.78378378378379
09/30/2012,IGROU5D,6.57,-11.8120805369128
10/31/2012,IGROU5D,6.64,-6.08203677510609
11/30/2012,IGROU5D,6.851,-2.71229764271514
12/31/2012,IGROU5D,6.45,-9.7775912715065
