"Date","Price","Open","High","Low","Change %"
"10/01/2023","14.522","12.790","14.522","12.338","13.52%"
"09/01/2023","12.793","11.352","12.816","11.280","12.67%"
"08/01/2023","11.354","8.950","11.751","8.943","26.78%"
"07/01/2023","8.956","9.767","10.100","8.908","-8.36%"
"06/01/2023","9.773","11.451","11.451","7.779","-14.72%"
"05/01/2023","11.460","11.078","11.497","11.034","3.41%"
"04/01/2023","11.082","10.995","11.153","10.992","0.75%"
"03/01/2023","10.999","7.470","10.999","7.389","46.93%"
"02/01/2023","7.486","7.960","7.997","6.495","-6.12%"
"01/01/2023","7.974","11.693","11.693","7.747","-31.86%"
"12/01/2022","11.703","13.856","13.856","11.703","-18.14%"
"11/01/2022","14.297","14.401","15.170","14.297","-1.01%"
"10/01/2022","14.443","13.597","14.443","13.597","19.29%"
"09/01/2022","12.107","11.622","12.797","11.015","4.08%"
"08/01/2022","11.632","10.809","11.699","10.799","7.57%"
"07/01/2022","10.813","8.015","10.850","8.015","34.78%"
"06/01/2022","8.023","7.568","8.163","7.533","5.89%"
"05/01/2022","7.577","7.792","7.792","7.577","-3.07%"
"04/01/2022","7.817","7.348","7.850","7.296","1.23%"
"03/01/2022","7.722","6.490","7.770","4.394","18.00%"
"02/01/2022","6.544","6.859","6.859","6.544","-4.08%"
"01/01/2022","6.822","7.518","7.650","6.822","-9.04%"
"12/01/2021","7.500","8.198","8.224","7.487","-8.70%"
"11/01/2021","8.215","8.065","8.567","8.023","1.44%"
"10/01/2021","8.098","8.110","9.053","8.098","-0.23%"
"09/01/2021","8.117","9.590","9.664","8.117","-16.70%"
"08/01/2021","9.744","10.183","10.351","9.406","-4.34%"
"07/01/2021","10.186","10.939","11.003","10.186","-11.29%"
"06/01/2021","11.482","11.797","11.797","11.224","-2.69%"
"05/01/2021","11.799","10.503","11.933","10.438","12.24%"
"04/01/2021","10.512","6.292","10.522","5.640","65.94%"
"03/01/2021","6.335","2.267","6.950","2.261","192.74%"
"02/01/2021","2.164","2.898","2.911","1.904","83.86%"
"01/01/2021","1.177","2.636","2.636","1.087","-48.89%"
"12/01/2020","2.303","0.506","2.427","0.473","327.27%"
"11/01/2020","0.539","2.416","2.433","0.539","-75.98%"
"10/01/2020","2.244","2.500","3.158","2.227","-11.16%"
"09/01/2020","2.526","5.120","5.305","1.984","-43.85%"
"08/01/2020","4.499","2.879","5.174","2.869","20.33%"
"07/01/2020","3.739","4.790","4.790","3.213","-22.22%"
"06/01/2020","4.807","6.188","6.484","4.361","-19.32%"
"05/01/2020","5.958","5.735","6.418","5.577","3.53%"
"04/01/2020","5.755","7.500","7.500","5.755","-23.49%"
"03/01/2020","7.522","6.437","9.253","6.273","14.80%"
"02/01/2020","6.552","7.013","7.749","6.295","-7.46%"
"01/01/2020","7.080","8.436","8.679","7.000","-13.34%"
"12/01/2019","8.170","10.817","10.988","8.158","-25.20%"
"11/01/2019","10.922","12.775","13.199","10.922","-10.71%"
"10/01/2019","12.232","14.361","14.584","12.232","-14.82%"
"09/01/2019","14.361","14.392","14.592","13.993","-0.22%"
"08/01/2019","14.393","12.966","14.692","12.802","13.35%"
"07/01/2019","12.698","12.485","13.687","11.209","2.73%"
"06/01/2019","12.361","12.628","13.376","12.361","0.59%"
"05/01/2019","12.288","13.790","13.790","12.050","-11.44%"
"04/01/2019","13.876","13.916","14.208","13.634","-1.48%"
"03/01/2019","14.084","14.410","14.743","13.802","-6.43%"
"02/01/2019","15.052","14.873","16.806","14.597","-1.18%"
"01/01/2019","15.231","15.469","15.644","14.619","-0.43%"
"12/01/2018","15.297","15.003","15.476","14.525","-0.54%"
"11/01/2018","15.380","14.678","15.427","14.195","6.78%"
"10/01/2018","14.404","14.242","14.792","13.257","1.12%"
"09/01/2018","14.245","14.365","15.210","13.860","-1.23%"
"08/01/2018","14.422","13.150","14.496","12.916","6.52%"
"07/01/2018","13.539","13.349","13.778","12.897","9.93%"
"06/01/2018","12.316","12.306","13.370","12.306","-3.03%"
"05/01/2018","12.701","11.996","13.470","11.996","10.49%"
"04/01/2018","11.495","13.812","13.812","11.237","-17.18%"
"03/01/2018","13.879","13.958","14.016","13.449","-0.70%"
"02/01/2018","13.977","13.916","14.245","13.748","2.37%"
"01/01/2018","13.653","14.165","14.165","13.535","-4.44%"
"12/01/2017","14.288","14.858","15.058","13.748","-3.70%"
"11/01/2017","14.837","15.073","15.183","14.707","-2.96%"
"10/01/2017","15.290","15.272","16.084","14.396","-2.68%"
"09/01/2017","15.711","16.673","16.718","15.711","-5.76%"
"08/01/2017","16.671","16.730","17.060","16.671","-0.81%"
"07/01/2017","16.807","16.557","16.824","16.463","1.51%"
"06/01/2017","16.557","16.433","16.574","15.904","0.78%"
"05/01/2017","16.429","16.246","16.511","16.246","1.13%"
"04/01/2017","16.246","16.523","16.523","15.821","-19.25%"
"03/01/2017","20.118","20.118","20.118","20.118","0.10%"
"02/01/2017","20.098","20.179","20.179","19.697","-0.31%"
"01/01/2017","20.160","19.054","20.160","19.054","5.89%"
"12/01/2016","19.039","19.335","19.459","19.039","-1.32%"
"11/01/2016","19.293","18.824","19.620","18.560","2.57%"
"10/01/2016","18.810","18.805","18.843","18.359","0.03%"
"09/01/2016","18.805","19.883","19.972","17.866","-5.55%"
"08/01/2016","19.909","20.817","21.081","17.572","1.14%"
"07/01/2016","19.684","12.429","19.684","11.950","58.26%"
