Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGEGY10D,Egypt 10-year Government Bond Yield,Government Bond Yields,Egypt Pound,Egypt,,,,,,,Percent per Annum,Units,Stock,none,Quarterly From Apr 2012 To Oct 2012<BR>Daily From Oct 2012 To Sep 2023<BR>,,
Date,Ticker,Close
08/31/2010,IGEGY10D,13.05
09/30/2010,IGEGY10D,13
10/31/2010,IGEGY10D,13
11/30/2010,IGEGY10D,12.95
12/31/2011,IGEGY10D,13
01/31/2011,IGEGY10D,13
02/28/2011,IGEGY10D,13
03/31/2011,IGEGY10D,14.6
05/31/2011,IGEGY10D,14
06/30/2011,IGEGY10D,13.75
07/31/2011,IGEGY10D,13.85
08/31/2011,IGEGY10D,15.5
09/30/2011,IGEGY10D,15.25
10/31/2011,IGEGY10D,15.5
11/30/2011,IGEGY10D,15.5
12/31/2011,IGEGY10D,17
01/31/2012,IGEGY10D,14.2
02/29/2012,IGEGY10D,15
03/31/2012,IGEGY10D,14.5
04/30/2012,IGEGY10D,13.6
05/31/2012,IGEGY10D,17
06/30/2012,IGEGY10D,17
07/31/2012,IGEGY10D,17
08/31/2012,IGEGY10D,17
09/30/2012,IGEGY10D,17
10/31/2012,IGEGY10D,16.2
11/30/2012,IGEGY10D,16.7
12/31/2012,IGEGY10D,16.7
01/31/2013,IGEGY10D,16.35
02/28/2013,IGEGY10D,16.45
03/31/2013,IGEGY10D,16.7
05/31/2013,IGEGY10D,16.7
06/30/2013,IGEGY10D,16.65
07/31/2013,IGEGY10D,16.65
08/31/2013,IGEGY10D,16.4
09/30/2013,IGEGY10D,16.55
10/31/2013,IGEGY10D,16.1
11/30/2013,IGEGY10D,14.5
12/31/2013,IGEGY10D,14.5
01/31/2014,IGEGY10D,15.1
02/28/2014,IGEGY10D,15.05
03/31/2014,IGEGY10D,15.15
04/30/2014,IGEGY10D,15.4
05/31/2014,IGEGY10D,15.5
06/30/2014,IGEGY10D,15.45
07/31/2014,IGEGY10D,15.85
08/31/2014,IGEGY10D,15.9
09/30/2014,IGEGY10D,15.95
10/31/2014,IGEGY10D,15.98
11/30/2014,IGEGY10D,15.98
12/31/2014,IGEGY10D,14.9
01/31/2015,IGEGY10D,14.65
02/28/2015,IGEGY10D,14.2
03/31/2015,IGEGY10D,14.2
04/30/2015,IGEGY10D,14.45
05/31/2015,IGEGY10D,14.55
06/30/2015,IGEGY10D,14.65
07/31/2015,IGEGY10D,15
08/31/2015,IGEGY10D,15.4
09/30/2015,IGEGY10D,15.4
10/31/2015,IGEGY10D,15.41
11/30/2015,IGEGY10D,15.25
12/31/2015,IGEGY10D,15.54
01/31/2016,IGEGY10D,15.77
02/29/2016,IGEGY10D,15.85
03/31/2016,IGEGY10D,17.15
04/30/2016,IGEGY10D,17.29
05/31/2016,IGEGY10D,17.24
06/30/2016,IGEGY10D,17.97
07/31/2016,IGEGY10D,17.81
