Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGPOL5D,Poland 5-year Government Note Yield,Government Bond Yields,Poland New Zloty,Poland,,,,,,,Percent per Annum,Units,Stock,none,Daily From Dec 2003 To Jun 2023<BR>,"Source: Narodowy Bank Polski The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.",
Date,Ticker,Close,Annual_Percent_Change
12/31/2003,IGPOL5D,6.7,
01/31/2004,IGPOL5D,6.93,
02/29/2004,IGPOL5D,6.75,
03/31/2004,IGPOL5D,6.6,
04/30/2004,IGPOL5D,7.4,
05/31/2004,IGPOL5D,7.54,
06/30/2004,IGPOL5D,7.37,
07/31/2004,IGPOL5D,7.82,
08/31/2004,IGPOL5D,7.64,
09/30/2004,IGPOL5D,6.97,
10/31/2004,IGPOL5D,7.01,
11/30/2004,IGPOL5D,6.66,
12/31/2004,IGPOL5D,6.06,-9.55223880597016
01/31/2005,IGPOL5D,6.14,-11.3997113997114
02/28/2005,IGPOL5D,5.34,-22.9437229437229
03/31/2005,IGPOL5D,5.49,-16.8181818181818
04/30/2005,IGPOL5D,5.54,-25.1351351351351
05/31/2005,IGPOL5D,5.15,-31.6976127320955
06/30/2005,IGPOL5D,4.57,-37.9918588873813
07/31/2005,IGPOL5D,4.88,-37.5959079283887
08/31/2005,IGPOL5D,4.59,-39.9214659685864
09/30/2005,IGPOL5D,4.63,-33.5724533715925
10/31/2005,IGPOL5D,5.19,-25.962910128388
11/30/2005,IGPOL5D,5.23,-21.4714714714715
12/31/2005,IGPOL5D,4.97,-17.986798679868
01/31/2006,IGPOL5D,4.88,-20.5211726384365
02/28/2006,IGPOL5D,4.42,-17.2284644194757
03/31/2006,IGPOL5D,4.83,-12.0218579234973
04/30/2006,IGPOL5D,4.95,-10.6498194945848
05/31/2006,IGPOL5D,5.01,-2.71844660194176
06/30/2006,IGPOL5D,5.52,20.7877461706783
07/31/2006,IGPOL5D,5.39,10.4508196721311
08/31/2006,IGPOL5D,5.42,18.082788671024
09/30/2006,IGPOL5D,5.39,16.414686825054
10/31/2006,IGPOL5D,5.08,-2.1194605009634
11/30/2006,IGPOL5D,4.96,-5.16252390057362
12/31/2006,IGPOL5D,4.97,0
01/31/2007,IGPOL5D,4.91,0.614754098360661
02/28/2007,IGPOL5D,5.05,14.2533936651584
03/31/2007,IGPOL5D,5,3.51966873706004
04/30/2007,IGPOL5D,5.1,3.03030303030302
05/31/2007,IGPOL5D,5.14,2.59481037924151
06/30/2007,IGPOL5D,5.52,0
07/31/2007,IGPOL5D,5.48,1.66975881261597
08/31/2007,IGPOL5D,5.68,4.7970479704797
09/30/2007,IGPOL5D,5.58,3.52504638218925
10/31/2007,IGPOL5D,5.58,9.84251968503937
11/30/2007,IGPOL5D,5.99,20.7661290322581
12/31/2007,IGPOL5D,6.07,22.1327967806841
01/31/2008,IGPOL5D,5.71,16.2932790224033
02/29/2008,IGPOL5D,6.12,21.1881188118812
03/31/2008,IGPOL5D,6.09,21.8
04/30/2008,IGPOL5D,6.05,18.6274509803922
05/31/2008,IGPOL5D,6.38,24.124513618677
06/30/2008,IGPOL5D,6.77,22.6449275362319
07/31/2008,IGPOL5D,6.3,14.963503649635
08/31/2008,IGPOL5D,6.12,7.74647887323944
09/30/2008,IGPOL5D,5.98,7.16845878136201
10/31/2008,IGPOL5D,6.75,20.9677419354839
11/30/2008,IGPOL5D,5.8,-3.17195325542572
12/31/2008,IGPOL5D,5.29,-12.8500823723229
01/31/2009,IGPOL5D,5.05,-11.5586690017513
