date,imf_fci,fci
2002-12-01,0.3328103448501249,-0.9552514109695174
2003-01-01,0.3339018370897795,-1.0503469200715505
2003-02-01,0.28782439970179874,-1.1061604134774556
2003-03-01,0.25529620001569553,-0.5215626012164
2003-04-01,0.46844110726704463,0.01620029952153729
2003-05-01,0.3106174341513223,-0.5927302181661269
2003-06-01,0.048670373529462047,-1.3748596580785346
2003-07-01,0.2827658902309661,-0.3787724686909755
2003-08-01,0.3832935949900349,-0.08533293464548317
2003-09-01,0.339462661102773,-0.9723120518475352
2003-10-01,0.2945648125353111,-0.21059892048579404
2003-11-01,0.22435204821030916,-1.173963131970902
2003-12-01,0.5218638059132539,-0.5969274768425074
2004-01-01,0.1566501002653201,-0.2828614888277563
2004-02-01,0.242883785734108,-0.6928748592131518
2004-03-01,0.29819566306855044,-0.2496903108390932
2004-04-01,0.25372464276248063,-0.7858502676556197
2004-05-01,0.097674839801979,-0.8406087249764712
2004-06-01,0.115439450470699,-0.9194456747508462
2004-07-01,0.045929746676705,-1.0337263406262591
2004-08-01,0.06204166047812005,-0.789148370607449
2004-09-01,0.14124628122201677,-0.7635130137508691
2004-10-01,0.259942461336122,-0.5785899748686866
2004-11-01,0.35179294009429185,-0.2350390801863588
2004-12-01,0.2964100865402245,-0.32634994045836785
2005-01-01,0.2580209885995993,-0.1683137092253814
2005-02-01,0.42609391967072346,0.6671314731538618
2005-03-01,-0.01230077847163567,-1.6153813924105502
2005-04-01,-0.02249307147467035,-1.2461552453979694
2005-05-01,0.2373134389739337,-0.6643956282609843
2005-06-01,0.35639686284674,-0.24198293729241377
2005-07-01,0.4497878637655198,-0.1304369858749945
2005-08-01,0.4206872754447758,-0.5487143277277547
2005-09-01,0.22241445158634313,-0.4602567495181193
2005-10-01,0.0289679292850407,-2.010266541681922
2005-11-01,0.00426667145073968,-0.9932841955322538
2005-12-01,0.13819370780862958,-0.932472791869152
2006-01-01,0.3381905597826864,-0.3866103774642447
2006-02-01,0.32758081925396265,-0.3914910917616677
2006-03-01,0.13139618641563774,-0.844619893331755
2006-04-01,0.03629870617035804,-0.2604825447631758
2006-05-01,-0.2989950918924182,-1.9669359882142303
2006-06-01,-0.3030258196211554,-1.5001784981402724
2006-07-01,-0.2411427871892217,-0.8483739376418828
2006-08-01,-0.268635795210445,-0.8170695426833311
2006-09-01,-0.261457489187537,-0.7916466665954988
2006-10-01,-0.13189535191527907,-0.4353056837262976
2006-11-01,-0.08142820172829358,-0.46872901268019446
2006-12-01,-0.02763972459758731,0.074786619000527
2007-01-01,-0.14882827156686002,-0.9066389368465204
2007-02-01,-0.16599976332067062,-0.7091157647875987
2007-03-01,-0.08954749973715487,-0.6656378101899354
2007-04-01,-0.00224359901803567,-0.10648386330905985
2007-05-01,-0.02185946652353141,-0.473926500899693
2007-06-01,0.02081707281543191,-0.04788345541066231
2007-07-01,-0.18820347806122267,-1.0895858710308182
2007-08-01,-0.32971444431546276,-1.5457697509156996
2007-09-01,-0.28544863298816375,-0.5704675099919707
2007-10-01,-0.334128805679661,-0.9376853020772778
2007-11-01,-0.399889453532821,-1.3261534348225257
2007-12-01,-0.4204590166689884,-1.0378611204460644
2008-01-01,-1.0288104839817616,-1.9724838244683407
2008-02-01,-1.165825379616168,-1.3462245910741186
2008-03-01,-1.4742408248525731,-1.8824718704350825
2008-04-01,-1.2396304080411489,-0.6849265324072633
2008-05-01,-1.0999444129374103,-0.8395045261412589
2008-06-01,-1.3167378846593023,-1.704265464989544
2008-07-01,-0.9447343749050288,-0.3857246769274056
2008-08-01,-1.1508278482302925,-1.5048208230690907
2008-09-01,-2.0442365086813252,-2.042316172748228
2008-10-01,-4.0321861040105755,-4.525442196058661
2008-11-01,-2.283440021066747,-3.198087654333748
2008-12-01,0.15746260457443725,-1.9781286886301008
2009-01-01,-1.7152001136948811,-1.849286144156726
2009-02-01,-2.800407967294643,-2.161969679099955
2009-03-01,-1.509818606137224,-0.6436404776122252
2009-04-01,1.290058702190303,0.4106261034987717
2009-05-01,1.9887538203182704,0.6696335376437554
2009-06-01,0.7892579018570338,-0.21344456752530053
2009-07-01,1.948757831392264,0.9364916243898256
2009-08-01,1.0081925181260636,0.6704220521849831
2009-09-01,1.0802489887450029,0.3893620017668638
2009-10-01,0.7973220156417206,0.4097774145567163
2009-11-01,0.7092271476912444,0.39395681334812765
2009-12-01,0.23588670550439755,0.5605447067924865
2010-01-01,0.6286885684592679,0.3352662161381258
2010-02-01,-0.11674297536273756,-0.05938085034685144
2010-03-01,1.1622909278081923,1.3566787881706177
2010-04-01,0.46540287621509085,0.5287987504952902
2010-05-01,-1.4810155741466389,-0.3565683650443434
2010-06-01,-1.535559779716793,-0.02925719634107844
2010-07-01,-0.5393503628378101,1.1025689846443325
2010-08-01,-1.2556885856567717,0.7966077891613145
2010-09-01,-0.7210702690158161,0.9621832441409108
2010-10-01,-0.6925646282072114,0.7507367908681533
2010-11-01,-2.1355771207588616,-0.5098005451289315
2010-12-01,0.17075135253747745,0.2829982341221497
2011-01-01,0.0686186324614772,0.7429876947867797
2011-02-01,-0.08320527751338799,0.48032558029174194
2011-03-01,0.17873777008750044,0.5949053790139086
2011-04-01,0.26904124362175674,0.885766660851124
2011-05-01,-1.0040402692033985,0.4426691074562746
2011-06-01,-0.902684839376942,0.45494258260785786
2011-07-01,-1.4190956650038984,0.19685618626286733
2011-08-01,-2.010327358270908,-1.290116159086072
2011-09-01,-2.344475809033461,-1.2691179957191696
2011-10-01,-0.3863481229981106,0.7861130651379804
