date,imf_fci,fci
2005-03-01,1.189528553,-0.06930195847419239
2005-04-01,1.185414915,-0.23473255723435735
2005-05-01,1.163242874,-0.1911268836828424
2005-06-01,1.130077374,-0.01658027367086976
2005-07-01,1.19662502,0.04803368676723163
2005-08-01,1.220184949,0.00393428527989745
2005-09-01,1.160493675,0.1414352710220244
2005-10-01,1.138383431,-0.02502420666160355
2005-11-01,1.034640401,-0.10481013970628668
2005-12-01,1.094150934,-0.00692502516793974
2006-01-01,1.154011538,0.1707060015822838
2006-02-01,1.12051006,0.3312351507295277
2006-03-01,0.990432218,0.3628083015385665
2006-04-01,1.119023667,0.43756953328638887
2006-05-01,0.921454128,0.1764707249486558
2006-06-01,0.791516982,0.0183344450753034
2006-07-01,0.998776474,0.10742908977768488
2006-08-01,1.055291783,-0.06691894751610775
2006-09-01,0.864944688,-0.0542819488640949
2006-10-01,0.973554385,0.1070728437129398
2006-11-01,1.065243135,0.08092117684822822
2006-12-01,1.042404562,0.05794497270211776
2007-01-01,1.113756901,0.1082440026645402
2007-02-01,1.108483491,-0.10843824906569163
2007-03-01,1.148608874,0.01324439555568795
2007-04-01,1.133608176,-0.05006491901450641
2007-05-01,1.046968206,0.03776046411921935
2007-06-01,1.052006885,-0.07084928189672929
2007-07-01,0.940737913,-0.29220753337990674
2007-08-01,0.867420302,-0.5235996170838013
2007-09-01,1.012136167,-0.4314581072910627
2007-10-01,0.875160596,-0.32098870709638383
2007-11-01,0.813289789,-0.6960166720262724
2007-12-01,0.699653361,-0.7577890244462685
2008-01-01,0.490368559,-0.949269046016538
2008-02-01,0.470704193,-1.0918710826305873
2008-03-01,0.461250759,-1.0860146590643185
2008-04-01,0.401724345,-1.026465833338447
2008-05-01,0.535026033,-1.06720211553631
2008-06-01,0.354002879,-1.3843626277228716
2008-07-01,0.253263296,-1.3040564136698225
2008-08-01,0.139142984,-1.3696505944825328
2008-09-01,-0.099616959,-1.3952068142126832
2008-10-01,-0.324866561,-1.815715569375784
2008-11-01,-0.821787358,-2.0061464385293375
2008-12-01,-0.921603122,-2.0911211038959245
2009-01-01,-1.194842352,-1.8931899216194208
2009-02-01,-0.885435069,-1.8565369370522231
2009-03-01,-0.903309214,-1.707319578008487
2009-04-01,-0.784405007,-1.2240327223607967
2009-05-01,-0.757352771,-1.107231848148302
2009-06-01,-0.588486811,-1.128154318264618
2009-07-01,-0.34904815,-0.9927195122544862
2009-08-01,-0.303896989,-0.94823764218708
2009-09-01,-0.262288937,-1.0097248256367917
2009-10-01,-0.062082321,-0.9399930381381404
2009-11-01,0.140664477,-0.9015917973068328
2009-12-01,0.184944557,-0.7262816198163169
2010-01-01,0.373868933,-0.7545608744791705
2010-02-01,0.398252418,-0.7971010257989763
2010-03-01,0.474924977,-0.5057662183268853
2010-04-01,0.401213853,-0.5189859951089797
2010-05-01,0.360116173,-0.693966928844085
2010-06-01,0.46509841,-0.841817431783801
2010-07-01,0.408440468,-0.752130466123791
2010-08-01,0.450015029,-0.8382991555880087
2010-09-01,0.556857031,-0.8247429686639824
2010-10-01,0.499346631,-0.8413664578545194
2010-11-01,0.408318454,-1.0214236751440322
2010-12-01,0.615705352,-0.7867428295856377
2011-01-01,0.703233625,-0.8321355526948767
2011-02-01,0.519506114,-0.7007928463383926
2011-03-01,0.794818059,-0.734022938404389
2011-04-01,0.547048878,-0.6647254658346438
2011-05-01,0.74333234,-0.7901492597716694
2011-06-01,0.133940756,-0.790110736830682
2011-07-01,0.220982552,-1.0444597231776032
2011-08-01,0.242615408,-1.3407464732026333
2011-09-01,-0.234862883,-1.6602913542000457
2011-10-01,-0.032178775,-1.406766470596704
2011-11-01,-0.196130096,-1.475644462381369
2011-12-01,-0.238941005,-1.4791333745835973
2012-01-01,-0.24185998,-1.3285425652033656
2012-02-01,-0.146853021,-1.2781578625439165
2012-03-01,-0.082818144,-1.2681351725088683
2012-04-01,0.024159637,-1.4403785840611243
2012-05-01,0.056856956,-1.6246015194467254
2012-06-01,0.094301134,-1.3646847078014763
2012-07-01,0.087163788,-1.2762590678253307
2012-08-01,0.396830414,-1.173090207850723
2012-09-01,0.501949473,-1.0037966848374986
2012-10-01,0.677318486,-0.9198233185521726
2012-11-01,0.720645726,-0.6663175520183301
2012-12-01,0.839764612,-0.3815759986595975
2013-01-01,0.81201137,-0.33951683713875136
2013-02-01,0.815820436,-0.41176647058711774
2013-03-01,0.835406797,-0.4797542850764977
2013-04-01,0.900840259,-0.4003637702270482
2013-05-01,0.798968972,-0.29685290424222
2013-06-01,0.643957078,-0.52357671883839485
2013-07-01,0.940009078,-0.3598418314228442
2013-08-01,0.6238391,-0.3418474826402909
2013-09-01,0.677243102,-0.31362721398364257
2013-10-01,0.691485824,-0.08760807803246069
2013-11-01,0.574550018,-0.02707426215521196
2013-12-01,0.867994438,0.09795356626394013
2014-01-01,0.866609737,-0.13640813521160106
2014-02-01,0.937130088,-0.05067155181157082
2014-03-01,0.932218816,-0.14940685204500384
2014-04-01,0.855428147,-0.26854047239382683
2014-05-01,1.077342287,-0.31448821215641065
2014-06-01,1.134405452,-0.2765414061893142
2014-07-01,1.13660775,-0.3029998283594477
2014-08-01,1.146062495,-0.29071365801005544
2014-09-01,1.221637525,-0.07406476221795157
2014-10-01,1.079336222,0.09470396245213124
2014-11-01,1.170778412,0.17315208303757604
2014-12-01,1.052648776,0.21315049430119004
2015-01-01,1.056597614,0.3035563529010397
2015-02-01,1.137942155,0.3722253280479015
2015-03-01,1.143104308,0.2573243713655187
2015-04-01,1.289419552,0.19832875419623464
