date,value,mo12m
2004-01-01,417117.674733,NA
2004-02-01,419762.200689,NA
2004-03-01,420994.28335600003,NA
2004-04-01,423793.999404,NA
2004-05-01,433067.994972,NA
2004-06-01,436041.612979,NA
2004-07-01,442189.6165,NA
2004-08-01,447995.072215,NA
2004-09-01,451770.643314,NA
2004-10-01,459246.677562,NA
2004-11-01,465323.215399,NA
2004-12-01,469181.371315,NA
2005-01-01,470348.974138,12.761698347852013
2005-02-01,474889.062067,13.132878874637704
2005-03-01,479990.715498,14.013594596036722
2005-04-01,485128.6361,14.4727477930923
2005-05-01,490942.947795,13.36394134291588
2005-06-01,494859.17669,13.488979482752406
2005-07-01,506725.395044,14.59459384297867
2005-08-01,513588.2506,14.64149551036151
2005-09-01,516015.74956,14.220735055895815
2005-10-01,517562.510587,12.698150226057356
2005-11-01,519677.224387,11.68091494025141
2005-12-01,523087.281585,11.489354344763301
2006-01-01,529594.028903,12.595978310270029
2006-02-01,535196.573568,12.699284173551138
2006-03-01,535534.395003,11.571823727334474
2006-04-01,546908.399197,12.734717866513499
2006-05-01,552121.347868,12.461407246559725
2006-06-01,561395.717228,13.445550506519405
2006-07-01,567264.510542,11.94712483133852
2006-08-01,575576.332031,12.069606607741198
2006-09-01,583231.684733,13.025946442587099
2006-10-01,589808.963242,13.958981026863935
2006-11-01,588200.656359,13.185767772068276
2006-12-01,601561.424441,15.002112576359439
2007-01-01,596954.420273,12.719250537913
2007-02-01,604938.186272,13.031027504352823
2007-03-01,610707.677328,14.037059622394338
2007-04-01,620239.125074,13.408228139240153
2007-05-01,650936.548952,17.89737010995352
2007-06-01,664025.5266,18.281188513292275
2007-07-01,672300.8597,18.516291290220465
2007-08-01,678183.2122,17.826806708145458
2007-09-01,682168.6536,16.9635792184872
2007-10-01,690202.749,17.021407271630117
2007-11-01,704900.8155,19.840195327795367
2007-12-01,716545.3719,19.114248817707804
2008-01-01,724986.3921,21.44752890320307
2008-02-01,738725.5807,22.115878525123374
2008-03-01,756825.8128,23.9260354661503
2008-04-01,761200.7505,22.726980567242034
2008-05-01,762456.108901,17.13217058230102
2008-06-01,766939.512251,15.498498405317187
2008-07-01,775537.0541,15.355654081130712
2008-08-01,781477.655279,15.231052792344558
2008-09-01,778151.308616,14.07022361837824
2008-10-01,780824.074329,13.129667399948305
2008-11-01,785082.1634,11.374841131815932
2008-12-01,791660.0728,10.482895270235984
2009-01-01,793637.1261,9.469244491768432
2009-02-01,800037.901909,8.299742531035918
2009-03-01,808887.6188,6.878968068939007
2009-04-01,812694.611507,6.764820052157856
2009-05-01,827132.5461,8.48264397700535
2009-06-01,831498.4914,8.417740658519037
2009-07-01,835744.7607,7.76335653876271
2009-08-01,836792.9498,7.078295092295561
2009-09-01,848100.3561,8.989131896264437
2009-10-01,848050.4193,8.609666015839847
2009-11-01,854351.75330502,8.823228081635472
2009-12-01,866650.8023,9.47259209811699
2010-01-01,868032.55266057,9.373985177099192
2010-02-01,875886.39441524,9.4806123966446
2010-03-01,888477.31715049,9.839401234569861
2010-04-01,890678.60759848,9.5957319006794215
2010-05-01,896336.55155468,8.366737082343416
2010-06-01,917764.845014,10.374805788132292
2010-07-01,922943.76316308,10.43368819806231
2010-08-01,935542.87979659,11.800999281864412
