date,value,mo12m
2001-12-01,30675.919,NA
2002-01-01,29166.9475,NA
2002-02-01,30310.4727,NA
2002-03-01,31865.7451,NA
2002-04-01,32659.7133,NA
2002-05-01,36157.3944,NA
2002-06-01,36036.646,NA
2002-07-01,36402.2671,NA
2002-08-01,38048.3996,NA
2002-09-01,38736.793,NA
2002-10-01,40587.9043,NA
2002-11-01,40807.3248,NA
2002-12-01,44970.0064,46.59709591748497
2003-01-01,43013.0418,47.4718662280309
2003-02-01,44264.0036,46.03534573052039
2003-03-01,44411.2098,39.369751627116344
2003-04-01,43901.1883,34.4200051505045
2003-05-01,43725.2992,20.930448461739836
2003-06-01,44189.9819,22.62512415833593
2003-07-01,48352.9846,32.82959675882387
2003-08-01,49163.07283,29.211933607846156
2003-09-01,51307.3629,32.45124060734714
2003-10-01,52602.2602,29.600828392610538
2003-11-01,50767.5276,24.407879832397146
2003-12-01,54446.236,21.07233322519607
2004-01-01,51803.9695,20.43781916395413
2004-02-01,55183.621,24.66929448740602
2004-03-01,56463.2423,27.137365890897215
2004-04-01,57653.5412,31.32569625683685
2004-05-01,59655.9772,36.43354829233507
2004-06-01,61438.404,39.03242626130156
2004-07-01,64870.4245,34.160124833328275
2004-08-01,68018.7198,38.35327184531482
2004-09-01,69725.8757,35.89838136077737
2004-10-01,71339.2778,35.620175879818945
2004-11-01,70732.087,39.32545141315883
2004-12-01,80809.7452,48.42117864676634
2005-01-01,81437.6278,57.20345098265105
2005-02-01,85203.2954,54.39960962329747
2005-03-01,89242.8193,58.05471961003558
2005-04-01,87670.8687,52.06501955512145
2005-05-01,91390.3732,53.1956687149867
2005-06-01,95637.978,55.664815121174044
2005-07-01,95914.51,47.855530065168594
2005-08-01,99567.039,46.3818185534271
2005-09-01,100822.76,44.5987719592025
2005-10-01,101025.349,41.61251994059296
2005-11-01,99259.989,40.332334602257674
2005-12-01,97006.354,20.04289056958937
2006-01-01,101343.155,24.442665801716778
2006-02-01,103813.956,21.842653517835654
2006-03-01,109867.773,23.11105124398507
2006-04-01,107669.82,22.811398582617215
2006-05-01,113538.407,24.23453699169269
2006-06-01,109936.701,14.950883842399929
2006-07-01,117179.741,22.171026052262583
2006-08-01,115232.282,15.733362322846622
2006-09-01,115838.367,14.893072754604223
2006-10-01,128567.436,27.262550708931478
2006-11-01,101939.967,2.6999579860924654
2006-12-01,110710.191,14.126741635913868
2007-01-01,107019.815048,5.601424238272436
2007-02-01,110005.960813,5.964520620907647
2007-03-01,113059.070648,2.9046712797209353
2007-04-01,113080.709493,5.02544677143511
2007-05-01,112800.45287,-0.649959911803248
2007-06-01,116261.523769,5.753149504640863
2007-07-01,120066.814555,2.4637992287421167
2007-08-01,124427.917315,7.980086096880379
2007-09-01,126641.106242,9.325700561714578
2007-10-01,128879.680518,0.24286438908215627
2007-11-01,136233.017722,33.64043733896832
2007-12-01,148167.743642,33.83387952243708
2008-01-01,147473.334832,37.80002774799786
2008-02-01,149800.469411,36.17486571081998
2008-03-01,152100.64398,34.532013316784365
2008-04-01,157150.844508,38.97228378968393
2008-05-01,157673.018139,39.78048325808996
2008-06-01,161568.03523,38.969480179031116
2008-07-01,161359.100701,34.39108991026399
2008-08-01,162416.962287,30.530965873058424
2008-09-01,166158.339118,31.204112194413447
2008-10-01,162381.794766,25.994876859832793
2008-11-01,164642.661953,20.85371425080911
2008-12-01,174087.790566,17.49371778693447
2009-01-01,176152.159779,19.446786756175698
2009-02-01,176279.152639,17.675968127544234
2009-03-01,175359.597721,15.2918180570349
2009-04-01,176479.170221,12.299218482415512
2009-05-01,177455.277704,12.546382252644232
2009-06-01,180514.576416,11.726664348569107
2009-07-01,181588.416982,12.53683008464774
2009-08-01,184178.266927,13.39841869566956
2009-09-01,184022.466489,10.751267415060951
2009-10-01,184170.348003,13.41810100596458
2009-11-01,185732.617174,12.809532457037466
2009-12-01,189813.701382,9.033322075529469
2010-01-01,186267.590014,5.742438950331786
2010-02-01,187796.864693,6.533791365327804
2010-03-01,190253.487337,8.493341573294678
2010-04-01,190863.172724,8.150538380811348
2010-05-01,192784.957943,8.638616127591474
2010-06-01,194997.691471,8.023238534279542
2010-07-01,193550.727454,6.587595547565008
2010-08-01,195593.746257,6.198059912532778
2010-09-01,195604.685427,6.293915715281594
2010-10-01,194782.865439,5.7623377221544505
2010-11-01,197356.879856,6.258600594159525
2010-12-01,202754.004727,6.817370532677006
2011-01-01,199294.707513,6.9937649904746655
2011-02-01,198209.06817400001,5.544396866274259
2011-03-01,196416.042452,3.2391285969355885
2011-04-01,196540.823064,2.974722812666552
2011-05-01,198343.434411,2.883252162050663
2011-06-01,199963.111026,2.5463991483911776
2011-07-01,203422.987238,5.100605879327564
2011-08-01,204452.723411,4.529274234749708
2011-09-01,208779.618413,6.735489468076626
2011-10-01,207196.161822,6.372889296511284
2011-11-01,208924.115441,5.861075425108026
2011-12-01,215866.134836,6.467014117257496
2012-01-01,216344.563014,8.555096978622903
2012-02-01,217571.390725,9.768636081777329
2012-03-01,215861.396381,9.900084375110065
2012-04-01,217956.859726,10.89648263812666
2012-05-01,220238.46688,11.038949957693035
2012-06-01,216449.663884,8.244797139536583
2012-07-01,221079.586521,8.679746336800271
2012-08-01,220039.146147,7.623485016957908
2012-09-01,220790.800794,5.753043554874188
2012-10-01,220423.988273,6.3842043861622715
2012-11-01,220699.868184,5.636377934707807
2012-12-01,222002.026591,2.8424522260805802
2013-01-01,219320.769971,1.3756791090735163
2013-02-01,219483.781044,0.8789714091671039
2013-03-01,225295.991774,4.370672825792219
