date,value,mo12m
2001-12-01,1309364.18081214,NA
2002-01-01,1343652.5,NA
2002-02-01,1380765.9,NA
2002-03-01,1425821.4,NA
2002-04-01,1427171.3,NA
2002-05-01,1377373.6,NA
2002-06-01,1423636,NA
2002-07-01,1361855.3,NA
2002-08-01,1433017.1,NA
2002-09-01,1489607.3,NA
2002-10-01,1554400.4,NA
2002-11-01,1460533.8,NA
2002-12-01,1555800.9,0.18821098270383893
2003-01-01,1609897.5,0.19815019136272213
2003-02-01,1650371.7,0.19525815346395797
2003-03-01,1808692.1,0.26852640870728983
2003-04-01,1841260.8,0.29014702019302097
2003-05-01,1732198.1,0.25760948227844643
2003-06-01,1846738,0.29719816020387235
2003-07-01,1841699.8,0.3523461706981645
2003-08-01,1825520.6,0.2739000811644187
2003-09-01,1692261.7,0.13604552018508495
2003-10-01,1781460.2,0.14607548994454714
2003-11-01,1802551.2,0.23417287569791256
2003-12-01,1766010.9,0.13511368967584478
2004-01-01,1851992.7,0.15037926327607812
2004-02-01,1965647.7,0.19103332903733142
2004-03-01,2026739.8,0.12055545551395948
2004-04-01,1985912.8,0.07856138576349422
2004-05-01,2018163.1,0.16508793076265352
2004-06-01,2018037.7,0.0927579873268433
2004-07-01,2037848.8,0.10650432822982334
2004-08-01,2029824.2,0.11191525310642884
2004-09-01,2046218,0.20916167989856418
2004-10-01,2128359.8,0.19472767339960773
2004-11-01,2172399,0.20518019127556547
2004-12-01,2131169.42482548,0.20677025539620414
2005-01-01,2286827.6,0.23479298811491003
2005-02-01,2307911.29,0.17412255003783236
2005-03-01,2482457.1,0.2248523959513698
2005-04-01,2486725.6,0.2521826738817535
2005-05-01,2521381.6,0.24934481261697827
2005-06-01,2651515.4,0.3139077629719207
2005-07-01,2756636.4,0.35271880818635803
2005-08-01,2746951.9,0.3532954725832907
2005-09-01,2752763.1,0.3452931701314328
2005-10-01,2681367,0.2598278730879996
2005-11-01,2650287.8,0.21998205670321144
2005-12-01,2612891.13,0.22603632520392763
2006-01-01,2650754.3,0.15914041793093617
2006-02-01,2750817.61,0.1919078614152452
2006-03-01,2879006.55,0.15974070609316862
2006-04-01,2944785.5,0.1842020285631836
2006-05-01,3319069.79,0.3163694817158973
2006-06-01,3478139.03,0.31175516838408707
2006-07-01,3505941.9,0.2718187643462881
2006-08-01,3546203.55,0.2909594631052695
2006-09-01,3540654.0250672,0.28621820928477276
2006-10-01,3659841.2,0.36491617894902123
2006-11-01,3695626.9,0.39442474888953577
2006-12-01,3562695.9,0.3635072120283864
2007-01-01,3819944.6,0.4410783375886631
2007-02-01,3890318,0.4142406191735846
2007-03-01,3984863.7,0.38411067526053405
2007-04-01,3847255.2,0.306463645654327
2007-05-01,4061596.35,0.22371525969027606
2007-06-01,4094450.02,0.1771956165881041
2007-07-01,4169473.36,0.18925911464762152
2007-08-01,4283512.45,0.20791499687038564
2007-09-01,4527252.784746,0.2786487334525927
2007-10-01,4635059.368319,0.2664646128140751
2007-11-01,5893429.18477,0.5947035088336434
2007-12-01,6689365.86967982,0.8776134863713234
2008-01-01,7373522.6370349,0.9302695219807374
2008-02-01,7804739.25435191,1.006195702858201
2008-03-01,8785077.12350801,1.2046116968838882
2008-04-01,8524077.02824958,1.2156255785292278
2008-05-01,8321538.24689073,1.04883438180427
2008-06-01,8870093.28580008,1.1663699013231772
2008-07-01,8868921.43518532,1.1271083106729147
2008-08-01,8994639.86399726,1.0998281127903013
2008-09-01,9468665.59345251,1.0914815327644105
2008-10-01,8667473.0034383,0.8699810109620532
2008-11-01,8528554.58636022,0.447129390881628
2008-12-01,9513845.5551583,0.42223429552279396
2009-01-01,9740568.59465063,0.32101969087703053
2009-02-01,9330607.47228786,0.1955053421016119
2009-03-01,9304945.51730162,0.05917630391684254
2009-04-01,9182253.31706083,0.07721378943784676
2009-05-01,8957100.87702788,0.07637561845907788
2009-06-01,9353886.456987,0.05454206123868069
2009-07-01,9239601.40396282,0.04179538306731596
2009-08-01,9704065.46059861,0.07887204016260393
2009-09-01,9657813.45654309,0.01997619001576888
2009-10-01,10218013.7839608,0.17889190769990482
2009-11-01,10633205.860293,0.24677701861681972
2009-12-01,10928017.1362797,0.14864352936175762
2010-01-01,10556873.817595,0.08380467885546966
2010-02-01,10889809.3637588,0.16710614995881135
2010-03-01,11141330.7703955,0.19735583079764454
2010-04-01,10957292.346417,0.1933119211662467
2010-05-01,10787721.8833172,0.20437650880814368
2010-06-01,10961596.1803077,0.17187612130140856
2010-07-01,10965822.2089424,0.1868284928654186
2010-08-01,11584324.9792455,0.19375997887496768
2010-09-01,11231159.1521412,0.1629090997333544
2010-10-01,11256343.5171184,0.10161757021579515
2010-11-01,11222393.7342409,0.05541018218673578
2010-12-01,11662911.7919411,0.0672486734324051
2011-01-01,11844809.926814,0.12199976351639384
2011-02-01,11829088.4925,0.08625303688667982
2011-03-01,12024870.6468166,0.07930290327335243
2011-04-01,12128809.3230685,0.10691664871336407
2011-05-01,12161740.0187282,0.12736870214793602
2011-06-01,12310587.3411623,0.12306521227976246
2011-07-01,12700851.6067604,0.15822155099351498
2011-08-01,13030901.6027523,0.12487362242500007
2011-09-01,13163599.1373394,0.17206060024799696
2011-10-01,12880169.7049883,0.1442587626612871
2011-11-01,13272351.2124224,0.18266668651330847
2011-12-01,14192086.085339,0.21685616238180946
2012-01-01,14126038.2586301,0.1925930720637324
2012-02-01,14361505.919368,0.2140839024472283
2012-03-01,15202571.7884985,0.2642607338585507
2012-04-01,15225119.4324095,0.2552855788945371
