,Date,Last_Price,24mma,mo24mma%change
0,2023-10-09,19409.78,13954.552083333334,42.492109529295334
1,2023-09-27,20174.28,13621.652500000002,52.612696852425735
2,2023-08-31,18873.82,13219.267083333332,46.34063982770915
3,2023-07-31,17595.92,12897.182916666667,39.521571884642
4,2023-06-26,17665.29,12611.612500000001,43.58618109667277
5,2023-05-31,17495.77,12302.917916666667,45.75591533727118
6,2023-04-30,17667.74,12003.471666666666,50.95748939338854
7,2023-03-30,16418.53,11703.785000000002,43.26779587659541
8,2023-02-28,17002.08,11460.028333333334,51.3742544338884
9,2023-01-31,16446.38,11231.8175,49.13778592498192
10,2022-12-29,14598.53,11027.64125,34.28559996063014
11,2022-11-30,13259.26,10871.255,23.058532517027366
12,2022-10-31,11372.79,10774.758749999999,5.901484643221313
13,2022-09-29,9827.46,10739.027916666668,-8.899024822393711
14,2022-08-31,9998.61,10787.436666666666,-7.799417103726161
15,2022-07-31,9467.08,10844.410833333333,-13.079016905393082
16,2022-06-29,9225.61,10891.593333333332,-15.791822854139845
17,2022-05-31,10150.05,10955.717499999999,-7.378543965184852
18,2022-04-28,11047.7,10958.637916666667,1.0022907380244832
19,2022-03-31,11238.48,10938.06875,3.39419642287276
20,2022-02-28,11138.86,10869.54625,1.748292670004816
21,2022-01-31,11490.45,10947.46625,3.9986864155866964
22,2021-12-30,11949.18,11048.649166666668,7.33601427292678
23,2021-11-30,11395.6,11132.498333333331,1.4317862647942314
24,2021-10-31,11420.19,11234.7425,0.4813220142195768
25,2021-09-30,10517.03,11365.485416666668,-8.717024124454168
26,2021-08-31,11143.8,11521.34875,-4.551231669020492
27,2021-07-29,10742.23,11675.16375,-8.852848094832767
28,2021-06-30,10256.62,11785.590416666668,-14.140094801402553
29,2021-05-31,10309.06,11945.762083333335,-14.730845207277321
30,2021-04-28,10475.26,12090.0225,-14.663405898526726
31,2021-03-31,10568.37,12275.226250000002,-15.106374048640085
32,2021-02-28,11525.02,12448.955833333333,-8.426777751480042
