,Date,Last_Price,24mma,mo24mma%change
0,2023-10-09,67101.33,52976.57791666667,1.2920924594179564
1,2023-09-29,66382.14,51932.29750000001,1.3056489583299955
2,2023-08-31,66548.99,50842.25708333333,1.3389187064745796
3,2023-07-31,64337.52,49703.532916666656,1.3230296933576964
4,2023-06-30,60968.27,48628.93125,1.2790173181663163
5,2023-05-31,55769.28,47668.05666666667,1.1879474497408347
6,2023-04-28,52403.51,46945.915,1.128839888727322
7,2023-03-31,54857.96,46422.44708333333,1.1987252963806097
8,2023-02-28,55806.26,45763.57916666667,1.2374813563606304
9,2023-01-31,53238.67,45096.64708333334,1.1924739218208245
10,2022-12-30,51251.06,44645.56333333333,1.1598398428202468
11,2022-11-30,47660.04,44188.049166666664,1.0915603704217467
12,2022-10-31,43839.08,43662.30333333334,1.016964288035778
13,2022-09-30,49024.16,43107.787083333336,1.1621687728908379
14,2022-08-31,49836.51,42183.33958333333,1.2107373368818903
15,2022-07-29,50370.25,41162.11541666667,1.2563584461568722
16,2022-06-30,51817.59,40092.260416666664,1.3302538512548117
17,2022-05-31,53637.14,38953.159166666665,1.4200575064823033
18,2022-04-29,49638.94,37771.104166666664,1.3539607180031898
19,2022-03-31,46965.48,36662.02375,1.3195275485026425
20,2022-02-28,47394.53,35592.64833333334,1.3654341013238063
21,2022-01-31,46624.67,34710.22875,1.3725512221894653
22,2021-12-31,42716.44,33969.347916666666,1.2824711162879476
23,2021-11-30,43248.05,33307.91583333333,1.3253668469280904
24,2021-10-29,42038.6,32631.00333333333,1.314622463116384
25,2021-09-30,40221.17,31977.697916666668,1.2787669213307533
26,2021-08-31,39219.61,31453.08916666666,1.266544053089456
27,2021-07-30,38547.08,30965.8475,1.2632320610190035
28,2021-06-30,37907.28,30514.646666666667,1.2558817878980348
29,2021-05-31,38437.88,30183.79625,1.2865471591227635
30,2021-04-30,39840.28,29876.774999999998,1.3536496000365592
31,2021-03-31,39045.13,29431.7525,1.3418370668869353
32,2021-02-26,39799.89,29098.264583333337,1.383782024059736
33,2021-01-29,42412.66,28761.67583333334,1.5003931165483997
34,2020-12-31,40270.72,28267.698333333334,1.4434283085448776
35,2020-11-30,35042.14,27899.355833333335,1.2638870114100103
36,2020-10-30,30530.69,27725.690416666668,1.097975873757206
37,2020-09-30,26837.42,27806.33958333333,0.956655518772174
38,2020-08-31,25327.13,28053.379166666666,0.8902298852426446
39,2020-07-29,24693.73,28450.100833333334,0.8525779776448449
40,2020-06-30,24479.16,28963.60291666667,0.8287183091332004
41,2020-05-29,25267.82,29538.5775,0.8402038243656246
42,2020-04-30,23021.01,30073.44083333333,0.7466171307681964
43,2020-03-31,21300.47,30833.755416666663,0.6724569209226923
44,2020-02-28,26216.46,31675.590416666662,0.8094328747218437
45,2020-01-31,28843.53,32388.677083333332,0.8731331347287685
46,2019-12-31,26842.07,33034.51541666667,0.8010271794435193
47,2019-11-29,27002.15,33509.56208333333,0.7949876194217381
48,2019-10-31,26359.27,33965.497500000005,0.7663572079403318
49,2019-09-30,27630.56,34395.54,0.7957896868121269
50,2019-08-30,27525.81,34720.9325,0.7852540242817031
51,2019-07-31,27718.26,35053.38291666666,0.7831762134189316
52,2019-06-28,29966.87,35392.11166666667,0.8435814391713703
53,2019-05-31,31069.37,35523.387083333335,0.8762320103251949
54,2019-04-30,29159.74,35457.92625,0.8256673168374976
55,2019-03-29,31041.42,35316.572916666664,0.8847147123299941
56,2019-02-28,31721.76,35086.361249999994,0.9110212630554909
