Date,Volatility
2000-12,
2001-01,
2001-02,239.68718929736687
2001-03,365.3073905517535
2001-04,269.1991235136932
2001-05,149.44288975482084
2001-06,132.15881755976864
2001-07,135.9381975084286
2001-08,89.31237993561317
2001-09,212.3153922305929
2001-10,313.1343149387849
2001-11,287.29499402590966
2001-12,190.06350763792582
2002-01,214.2925084383318
2002-02,276.882695539991
2002-03,164.80703022151073
2002-04,268.83889713148426
2002-05,243.23352965657003
2002-06,339.13555314299634
2002-07,331.9923189348073
2002-08,304.9626001707354
2002-09,260.6220004520303
2002-10,267.7380356032191
2002-11,285.15500211101266
2002-12,285.22464968079566
2003-01,105.97175216424907
2003-02,193.11800067619768
2003-03,177.86189893641466
2003-04,253.30429507439135
2003-05,227.20604037935232
2003-06,185.20563420087007
2003-07,187.10361782668429
2003-08,177.80753223883812
2003-09,416.847399438765
2003-10,294.5994580255886
2003-11,227.34610813228218
2003-12,254.6613076437067
2004-01,199.70790109493018
2004-02,244.05404361509719
2004-03,356.94992579392107
2004-04,387.5424910676059
2004-05,389.78460201457113
2004-06,281.4296039073723
2004-07,231.70482695610534
2004-08,145.018888071675
2004-09,273.6565165578423
2004-10,311.32863189264623
2004-11,460.5713281136817
2004-12,363.1418591093159
2005-01,282.8705010912553
2005-02,672.0760650161111
2005-03,1073.3487762362138
2005-04,569.7096325652957
2005-05,424.49140064413854
2005-06,766.9654424698897
2005-07,732.8555427993139
2005-08,698.5840639156592
2005-09,828.5501418643059
2005-10,1062.2215792459992
2005-11,1025.4024263090205
2005-12,333.1084938241823
2006-01,622.2002901987272
2006-02,527.919507413011
2006-03,680.7899856069208
2006-04,651.5634752957639
2006-05,1131.4019261333997
2006-06,1824.4607364150097
2006-07,1517.9662717602134
2006-08,523.1547044428579
2006-09,467.5126613328754
2006-10,475.89585160263294
2006-11,465.98028411290915
2006-12,469.3278976492781
2007-01,582.4846601832751
2007-02,242.38520405028493
2007-03,549.0585512949692
2007-04,678.3757495444385
2007-05,835.8169321389611
2007-06,549.4192612755168
2007-07,1274.135466043888
2007-08,1071.4436745969085
2007-09,841.6954044540817
2007-10,586.2950270533861
2007-11,720.1018641018743
2007-12,1036.0803405317856
2008-01,847.001384666637
2008-02,914.0092865351601
2008-03,846.7530933508485
2008-04,563.882923576987
2008-05,507.71807585819136
2008-06,652.3257185744444
2008-07,835.0758130692075
2008-08,778.7906672488973
2008-09,790.8201547280206
2008-10,1934.0537608992909
2008-11,2234.8097328498543
2008-12,723.1660963963861
2009-01,432.9576591408152
2009-02,531.3710587040814
2009-03,823.737159205298
2009-04,958.2057603663475
2009-05,1022.8388606119327
2009-06,982.0097750487855
2009-07,641.4093659340728
2009-08,1197.7059098575655
2009-09,948.3851699526713
2009-10,690.9204186990333
2009-11,558.1829521379141
2009-12,321.3978999257589
2010-01,783.9019706284784
2010-02,867.7562136386014
2010-03,1012.1356521594207
2010-04,1179.5080410662551
2010-05,950.898869038263
2010-06,1021.3132251297397
2010-07,638.3560116207117
2010-08,556.9127498562387
2010-09,610.9528309736152
2010-10,344.3799417948144
2010-11,527.6570136962504
2010-12,768.9878031896154
2011-01,484.64841103536526
2011-02,548.680285026109
2011-03,336.2405138531055
2011-04,734.3452721509078
2011-05,512.7111541424755
2011-06,433.19522734234585
2011-07,420.03272665541925
2011-08,1395.123421794239
2011-09,1173.0369944256004
2011-10,1134.7157775804424
2011-11,739.1749275455016
2011-12,407.6902791093855
2012-01,569.6841294471429
2012-02,1040.3308950966154
2012-03,295.47042514580596
2012-04,539.7596338392399
2012-05,642.3306143085634
2012-06,643.4829707677682
2012-07,334.7806267367166
2012-08,301.66540938366944
2012-09,466.1321800925813
2012-10,432.33823470175037
2012-11,345.17638940008703
2012-12,559.0359163333438
2013-01,532.7209878918867
2013-02,408.1750918490578
2013-03,330.4336531484045
2013-04,367.00032265117034
2013-05,317.53355481487006
2013-06,493.7114895112999
2013-07,510.6637062046917
2013-08,446.88786131355334
2013-09,247.7060666987216
2013-10,219.83589003992554
2013-11,239.7932772951605
2013-12,214.8728379534707
2014-01,343.45922323320923
2014-02,549.6412101119233
2014-03,678.0753290576358
2014-04,686.7321292060492
2014-05,477.4952679103475
2014-06,538.916767807569
2014-07,363.1604374447511
2014-08,401.37207156490024
2014-09,501.9198382863864
2014-10,465.38575840487994
2014-11,327.767917202548
2014-12,310.6022273726694
2015-01,591.2550437701051
2015-02,677.9341934772831
2015-03,631.0797413049481
2015-04,1180.3316947729925
2015-05,953.1479994472875
2015-06,281.5393913578493
2015-07,346.9462822495125
2015-08,401.32089040565893
2015-09,578.3153889446428
2015-10,448.67016705680066
2015-11,538.9842924554314
2015-12,672.5811761292697
2016-01,370.4348445432889
2016-02,449.21524516569576
2016-03,951.9387163938794
2016-04,967.0548937785977
2016-05,445.8544637412582
2016-06,491.04040425577966
2016-07,595.7025072078004
2016-08,452.6074577436696
2016-09,359.20547226857474
2016-10,469.5089798040564
2016-11,791.4460400733105
2016-12,561.5926276311623
2017-01,869.3683262500336
2017-02,494.2820820278629
2017-03,653.6014037243809
2017-04,531.4585555542018
2017-05,711.982778438966
2017-06,783.4808761815796
2017-07,467.8970212454386
2017-08,573.4318613612339
2017-09,630.7915081285731
2017-10,546.1755918325225
2017-11,825.5463083396634
2017-12,797.2784019815844
2018-01,793.8940285198479
2018-02,873.8938792148003
2018-03,847.422204497054
2018-04,588.5295418734639
2018-05,703.1576946975235
2018-06,1041.2535903377168
2018-07,520.071504411102
2018-08,727.2148064620168
2018-09,537.828345180383
2018-10,582.4106018942433
