,Date,Last_Price,24mma,mo24mma%change
0,2023-10-09,55055.6,46400.760833333334,1.1874384059885237
1,2023-09-29,55838.55,46365.01541666667,1.2075631771143969
2,2023-08-31,55775.02,46240.68625,1.2103394526251283
3,2023-07-31,53375.9,46082.13,1.1632895227966258
4,2023-06-30,50505.73,45883.590416666666,1.1040121890976902
5,2023-05-31,47262.34,45747.43875,1.0339538259251395
6,2023-04-28,44822.21,45710.300416666665,0.9820385131314519
7,2023-03-31,42318.34,45642.00833333333,0.9254832469917244
8,2023-02-28,44780.07,45725.66833333333,0.9802043574043208
9,2023-01-31,45339.18,45684.42250000001,0.9940948877150176
10,2022-12-30,43793.76,45608.50333333333,0.9617446425400353
11,2022-11-30,45984.19,45535.74625,1.0165473059474424
12,2022-10-28,41053.71,45235.661666666674,0.9149467108418836
13,2022-09-30,37838.3,44870.055833333325,0.8471525376019889
14,2022-08-31,41877.22,44665.27375,0.9437646026918457
15,2022-07-29,41805.28,44372.52666666667,0.9484789338446706
16,2022-06-30,39240.53,44076.12916666667,0.8931797660755321
17,2022-05-31,39397.41,43933.518749999996,0.8997557910242604
18,2022-04-29,43469.84,43786.78125,1.0006544734809042
19,2022-03-31,44726.28,43441.40875,1.0411524939224195
20,2022-02-28,43731.25,42958.433333333334,1.0214590686592075
21,2022-01-31,53442.24,42812.53291666667,1.2610118328655582
22,2021-12-30,50720.71,42380.44291666667,1.2022773022550264
23,2021-11-30,51464.6,42187.1975,1.2293319840129864
24,2021-10-29,54197.71,41863.87458333333,1.3103170897852738
25,2021-09-30,52854.65,41362.285833333335,1.2938168593637198
26,2021-08-31,51969.67,40851.724583333336,1.2881504525657954
27,2021-07-30,48610.95,40344.409999999996,1.2147391508918122
28,2021-06-30,47238.09,40017.60375,1.1890480446287777
29,2021-05-31,46371.02,39727.65458333333,1.1739538237475713
30,2021-04-30,43183.2,39499.86708333334,1.0940144725345573
31,2021-03-31,44326.18,39472.238333333335,1.126112093419044
32,2021-02-26,43790.17,39362.13833333333,1.1165808585852581
33,2021-01-29,43517.12,39218.09125,1.1127651144056907
34,2020-12-30,42047.59,39107.19291666667,1.0785305096544326
35,2020-11-30,38782.16,38985.99958333333,0.9933624136491359
36,2020-10-30,32279.17,39041.299999999996,0.8225151561699927
37,2020-09-30,32923.53,39244.46833333333,0.8351676273813275
38,2020-08-31,34851.29,39421.46333333333,0.881848605925818
39,2020-07-31,34691.74,39520.71791666667,0.876840512094418
40,2020-06-30,35817.88,39564.48125,0.9050086235051413
41,2020-05-29,35875.71,39577.39083333333,0.9069652605472125
42,2020-04-30,35180.9,39555.770833333336,0.8864913190706292
43,2020-03-31,33134.87,39685.555,0.8313356781864009
44,2020-02-28,40229.64,39857.38958333333,1.0115789591579514
45,2020-01-31,43072.08,39769.15458333333,1.0863344261658348
46,2019-12-30,46082.82,39649.005833333336,1.1705175765702445
47,2019-11-29,43704.85,39369.60958333333,1.1160590599133249
48,2019-10-31,42159.58,39159.979583333334,1.0795252538118953
49,2019-09-30,40601.18,39053.81541666667,1.0433063180811466
50,2019-08-30,39794.12,38915.87666666666,1.024434418882979
51,2019-07-31,40767.6,38844.96583333333,1.0551514860995008
52,2019-06-28,40279.31,38636.72708333333,1.0482493116842373
53,2019-05-31,40904.12,38425.315,1.0718929476351582
54,2019-04-30,42520.11,38160.63916666667,1.125998209428262
55,2019-03-29,41683.78,37762.14708333334,1.1162283276589544
56,2019-02-28,40333.04,37343.417083333334,1.0901186222106751
57,2019-01-31,40855.56,36998.762500000004,1.1147542810078392
58,2018-12-28,39138.95,36649.83458333334,1.0766506888973826
59,2018-11-30,40109.37,36352.50541666667,1.1162617954721714
