"Date","Current_over_GDP"
"1995-03-31",-11.5782764273371
"1995-04-30",-9.54829636374291
"1995-05-31",-7.20180609779428
"1995-06-30",-4.72663105384442
"1995-07-31",-2.59114849696179
"1995-08-31",-0.737805326545827
"1995-09-30",0.705084758148346
"1995-10-31",1.39712882021973
"1995-11-30",1.21592506793893
"1995-12-31",0.0228293694875551
"1996-01-31",-2.36682819008756
"1996-02-29",-5.09296119922737
"1996-03-31",-6.65418870062962
"1996-04-30",-6.14662743827925
"1996-05-31",-4.34265424513474
"1996-06-30",-2.41439341859415
"1996-07-31",-1.41531617524107
"1996-08-31",-1.24425641723316
"1996-09-30",-1.7494516676987
"1996-10-31",-2.64778043679796
"1996-11-30",-3.82780810411004
"1996-12-31",-5.31900373615387
"1997-01-31",-7.06330815084844
"1997-02-28",-8.75150228522804
"1997-03-31",-9.17460087381412
"1997-04-30",-7.9472791103837
"1997-05-31",-5.84549587785105
"1997-06-30",-3.87814959708145
"1997-07-31",-2.71969880789806
"1997-08-31",-2.11548791001458
"1997-09-30",-1.86550344687664
"1997-10-31",-1.92171783508038
"1997-11-30",-2.43623433834794
"1997-12-31",-3.65868519604451
"1998-01-31",-5.8160285597515
"1998-02-28",-8.1840170059308
"1998-03-31",-9.79233345472343
"1998-04-30",-9.91908580536865
"1998-05-31",-8.86542821371773
"1998-06-30",-7.72928648662294
"1998-07-31",-6.70536595610627
"1998-08-31",-6.0726631369266
"1998-09-30",-5.81748985962042
"1998-10-31",-5.99752164633045
"1998-11-30",-6.75776331153221
"1998-12-31",-7.61969322080495
"1999-01-31",-8.64039793306911
"1999-02-28",-9.94871406194735
"1999-03-31",-11.0458329276826
"1999-04-30",-11.0023411927076
"1999-05-31",-10.154125580688
"1999-06-30",-9.18975674024866
"1999-07-31",-7.98060950144436
"1999-08-31",-6.7227414534611
"1999-09-30",-6.1682958957862
"1999-10-31",-6.21402360192072
"1999-11-30",-7.04862145078452
"1999-12-31",-8.10306172736675
"2000-01-31",-9.12997946008691
"2000-02-29",-10.2352694225455
"2000-03-31",-10.5545272390733
"2000-04-30",-9.67183173598669
"2000-05-31",-8.41568508495265
"2000-06-30",-6.64692523414647
"2000-07-31",-5.97786925300446
"2000-08-31",-6.21211591836596
"2000-09-30",-7.33293924443364
"2000-10-31",-8.99178608772386
"2000-11-30",-10.6248290546142
"2000-12-31",-11.0644347443034
"2001-01-31",-10.5125619431029
"2001-02-28",-9.98348905680716
"2001-03-31",-9.43332161299441
"2001-04-30",-9.18390143989304
"2001-05-31",-8.56020361672539
"2001-06-30",-7.23685188433285
"2001-07-31",-5.17693722585738
"2001-08-31",-2.83721427676824
"2001-09-30",-1.83631656417776
"2001-10-31",-2.79307483666739
"2001-11-30",-4.84805587533807
"2001-12-31",-6.43893481978911
"2002-01-31",-7.08549273775161
"2002-02-28",-7.02953318692577
"2002-03-31",-6.65926094596023
"2002-04-30",-6.26994881674435
"2002-05-31",-5.84343218854876
"2002-06-30",-5.08473975657696
"2002-07-31",-4.14925943785184
"2002-08-31",-3.5791893129045
"2002-09-30",-4.01053212286283
"2002-10-31",-5.81936883925336
"2002-11-30",-7.75598951392747
"2002-12-31",-9.01076595393443
"2003-01-31",-9.06330601555292
"2003-02-28",-8.6415644203279
"2003-03-31",-8.38609999079635
"2003-04-30",-8.78604632160251
"2003-05-31",-8.80518806744488
"2003-06-30",-9.42316461793554
"2003-07-31",-9.03118354159092
"2003-08-31",-7.9227000158684
"2003-09-30",-7.06747929562603
"2003-10-31",-7.02156968495687
"2003-11-30",-7.81784347019718
"2003-12-31",-8.04949858167896
"2004-01-31",-7.74638946327357
"2004-02-29",-7.47495221291919
"2004-03-31",-7.8234898938061
"2004-04-30",-9.27819537267129
"2004-05-31",-10.8375208555834
"2004-06-30",-11.5873221105203
"2004-07-31",-11.0887933755162
"2004-08-31",-10.1960848789855
"2004-09-30",-8.98616332365298
"2004-10-31",-8.02336862272106
"2004-11-30",-7.44232241926476
"2004-12-31",-7.46478877811404
"2005-01-31",-8.39451097814833
"2005-02-28",-9.32904642501676
"2005-03-31",-10.0348343995786
"2005-04-30",-10.4789714950109
"2005-05-31",-10.4967963228579
"2005-06-30",-10.5185341679349
"2005-07-31",-10.4508013187319
"2005-08-31",-10.1798400845249
"2005-09-30",-10.1069045718823
"2005-10-31",-10.0425499619132
"2005-11-30",-9.63317721524183
"2005-12-31",-9.24631851243336
"2006-01-31",-8.94195576849189
"2006-02-28",-9.08558300957361
"2006-03-31",-9.23052005538598
"2006-04-30",-8.52357432273385
"2006-05-31",-7.31072559134794
"2006-06-30",-7.04006727184023
"2006-07-31",-6.90122890501664
"2006-08-31",-6.7185352996514
"2006-09-30",-6.84005230972953
"2006-10-31",-6.76384849194125
"2006-11-30",-6.46865165380325
"2006-12-31",-6.27437234875696
"2007-01-31",-6.54712643396517
"2007-02-28",-6.79833028087538
"2007-03-31",-7.12775625014855
"2007-04-30",-7.50402337393102
"2007-05-31",-7.98561525031045
"2007-06-30",-8.10322324467267
"2007-07-31",-7.28286026630262
"2007-08-31",-6.84741062783754
"2007-09-30",-6.30380516418124
"2007-10-31",-6.38367594226036
"2007-11-30",-6.89005848533402
"2007-12-31",-7.40615264037873
"2008-01-31",-7.53628416385128
"2008-02-29",-7.39867162200841
"2008-03-31",-6.49690807436714
"2008-04-30",-5.6531280312506
"2008-05-31",-5.20966800065922
"2008-06-30",-5.18519461964103
"2008-07-31",-5.44935290989089
"2008-08-31",-6.75278618306911
"2008-09-30",-8.0416182157842
"2008-10-31",-9.62138336347197
