"Date","Current_over_GDP"
"2010-03-31",1.93713388452746
"2010-04-30",2.25335844690043
"2010-05-31",3.69990753237534
"2010-06-30",4.65473514468905
"2010-07-31",3.99650316648213
"2010-08-31",2.74396647403309
"2010-09-30",2.32602166473322
"2010-10-31",3.47868873804292
"2010-11-30",5.34479916418283
"2010-12-31",6.66625818019276
"2011-01-31",6.68453852845163
"2011-02-28",6.01851117923945
"2011-03-31",5.86324715007419
"2011-04-30",6.84032064003
"2011-05-31",7.69361985796375
"2011-06-30",6.79125724322993
"2011-07-31",3.37346039379745
"2011-08-31",-0.709169306986847
"2011-09-30",-3.11158800317712
"2011-10-31",-2.23294081336261
"2011-11-30",0.475267328891637
"2011-12-31",3.24254478124737
"2012-01-31",4.86513688766038
"2012-02-29",5.1123021343125
"2012-03-31",4.24999827455295
"2012-04-30",2.52437812898354
"2012-05-31",1.15490468507217
"2012-06-30",1.16784355614589
"2012-07-31",3.04725123550613
"2012-08-31",5.64127496304064
"2012-09-30",7.1954153100054
"2012-10-31",6.61636946343132
"2012-11-30",4.93350710263648
"2012-12-31",3.69475961329819
"2013-01-31",3.84620334550875
"2013-02-28",4.84006614917553
"2013-03-31",5.56187358003555
"2013-04-30",5.3633090522313
"2013-05-31",4.51773102078277
"2013-06-30",3.57917537550398
"2013-07-31",2.97142501328948
"2013-08-31",2.7025740768229
"2013-09-30",2.78766110549137
"2013-10-31",3.15449578114297
"2013-11-30",3.59750962446366
"2013-12-31",3.86167920740721
"2014-01-31",3.78136154353898
"2014-02-28",3.27289756705758
"2014-03-31",2.45424294766222
"2014-04-30",1.26674493627052
"2014-05-31",0.270738800387264
"2014-06-30",-0.188184372548065
"2014-07-31",0.0762617023596285
"2014-08-31",0.607806507492535
"2014-09-30",0.784961289751781
"2014-10-31",0.223787105961165
"2014-11-30",-0.857977735975452
"2014-12-31",-2.19930965198749
"2015-01-31",-3.49105103739433
"2015-02-28",-4.68716355009084
"2015-03-31",-5.29671261399017
"2015-04-30",-4.05939293391754
"2015-05-31",-2.51499013321831
"2015-06-30",-1.76976162785452
"2015-07-31",-2.43552542145321
"2015-08-31",-3.75658228181585
"2015-09-30",-4.60285135345701
"2015-10-31",-4.21173558927264
"2015-11-30",-2.98744677518391
"2015-12-31",-1.52605483782897
"2016-01-31",-0.0705489376229744
"2016-02-29",1.09228525237431
"2016-03-31",1.52784427840938
"2016-04-30",0.931953346738337
"2016-05-31",-0.13085658262581
"2016-06-30",-1.1100986736917
"2016-07-31",-1.47387087995761
"2016-08-31",-0.685151953746591
"2016-09-30",0.643354173321982
"2016-10-31",1.97199881367408
"2016-11-30",3.18112956171507
"2016-12-31",4.09345019970929
"2017-01-31",4.73310172702362
"2017-02-28",4.98303450963207
"2017-03-31",4.83554690984453
"2017-04-30",4.09506703535818
"2017-05-31",3.17863988152344
"2017-06-30",2.44225594067215
"2017-07-31",2.16877032747964
"2017-08-31",2.33861033650083
"2017-09-30",2.90993795663992
"2017-10-31",3.68918156879193
"2017-11-30",4.33591569759043
"2017-12-31",4.38747072226274
"2018-01-31",3.60715817490471
"2018-02-28",2.62122564498305
"2018-03-31",2.42624050894722
"2018-04-30",3.55800589674005
"2018-05-31",4.90900210406739
"2018-06-30",5.15847832479015
"2018-07-31",3.56703877927436
"2018-08-31",1.13952271232033
"2018-09-30",-0.633559105028465
"2018-10-31",-0.811056187767662
"2018-11-30",-0.115982616598071
"2018-12-31",0.459343735023905
"2019-01-31",0.241343233515888
"2019-02-28",-0.693782382304624
"2019-03-31",-1.83718072814199
"2019-04-30",-2.92545131710683
"2019-05-31",-3.45858625793509
"2019-06-30",-3.31847393292397
"2019-07-31",-2.53822118010395
"2019-08-31",-1.68846359993605
"2019-09-30",-1.51351052566612
"2019-10-31",-2.38221208298208
"2019-11-30",-3.73508020683442
"2019-12-31",-4.73834666470096
"2020-01-31",-4.93852061134644
"2020-02-29",-4.49048362971416
"2020-03-31",-4.13457833322538
"2020-04-30",-3.96184316557303
"2020-05-31",-3.59719283617795
"2020-06-30",-3.37535945953392
"2020-07-31",-3.24454904869146
"2020-08-31",-3.34040992758276
"2020-09-30",-3.40827550546574
"2020-10-31",-3.52367621016529
"2020-11-30",-3.76832579633959
"2020-12-31",-4.15557824563953
"2021-01-31",-4.69743294720248
"2021-02-28",-4.9333261672928
"2021-03-31",-4.41322985458746
"2021-04-30",-2.57861215502985
"2021-05-31",-0.264027659158495
"2021-06-30",1.75140249682497
"2021-07-31",2.31322693443703
"2021-08-31",1.84357333909619
"2021-09-30",0.979528468491903
"2021-10-31",0.203311234776494
"2021-11-30",-0.493277589208586
"2021-12-31",-1.12729472960178
"2022-01-31",-1.75770042899543
"2022-02-28",-2.02163708803855
"2022-03-31",-1.5541888213984
"2022-04-30",-0.0204749130308156
"2022-05-31",1.61319935482549
"2022-06-30",2.23799652155951
"2022-07-31",1.16574026316248
"2022-08-31",-0.578286812278865
"2022-09-30",-1.69249218736154
"2022-10-31",-1.37808564901035
"2022-11-30",-0.000312907831355508
"2022-12-31",1.84516344984301
