Date,Foreign Exchange Reserves USD mn
2020-02-29,114860.6
2020-03-31,107717.1
2020-04-30,104178.6
2020-05-31,118524.1
2020-06-30,114459.8
2020-07-31,121492.2
2020-08-31,123060.4
2020-09-30,123886.9
2020-10-31,127563.1
2020-11-30,129587.3
2020-12-31,138523.5
2021-01-31,141816.7
2021-02-28,148619.1
2021-03-31,144157.0
2021-04-30,140838.5
2021-05-31,146806.1
2021-06-30,144418.7
2021-07-31,147619.8
2021-08-31,148547.1
2021-09-30,146735.9
2021-10-31,147161.1
2021-11-30,145876.6
2021-12-31,145160.2
2022-01-31,140756.1
2022-02-28,139354.7
2022-03-31,136646.9
2022-04-30,130956.8
2022-05-31,135570.1
2022-06-30,133945.8
2022-07-31,137641.3
2022-08-31,135343.3
2022-09-30,132467.3
2022-10-31,132832.7
2022-11-30,142532.7
2022-12-31,146275.9
2023-01-31,146078.0
2023-02-28,147429.0
2023-03-31,148658.0
2023-04-30,155367.4
2023-05-31,152464.6
2023-06-30,156699.3
2023-07-31,155825.5
2023-08-31,155439.9
2023-09-30,152826.2
