Date,Foreign Exchange Reserves USD mn
1981-08-31,5105.2
1981-09-30,4224.8
1981-10-31,3467.8
1981-11-30,2852.1
1981-12-31,2441.6
1982-01-31,1679.9
1982-02-28,1726.6
1982-03-31,977.4
1982-04-30,773.8
1982-05-31,756.7
1982-06-30,858.3
1982-07-31,857.3
1982-08-31,804.5
1982-09-30,871.5
1982-10-31,1072.8
1982-11-30,902.2
1982-12-31,1043.3
1983-01-31,1193.6
1983-02-28,647.0
1983-03-31,562.2
1983-04-30,593.5
1983-05-31,580.6
1983-06-30,641.9
1983-07-31,699.8
1983-08-31,582.7
1983-09-30,557.2
1983-10-31,513.9
1983-11-30,374.6
1983-12-31,224.4
1984-01-31,224.4
1984-02-29,210.8
1984-03-31,333.1
1984-04-30,478.4
1984-05-31,443.0
1984-06-30,582.5
1984-07-31,532.9
1984-08-31,315.9
1984-09-30,479.9
1984-10-31,705.6
1984-11-30,463.1
1984-12-31,710.1
1985-01-31,567.1
1985-02-28,779.4
1985-03-31,804.3
1985-04-30,1191.9
1985-05-31,1148.6
1985-06-30,1031.6
1985-07-31,804.7
1985-08-31,758.0
1985-09-30,784.0
1985-10-31,1017.7
1985-11-30,1236.5
1985-12-31,1657.9
1986-01-31,1308.9
1986-02-28,1320.3
1986-03-31,1030.8
1986-04-30,893.1
1986-05-31,859.7
1986-06-30,986.2
1986-07-31,828.8
1986-08-31,948.1
1986-09-30,2120.05
1986-10-31,3292.0
1986-11-30,2497.5
1986-12-31,2836.6
1987-01-31,2287.019221
1987-02-28,2558.1
1987-03-31,9449.5051494
1987-04-30,2651.8
1987-05-31,4241.6728656
1987-06-30,5831.5457312
1987-07-31,3976.6
1987-08-31,4889.0
1987-09-30,7237.7380006
1987-10-31,7255.0938
1987-11-30,4671.6
1987-12-31,7504.58891
1988-01-31,7925.6614
1988-02-29,8240.5976935
1988-03-31,8555.533987
1988-04-30,6438.41242
1988-05-31,5458.61302
1988-06-30,4478.81362
1988-07-31,5458.61302
1988-08-31,5132.01322
1988-09-30,5024.1688188
1988-10-31,5204.93168627
1988-11-30,5120.37124169
1988-12-31,5229.104587
1989-01-31,4310.46022
1989-02-28,4769.7824035
1989-03-31,4540.12131175
1989-04-30,9236.52053
1989-05-31,5157.917716
1989-06-30,1079.314902
1989-07-31,1053.73
1989-08-31,2430.32087267
1989-09-30,2309.655256
1989-10-31,3033.53067727
1989-11-30,2984.24728256
1989-12-31,3047.61909194
1990-01-31,3386.768956
1990-02-28,3960.73500581
1990-03-31,3770.02887949
1990-04-30,3696.20444
1990-05-31,3170.336448
1990-06-30,2644.468456
1990-07-31,2839.614978
1990-08-31,2884.80662733
1990-09-30,2762.124273
1990-10-31,2828.84862611
1990-11-30,3807.807807
1990-12-31,4541.44783308
1991-01-31,4003.753231
1991-02-28,4682.281485
1991-03-31,4428.320007
1991-04-30,4222.378414
1991-05-31,4085.359959
1991-06-30,3902.18624
1991-07-31,3833.018357
1991-08-31,3681.72236134
1991-09-30,3869.66778473
1991-10-31,4023.90782217
1991-11-30,3738.14038113
1991-12-31,4149.29770418
1992-01-31,4109.64572466
1992-02-29,5517.3574887
1992-03-31,4109.64572443
1992-04-30,1885.97930859
1992-05-31,2789.49041655
1992-06-30,2834.30371303
1992-07-31,2727.32546772
1992-08-31,2764.39877449
1992-09-30,2095.33105002
1992-10-31,1762.82
1992-11-30,1241.03333166
1992-12-31,1554.60734745
1993-01-31,8365.6910475
1993-02-28,1016.36236561
1993-03-31,9505.2612105
1993-04-30,1351.73671176
1993-05-31,1206.16218664
1993-06-30,1351.38514192
1993-07-31,1161.48
1993-08-31,8647.2443102
1993-09-30,7651.7801308
1993-10-31,8830.279395
1993-11-30,8307.1792103
1993-12-31,1429.59
1994-01-31,7596.1677779
1994-02-28,8388.8701612
1994-03-31,9181.5725445
1994-04-30,8466.902781
1994-05-31,9207.53879045
1994-06-30,9948.1747999
1994-07-31,9803.2608202
1994-08-31,9658.3468405
1994-09-30,1497.91936166
1994-10-31,4689.69303573
1994-11-30,7881.4667098
1994-12-31,9009.1099163
1995-01-31,1295.17812328
1995-02-28,1217.13914846
1995-03-31,8028.9885606
1995-04-30,5481.866107
1995-05-31,7478.6836767
1995-06-30,1429.44054263
1995-07-31,1165.4846614
1995-08-31,1156.84973782
1995-09-30,1161.16719961
1995-10-31,1159.00846872
1995-11-30,1160.08783416
1995-12-31,1611.11
1996-01-31,1002.95246939
1996-02-29,1437.32548426
1996-03-31,1849.15064486
1996-04-30,1848.09850242
1996-05-31,1825.34269881
1996-06-30,2072.7560508
1996-07-31,1811.06000126
1996-08-31,2218.05483898
1996-09-30,2310.058438
1996-10-31,2808.97920748
1996-11-30,3307.89997696
1996-12-31,3403.90976781
1997-01-31,4480.51927667
1997-02-28,5352.17625898
1997-03-31,6180.5915798
1997-04-30,5664.6515962
1997-05-31,5372.50177104
1997-06-30,6141.334984
1997-07-31,6038.96
1997-08-31,6645.59788482
1997-09-30,6773.47842559
1997-10-31,6750.37178463
1997-11-30,6869.70778104
1997-12-31,7222.21540509
1998-01-31,7464.73377242
1998-02-28,8402.39345119
1998-03-31,8319.59567829
1998-04-30,8318.3128866
1998-05-31,7836.20720092
1998-06-30,7947.25715322
