"Date","ten_yr","ten_yr_us","RiskPremium"
"2021-04-30",12.703,1.65,11.05
"2021-05-31",13.366,1.58,11.79
"2021-06-30",13.207,1.45,11.76
"2021-07-31",12.653,1.24,11.41
"2021-08-31",12.651,1.3,11.35
"2021-09-30",12.068,1.52,10.55
"2021-10-31",12.093,1.55,10.54
"2021-11-30",12.289,1.43,10.86
"2021-12-31",12.604,1.52,11.08
"2022-01-31",12.62,1.79,10.83
"2022-02-28",12.252,1.83,10.42
"2022-03-31",12.252,2.32,9.93
"2022-04-30",11.528,2.89,8.64
"2022-05-31",11.838,2.85,8.99
"2022-06-30",11.339,2.98,8.36
"2022-07-31",11.944,2.67,9.27
"2022-08-31",12.822,3.15,9.67
"2022-09-30",13.337,3.83,9.51
"2022-10-31",14.8,4.1,10.7
"2022-11-30",14.802,3.68,11.12
"2022-12-31",14.595,3.88,10.71
"2023-01-31",14.352,3.52,10.83
"2023-02-28",14.233,3.92,10.31
"2023-03-31",14.373,3.48,10.89
"2023-04-30",14.473,3.44,11.03
"2023-05-31",14.552,3.64,10.91
"2023-06-30",14.335,3.81,10.53
"2023-07-31",12.993,3.97,9.02
"2023-08-31",14.345,4.09,10.26
"2023-09-30",14.705,4.59,10.12
