Date,REER
2023-08-31,94.74263465
2023-07-31,96.41226182
2023-06-30,97.97636448
2023-05-31,97.01186224
2023-04-30,96.62764119
2023-03-31,93.43126745
2023-02-28,92.57083123
2023-01-31,89.58312352
2022-12-31,85.98493257
2022-11-30,83.95453962
2022-10-31,79.67102984
2022-09-30,81.77803347
2022-08-31,79.36290376
2022-07-31,78.23672823
2022-06-30,78.92736751
2022-05-31,80.81121197
2022-04-30,82.25769506
2022-03-31,82.11370666
2022-02-28,86.75561082
2022-01-31,85.87401654
2021-12-31,83.97644128
2021-11-30,84.57402386
2021-10-31,85.37334806
2021-09-30,87.69143121
2021-08-31,87.78328449
2021-07-31,86.78392569
2021-06-30,88.95795665
2021-05-31,87.79285065
2021-04-30,85.88742262
2021-03-31,84.03696573
2021-02-28,85.28512623
2021-01-31,84.99158302
2020-12-31,85.35933168
2020-11-30,84.62119539
2020-10-31,84.23458343
2020-09-30,85.01522828
2020-08-31,88.04561138
2020-07-31,86.75606119
2020-06-30,86.40191509
2020-05-31,84.81998503
2020-04-30,83.17464435
2020-03-31,86.15405873
2020-02-29,86.32206231
2020-01-31,87.09863115
2019-12-31,87.90236349
2019-11-30,86.90048811
2019-10-31,87.39798431
2019-09-30,87.21163245
2019-08-31,88.78355793
2019-07-31,89.01660326
2019-06-30,90.06578724
2019-05-31,89.53071734
2019-04-30,90.13090675
2019-03-31,91.43978229
2019-02-28,90.52006758
2019-01-31,90.06305515
2018-12-31,89.33056385
2018-11-30,89.55974994
2018-10-31,89.56816503
2018-09-30,89.70008148
2018-08-31,89.62179743
2018-07-31,88.76778688
2018-06-30,88.71396514
2018-05-31,90.2653881
2018-04-30,92.14253497
2018-03-31,91.57661144
2018-02-28,91.84302768
2018-01-31,92.36340958
2017-12-31,90.908289
2017-11-30,91.21794049
2017-10-31,91.43475851
2017-09-30,92.0176366
2017-08-31,93.29030694
2017-07-31,91.70794629
2017-06-30,90.61309154
2017-05-31,89.85852688
2017-04-30,88.71609563
2017-03-31,89.55721627
2017-02-28,89.91249417
2017-01-31,89.97950319
2016-12-31,88.90599917
2016-11-30,89.82004296
2016-10-31,90.47679065
2016-09-30,89.79861445
2016-08-31,89.01024823
2016-07-31,87.75756407
2016-06-30,88.39951866
2016-05-31,88.28723317
2016-04-30,89.09944427
2016-03-31,88.58872906
2016-02-29,89.70561743
2016-01-31,87.99482002
2015-12-31,87.55912948
2015-11-30,87.3151263
2015-10-31,88.75264325
2015-09-30,88.38650952
2015-08-31,88.4723336
2015-07-31,87.63413605
2015-06-30,87.67200544
2015-05-31,88.81441749
2015-04-30,89.6025821
2015-03-31,89.22997443
2015-02-28,89.55650702
2015-01-31,86.78453256
2014-12-31,90.32825659
2014-11-30,91.02773241
2014-10-31,91.11643045
2014-09-30,89.97865576
2014-08-31,90.5631629
2014-07-31,91.90116002
2014-06-30,92.83086347
2014-05-31,93.88745105
2014-04-30,93.63743856
2014-03-31,92.61441033
2014-02-28,92.75435897
2014-01-31,94.89328041
2013-12-31,95.52895794
2013-11-30,96.22435138
2013-10-31,97.28303967
2013-09-30,95.79403218
2013-08-31,95.48201596
2013-07-31,96.48512297
2013-06-30,96.50255678
2013-05-31,96.62362195
2013-04-30,94.81593409
2013-03-31,93.10640917
2013-02-28,97.35841933
2013-01-31,96.90538141
2012-12-31,99.41502349
2012-11-30,99.48614753
2012-10-31,99.84941388
2012-09-30,99.0784904
2012-08-31,99.71707044
2012-07-31,97.04456461
2012-06-30,95.4260899
2012-05-31,95.45595547
2012-04-30,95.48357947
2012-03-31,96.19297936
2012-02-29,96.58717286
2012-01-31,90.61978283
2011-12-31,91.66349867
2011-11-30,90.31102558
2011-10-31,94.15166718
2011-09-30,97.46590839
2011-08-31,102.36338415
2011-07-31,103.64288446
2011-06-30,104.37537111
2011-05-31,104.29719287
2011-04-30,105.68346192
2011-03-31,102.62630972
2011-02-28,101.31608808
2011-01-31,99.14733318
2010-12-31,99.14044705
2010-11-30,100.27450326
2010-10-31,101.13182667
2010-09-30,96.6762589
2010-08-31,97.06197402
2010-07-31,96.5470939
2010-06-30,96.34836828
2010-05-31,98.39668185
2010-04-30,103.73103282
2010-03-31,103.96545829
2010-02-28,102.29951855
2010-01-31,104.42683641
2009-12-31,103.36972812
2009-11-30,104.62862711
2009-10-31,105.31763773
2009-09-30,103.71468992
2009-08-31,103.87233921
2009-07-31,103.07129485
2009-06-30,98.52413711
2009-05-31,97.51584426
2009-04-30,92.34206445
2009-03-31,89.43844456
2009-02-28,90.40912823
2009-01-31,95.59484746
2008-12-31,100.73510763
2008-11-30,97.75170503
2008-10-31,100.64055672
2008-09-30,108.36456132
2008-08-31,110.83559629
2008-07-31,113.73078431
2008-06-30,109.04232038
2008-05-31,107.40276606
2008-04-30,105.14379706
2008-03-31,102.1224813
2008-02-29,100.28454159
2008-01-31,102.58418338
2007-12-31,103.37110028
2007-11-30,102.57782651
2007-10-31,103.3688976
2007-09-30,101.74993936
2007-08-31,100.28513945
2007-07-31,103.62362429
2007-06-30,101.95748254
2007-05-31,102.66911981
2007-04-30,103.66026116
2007-03-31,101.91636245
2007-02-28,99.80515503
2007-01-31,98.94689984
2006-12-31,98.52656878
2006-11-30,96.11669443
2006-10-31,92.81799245
2006-09-30,90.33328833
2006-08-31,88.30292725
2006-07-31,87.05218618
2006-06-30,88.4949607
2006-05-31,91.21987334
2006-04-30,89.32399991
2006-03-31,90.32288782
2006-02-28,93.04806249
2006-01-31,94.01898763
2005-12-31,93.81762426
2005-11-30,94.14023464
2005-10-31,93.95892489
