Date,REER
2005-09-30,91.53284216
2005-08-31,91.56540596
2005-07-31,90.84600237
2005-06-30,85.51120865
2005-05-31,83.48704142
2005-04-30,80.96388482
2005-03-31,80.50643733
2005-02-28,79.2882524
2005-01-31,78.20459846
2004-12-31,76.98290148
2004-11-30,76.82508216
2004-10-31,77.29916815
2004-09-30,75.60070471
2004-08-31,74.60502228
2004-07-31,74.10972138
2004-06-30,75.35902183
2004-05-31,77.00661871
2004-04-30,73.67172071
2004-03-31,74.46553354
2004-02-29,74.32080906
2004-01-31,73.56475786
2003-12-31,73.83031065
2003-11-30,74.4313189
2003-10-31,76.60018551
2003-09-30,77.94627479
2003-08-31,75.30105113
2003-07-31,75.64578761
2003-06-30,73.20071928
2003-05-31,70.88107028
2003-04-30,72.70322633
2003-03-31,69.39673262
2003-02-28,71.28122218
2003-01-31,72.84293577
2002-12-31,73.73113466
2002-11-30,74.68847318
2002-10-31,72.55202037
2002-09-30,74.21088002
2002-08-31,74.97350668
2002-07-31,75.17612552
2002-06-30,78.25304428
2002-05-31,81.88015299
2002-04-30,83.49070152
2002-03-31,84.42989728
2002-02-28,84.68869958
2002-01-31,82.95684094
2001-12-31,81.59004287
2001-11-30,82.02713519
2001-10-31,83.67112749
2001-09-30,81.43425694
2001-08-31,79.36430345
2001-07-31,79.41072432
2001-06-30,78.61532746
2001-05-31,78.88717722
2001-04-30,76.32915954
2001-03-31,74.22828252
2001-02-28,72.24928211
2001-01-31,70.37667332
2000-12-31,73.08736384
2000-11-30,77.06841545
2000-10-31,76.30055306
2000-09-30,75.02854451
2000-08-31,71.94604298
2000-07-31,67.13215863
2000-06-30,70.17068501
2000-05-31,70.23454819
2000-04-30,66.61264428
2000-03-31,65.48751373
2000-02-29,64.96355665
2000-01-31,63.90220441
1999-12-31,65.58252624
1999-11-30,65.37788165
1999-10-31,65.05835287
1999-09-30,65.70063196
1999-08-31,65.38372431
1999-07-31,67.93653414
1999-06-30,69.41666703
1999-05-31,69.23117377
1999-04-30,72.26416721
1999-03-31,75.78762495
1999-02-28,75.30108547
1999-01-31,73.32527684
1998-12-31,277.4676083
1998-11-30,277.7193799
1998-10-31,268.83315153
1998-09-30,274.05819251
1998-08-31,283.27138871
1998-07-31,282.41016514
1998-06-30,277.53733419
1998-05-31,266.8711786
1998-04-30,266.28175059
1998-03-31,267.01768781
1998-02-28,265.63619614
1998-01-31,269.00671108
1997-12-31,258.59425381
1997-11-30,240.79255824
1997-10-31,240.54083718
1997-09-30,236.55589426
1997-08-31,240.49624312
1997-07-31,239.22163361
1997-06-30,232.15154687
1997-05-31,231.68320081
1997-04-30,232.28397748
1997-03-31,234.73564827
1997-02-28,226.0588029
1997-01-31,219.24626135
1996-12-31,212.43227505
1996-11-30,216.21538729
1996-10-31,220.72412746
1996-09-30,217.92913349
1996-08-31,214.90410945
1996-07-31,212.68349392
1996-06-30,208.42092904
1996-05-31,205.77900507
1996-04-30,196.80309226
1996-03-31,197.10675109
1996-02-29,194.89432861
1996-01-31,192.22936327
1995-12-31,187.17627555
1995-11-30,180.07540169
1995-10-31,176.13182168
1995-09-30,178.00792185
1995-08-31,170.01162444
1995-07-31,160.35702396
1995-06-30,157.48223141
1995-05-31,153.41195454
1995-04-30,145.74922627
1995-03-31,139.28126899
1995-02-28,139.74075118
1995-01-31,134.70746762
1994-12-31,130.74246665
1994-11-30,122.47927681
1994-10-31,113.32038094
1994-09-30,109.00195421
1994-08-31,103.78949501
1994-07-31,96.11539234
1994-06-30,92.40571233
1994-05-31,90.84500553
1994-04-30,90.55348887
1994-03-31,86.77750164
1994-02-28,87.48605713
1994-01-31,84.05421105
1993-12-31,58.17304405
1993-11-30,58.88172486
1993-10-31,56.84023713
1993-09-30,57.17185933
1993-08-31,57.45286412
1993-07-31,56.83349253
1993-06-30,56.0610168
1993-05-31,53.93473288
1993-04-30,46.63866189
1993-03-31,46.71101997
1993-02-28,51.3302239
1993-01-31,53.24864412
1992-12-31,52.43677209
1992-11-30,51.1233644
1992-10-31,48.06803717
1992-09-30,46.03671019
1992-08-31,47.79674812
1992-07-31,47.75451774
1992-06-30,47.94629357
1992-05-31,45.43108759
1992-04-30,45.18851143
1992-03-31,44.30402419
1992-02-29,58.93994787
1992-01-31,62.28935355
1991-12-31,60.54356119
1991-11-30,59.59249488
1991-10-31,60.96958442
1991-09-30,59.3821831
1991-08-31,55.20601413
1991-07-31,56.83447618
1991-06-30,61.17136653
1991-05-31,63.08816933
1991-04-30,64.68799886
1991-03-31,61.74679111
1991-02-28,57.33977056
1991-01-31,60.64633304
1990-12-31,63.99492206
1990-11-30,64.53292339
1990-10-31,66.39653633
1990-09-30,67.76551638
1990-08-31,68.37842286
1990-07-31,70.12440419
1990-06-30,73.11614579
1990-05-31,73.57628906
1990-04-30,75.57795183
1990-03-31,76.75232353
1990-02-28,75.43770983
1990-01-31,77.05232042
1989-12-31,80.48668262
1989-11-30,81.09909137
1989-10-31,81.22225486
1989-09-30,81.51671418
1989-08-31,80.48349093
1989-07-31,80.69849885
1989-06-30,82.17219614
1989-05-31,74.11631529
1989-04-30,70.4206098
1989-03-31,67.74302468
1989-02-28,64.53912007
1989-01-31,71.07286765
1988-12-31,74.11742958
1988-11-30,84.04049561
1988-10-31,89.58884428
1988-09-30,89.5710042
