,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,227265101
SR Code,SR2854984
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/1979
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
09/2001,81.43425694
08/2001,79.36430345
07/2001,79.41072432
06/2001,78.61532746
05/2001,78.88717722
04/2001,76.32915954
03/2001,74.22828252
02/2001,72.24928211
01/2001,70.37667332
12/2000,73.08736384
11/2000,77.06841545
10/2000,76.30055306
09/2000,75.02854451
08/2000,71.94604298
07/2000,67.13215863
06/2000,70.17068501
05/2000,70.23454819
04/2000,66.61264428
03/2000,65.48751373
02/2000,64.96355665
01/2000,63.90220441
12/1999,65.58252624
11/1999,65.37788165
10/1999,65.05835287
09/1999,65.70063196
08/1999,65.38372431
07/1999,67.93653414
06/1999,69.41666703
05/1999,69.23117377
04/1999,72.26416721
03/1999,75.78762495
02/1999,75.30108547
01/1999,73.32527684
12/1998,277.4676083
11/1998,277.7193799
10/1998,268.83315153
09/1998,274.05819251
08/1998,283.27138871
07/1998,282.41016514
06/1998,277.53733419
05/1998,266.8711786
04/1998,266.28175059
03/1998,267.01768781
02/1998,265.63619614
01/1998,269.00671108
12/1997,258.59425381
11/1997,240.79255824
10/1997,240.54083718
09/1997,236.55589426
08/1997,240.49624312
07/1997,239.22163361
06/1997,232.15154687
05/1997,231.68320081
04/1997,232.28397748
03/1997,234.73564827
02/1997,226.0588029
01/1997,219.24626135
12/1996,212.43227505
11/1996,216.21538729
10/1996,220.72412746
09/1996,217.92913349
08/1996,214.90410945
07/1996,212.68349392
06/1996,208.42092904
05/1996,205.77900507
04/1996,196.80309226
03/1996,197.10675109
02/1996,194.89432861
01/1996,192.22936327
12/1995,187.17627555
11/1995,180.07540169
10/1995,176.13182168
09/1995,178.00792185
08/1995,170.01162444
07/1995,160.35702396
06/1995,157.48223141
05/1995,153.41195454
04/1995,145.74922627
03/1995,139.28126899
02/1995,139.74075118
01/1995,134.70746762
12/1994,130.74246665
11/1994,122.47927681
10/1994,113.32038094
09/1994,109.00195421
08/1994,103.78949501
07/1994,96.11539234
06/1994,92.40571233
05/1994,90.84500553
04/1994,90.55348887
03/1994,86.77750164
02/1994,87.48605713
01/1994,84.05421105
12/1993,58.17304405
11/1993,58.88172486
10/1993,56.84023713
09/1993,57.17185933
08/1993,57.45286412
07/1993,56.83349253
06/1993,56.0610168
05/1993,53.93473288
04/1993,46.63866189
03/1993,46.71101997
02/1993,51.3302239
01/1993,53.24864412
12/1992,52.43677209
11/1992,51.1233644
10/1992,48.06803717
09/1992,46.03671019
08/1992,47.79674812
07/1992,47.75451774
06/1992,47.94629357
05/1992,45.43108759
04/1992,45.18851143
03/1992,44.30402419
02/1992,58.93994787
01/1992,62.28935355
12/1991,60.54356119
11/1991,59.59249488
10/1991,60.96958442
09/1991,59.3821831
08/1991,55.20601413
07/1991,56.83447618
06/1991,61.17136653
