Date,REER
2005-09-30,100.99337331
2005-08-31,101.17898716
2005-07-31,99.09263463
2005-06-30,97.28297037
2005-05-31,97.89003593
2005-04-30,97.73790205
2005-03-31,95.9529337
2005-02-28,94.46225078
2005-01-31,90.98745841
2004-12-31,89.68512602
2004-11-30,86.759795
2004-10-31,83.8328796
2004-09-30,83.0446893
2004-08-31,82.50910742
2004-07-31,82.01540194
2004-06-30,81.57617154
2004-05-31,81.50700805
2004-04-30,80.45719856
2004-03-31,82.01013
2004-02-29,81.27575376
2004-01-31,79.71624304
2003-12-31,80.12173311
2003-11-30,80.03011313
2003-10-31,81.77354201
2003-09-30,82.21548544
2003-08-31,82.35536862
2003-07-31,82.42341358
2003-06-30,79.9409427
2003-05-31,79.94416044
2003-04-30,80.88876792
2003-03-31,81.71717601
2003-02-28,81.43245908
2003-01-31,80.25515056
2002-12-31,82.00203131
2002-11-30,82.57078285
2002-10-31,83.40922967
2002-09-30,82.8391088
2002-08-31,82.73850692
2002-07-31,81.12452083
2002-06-30,82.12111977
2002-05-31,83.19151092
2002-04-30,84.81565284
2002-03-31,85.26193108
2002-02-28,87.0794726
2002-01-31,85.45835822
2001-12-31,85.14008045
2001-11-30,84.78315401
2001-10-31,83.4396305
2001-09-30,82.91742351
2001-08-31,83.20478835
2001-07-31,84.85719294
2001-06-30,85.01900052
2001-05-31,83.10672828
2001-04-30,82.7884494
2001-03-31,81.25752334
2001-02-28,80.06565483
2001-01-31,78.86680043
2000-12-31,81.37305167
2000-11-30,84.28418603
2000-10-31,84.49987443
2000-09-30,84.83689235
2000-08-31,84.33703392
2000-07-31,81.74232471
2000-06-30,80.22324918
2000-05-31,83.01859223
2000-04-30,81.10616413
2000-03-31,78.76716768
2000-02-29,79.14549944
2000-01-31,77.54607835
1999-12-31,76.96202319
1999-11-30,76.19369417
1999-10-31,74.81632844
1999-09-30,75.03274985
1999-08-31,73.1140716
1999-07-31,73.57898613
1999-06-30,72.4391554
1999-05-31,69.13605226
1999-04-30,67.53308873
1999-03-31,67.32985965
1999-02-28,71.72587831
1999-01-31,74.03781589
1998-12-31,78.00111996
1998-11-30,81.79264626
1998-10-31,83.47558648
1998-09-30,86.37080653
1998-08-31,89.35523339
1998-07-31,88.20293306
1998-06-30,87.44393168
1998-05-31,85.21365715
1998-04-30,86.14672196
1998-03-31,86.4006606
1998-02-28,84.11881649
1998-01-31,79.35193201
1997-12-31,78.16583977
1997-11-30,74.53880804
1997-10-31,73.47592782
1997-09-30,71.85403903
1997-08-31,71.08763746
1997-07-31,68.46219626
1997-06-30,65.86108858
1997-05-31,63.5144681
1997-04-30,62.12136548
1997-03-31,56.64029936
1997-02-28,45.54065354
1997-01-31,52.12690143
1996-12-31,60.1344135
1996-11-30,57.98569922
1996-10-31,58.76308876
1996-09-30,58.47335951
1996-08-31,57.02490913
1996-07-31,55.93651703
1996-06-30,53.40400522
1996-05-31,53.13626522
1996-04-30,50.96542556
1996-03-31,50.59322854
1996-02-29,51.75987425
1996-01-31,55.31542474
1995-12-31,55.54336517
1995-11-30,57.26686527
1995-10-31,61.44156403
1995-09-30,62.68681178
1995-08-31,62.20832077
1995-07-31,60.72680568
1995-06-30,60.14266323
1995-05-31,59.98111211
1995-04-30,61.33025438
1995-03-31,62.82296155
1995-02-28,66.08405629
1995-01-31,67.06040812
1994-12-31,67.28555111
1994-11-30,66.55635838
1994-10-31,65.31354941
1994-09-30,65.27503798
1994-08-31,64.36850329
1994-07-31,62.43387461
1994-06-30,63.23744883
1994-05-31,61.34299017
1994-04-30,60.06932078
1994-03-31,59.23738301
1994-02-28,59.73362648
1994-01-31,60.72497812
1993-12-31,68.4702695
1993-11-30,69.29464193
1993-10-31,66.07002528
1993-09-30,64.2966233
1993-08-31,63.29906732
1993-07-31,59.23675142
1993-06-30,56.28114988
1993-05-31,56.52759231
1993-04-30,45.97080551
1993-03-31,44.36300386
1993-02-28,47.05850742
1993-01-31,46.19414156
1992-12-31,45.1466714
1992-11-30,40.67117754
1992-10-31,35.16692116
1992-09-30,33.60249167
1992-08-31,32.57181614
1992-07-31,33.88977324
1992-06-30,44.63226871
1992-05-31,49.25314674
1992-04-30,51.98179131
1992-03-31,50.30564256
1992-02-29,47.03039295
1992-01-31,39.31867606
1991-12-31,35.23904768
1991-11-30,29.59543097
1991-10-31,95.24753939
1991-09-30,86.42779443
1991-08-31,81.4458801
1991-07-31,72.01854613
1991-06-30,65.8222675
1991-05-31,61.44217103
1991-04-30,61.06744146
1991-03-31,78.11106628
1991-02-28,72.61165379
1991-01-31,68.73321047
1990-12-31,60.10110964
1990-11-30,53.89077946
1990-10-31,81.23169362
