,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Romania
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230653101
SR Code,SR3286824
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
08/2001,83.20478835
07/2001,84.85719294
06/2001,85.01900052
05/2001,83.10672828
04/2001,82.7884494
03/2001,81.25752334
02/2001,80.06565483
01/2001,78.86680043
12/2000,81.37305167
11/2000,84.28418603
10/2000,84.49987443
09/2000,84.83689235
08/2000,84.33703392
07/2000,81.74232471
06/2000,80.22324918
05/2000,83.01859223
04/2000,81.10616413
03/2000,78.76716768
02/2000,79.14549944
01/2000,77.54607835
12/1999,76.96202319
11/1999,76.19369417
10/1999,74.81632844
09/1999,75.03274985
08/1999,73.1140716
07/1999,73.57898613
06/1999,72.4391554
05/1999,69.13605226
04/1999,67.53308873
03/1999,67.32985965
02/1999,71.72587831
01/1999,74.03781589
12/1998,78.00111996
11/1998,81.79264626
10/1998,83.47558648
09/1998,86.37080653
08/1998,89.35523339
07/1998,88.20293306
06/1998,87.44393168
05/1998,85.21365715
04/1998,86.14672196
03/1998,86.4006606
02/1998,84.11881649
01/1998,79.35193201
12/1997,78.16583977
11/1997,74.53880804
10/1997,73.47592782
09/1997,71.85403903
08/1997,71.08763746
07/1997,68.46219626
06/1997,65.86108858
05/1997,63.5144681
04/1997,62.12136548
03/1997,56.64029936
02/1997,45.54065354
01/1997,52.12690143
12/1996,60.1344135
11/1996,57.98569922
10/1996,58.76308876
09/1996,58.47335951
08/1996,57.02490913
07/1996,55.93651703
06/1996,53.40400522
05/1996,53.13626522
04/1996,50.96542556
03/1996,50.59322854
02/1996,51.75987425
01/1996,55.31542474
12/1995,55.54336517
11/1995,57.26686527
10/1995,61.44156403
09/1995,62.68681178
08/1995,62.20832077
07/1995,60.72680568
06/1995,60.14266323
05/1995,59.98111211
04/1995,61.33025438
03/1995,62.82296155
02/1995,66.08405629
01/1995,67.06040812
12/1994,67.28555111
11/1994,66.55635838
10/1994,65.31354941
09/1994,65.27503798
