,Real Effective Exchange Rate Index: Based on Consumer Price Index
Region,Poland
Subnational,
Frequency,Monthly
Unit,2010=100
Source,International Monetary Fund
Status,Active
Series ID,230560501
SR Code,SR3286810
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,10/1990
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
09/2004,90.60404124
08/2004,89.30946644
07/2004,88.99856098
06/2004,86.30542799
05/2004,83.25859422
04/2004,82.13612368
03/2004,82.07208527
02/2004,81.18330192
01/2004,83.56084607
12/2003,84.58311065
11/2003,84.38125243
10/2003,84.97033515
09/2003,86.71643586
08/2003,88.77136029
07/2003,87.56786106
06/2003,88.27096646
05/2003,90.11548742
04/2003,89.93277687
03/2003,89.20009297
02/2003,92.52517117
01/2003,94.36654053
12/2002,95.86498356
11/2002,96.28137784
10/2002,94.03760269
09/2002,93.50388853
08/2002,93.28782544
07/2002,93.49352092
06/2002,99.03384418
05/2002,102.24051068
04/2002,105.16634348
03/2002,104.0881841
02/2002,103.78742019
01/2002,105.55380935
12/2001,105.90099643
11/2001,104.16065727
10/2001,101.55889082
09/2001,99.02007043
08/2001,99.43519963
07/2001,104.57686935
06/2001,110.66508446
05/2001,108.34397423
04/2001,104.93413149
03/2001,101.86243648
02/2001,99.768276
01/2001,97.93568145
12/2000,96.41483813
11/2000,94.45776067
10/2000,92.76010579
09/2000,94.02641546
08/2000,93.75102502
07/2000,91.72045282
06/2000,88.36507479
05/2000,89.23077733
04/2000,90.62067292
03/2000,92.27245876
02/2000,89.33743924
01/2000,87.29651648
12/1999,85.39920665
11/1999,81.73199379
10/1999,81.75760558
09/1999,83.09895397
08/1999,84.55585119
07/1999,87.06906065
06/1999,85.23707372
05/1999,83.5724054
04/1999,81.1772439
03/1999,80.8851218
02/1999,81.37981937
01/1999,84.19684715
12/1998,84.70640345
11/1998,91.91397273
10/1998,82.7189388
09/1998,82.34514404
08/1998,85.04999336
07/1998,88.15381918
06/1998,87.03071141
05/1998,87.32257319
04/1998,88.23825632
03/1998,87.27074422
02/1998,84.74531505
01/1998,83.5926994
12/1997,80.84368667
11/1997,78.45715065
10/1997,80.28945325
09/1997,80.06415119
08/1997,80.62492209
07/1997,80.10054107
06/1997,81.40701138
05/1997,81.16469095
04/1997,82.36578864
03/1997,82.49972521
02/1997,82.1816146
01/1997,81.04032749
12/1996,80.25444374
11/1996,79.07992733
10/1996,78.75324503
09/1996,78.35355593
08/1996,78.30174731
07/1996,78.6168292
06/1996,78.56536908
05/1996,79.21991467
04/1996,78.78668333
03/1996,77.98038322
02/1996,77.59258708
01/1996,77.51041163
12/1995,75.82196301
11/1995,75.09160476
