"Date","Reserves","YoY_change"
"01/31/1970",108.24,NA
"02/28/1970",121.7,NA
"03/31/1970",106,NA
"04/30/1970",107.68,NA
"05/31/1970",103.7,NA
"06/30/1970",103.64,NA
"07/31/1970",113.26,NA
"08/31/1970",109.54,NA
"09/30/1970",127.24,NA
"10/31/1970",125.06,NA
"11/30/1970",114.58,NA
"12/31/1970",156.58,NA
"01/31/1971",161.94,49.6119733924612
"02/28/1971",180.4,48.2333607230896
"03/31/1971",202.62,91.1509433962264
"04/30/1971",171.64,59.3982169390787
"05/31/1971",202.22,95.0048216007715
"06/30/1971",242.16,133.654959475106
"07/31/1971",199,75.7019247748543
"08/31/1971",109.96,0.383421581157557
"09/30/1971",208.16,63.5963533480038
"10/31/1971",251.82,101.359347513194
"11/30/1971",198.4,73.1541281200908
"12/31/1971",281.38,79.7036658577085
"01/31/1972",216.7,33.8149932073607
"02/29/1972",166.6,-7.64966740576497
"03/31/1972",233.8,15.3884118053499
"04/30/1972",234,36.3318573759031
"05/31/1972",228.6,13.0451982988824
"06/30/1972",209.08,-13.6603898249091
"07/31/1972",202.54,1.77889447236181
"08/31/1972",202.76,84.394325209167
"09/30/1972",241.1,15.8243658724058
"10/31/1972",223.72,-11.1587641966484
"11/30/1972",201,1.31048387096774
"12/31/1972",243.58,-13.4337906034544
"01/31/1973",219.65,1.36132902630365
"02/28/1973",222.01,33.2593037214886
"03/31/1973",280.98,20.1796407185629
"04/30/1973",309.72,32.3589743589744
"05/31/1973",339.79,48.6395450568679
"06/30/1973",330.1,57.882150373063
"07/31/1973",356.3,75.9158684704256
"08/31/1973",301.37,48.6338528309331
"09/30/1973",282.93,17.3496474491912
"10/31/1973",280.77,25.5006257822278
"11/30/1973",246.14,22.4577114427861
"12/31/1973",377.98,55.1769439198621
"01/31/1974",447,103.505577054405
"02/28/1974",587.2,164.492590423855
"03/31/1974",802.3,185.536337105844
"04/30/1974",1029.5,232.397003745318
"05/31/1974",1386.5,308.046146149092
"06/30/1974",1484.8,349.803089972735
"07/31/1974",1884.7,428.964355879877
