Date,Foreign Exchange Reserves USD mn,yryr%
2005-12-31,20686.2,53.83848825362356
2006-01-31,20596.7,40.4690782115285
2006-02-28,21103.2,36.54256764625956
2006-03-31,21438.1,32.75022911351644
2006-04-30,21858.3,31.757465430565766
2006-05-31,21848.0,29.41058006124613
2006-06-30,20834.2,19.790480790239307
2006-07-31,20959.2,14.30378918435462
2006-08-31,23002.6,22.36141476362976
2006-09-30,23411.6,19.623933370803726
2006-10-31,23867.2,21.473323120301725
2006-11-30,24578.5,24.24930238201157
2006-12-31,24392.7,17.9177422629579
2007-01-31,25655.1,24.559274058465675
2007-02-28,26139.1,23.863205580196368
2007-03-31,26071.3,21.611989868505145
2007-04-30,26437.8,20.950851621580814
2007-05-31,27421.8,25.51171731966313
2007-06-30,27843.5,33.64324044119764
2007-07-31,28857.9,37.68607580442003
2007-08-31,28977.0,25.97271612774208
2007-09-30,29005.6,23.894137948709183
2007-10-31,30438.1,27.53108869075551
2007-11-30,31404.8,27.773460544785067
2007-12-31,30932.4,26.81007022592825
2008-01-31,32173.8,25.408983009226247
2008-02-29,32783.2,25.418243168280476
2008-03-31,33267.6,27.602382696681783
2008-04-30,33710.4,27.50834033088987
2008-05-31,34066.3,24.230721542714196
2008-06-30,34303.3,23.20038788227057
2008-07-31,33623.8,16.515061733528768
2008-08-31,33476.4,15.527487317527688
2008-09-30,33285.1,14.754047494276978
2008-10-31,32429.3,6.541801229380284
2008-11-30,31693.6,0.9196046464234664
2008-12-31,31795.8,2.7912480117934457
2009-01-31,30927.5,-3.873648745252345
2009-02-28,30397.1,-7.278423094755848
2009-03-31,29513.5,-11.284553138789688
2009-04-30,28529.3,-15.369440884712137
2009-05-31,28508.7,-16.314069916603803
2009-06-30,28559.4,-16.74445315756793
2009-07-31,28879.2,-14.11083815630596
2009-08-31,29092.3,-13.096091574960278
2009-09-30,29864.5,-10.27667034198485
2009-10-31,30369.8,-6.350738375481435
2009-11-30,30364.7,-4.192960092889408
2009-12-31,30145.4,-5.190622660854571
2010-01-31,30410.7,-1.6710047692183316
2010-02-28,30673.0,0.9076523747331144
2010-03-31,31077.8,5.300286309654911
2010-04-30,31230.6,9.468511319941243
2010-05-31,31254.3,9.630744299108684
2010-06-30,30826.6,7.938542126235126
2010-07-31,30842.7,6.7990110529377645
2010-08-31,31095.7,6.886358245996371
2010-09-30,31068.4,4.031207621088595
2010-10-31,31045.5,2.2249076385093103
2010-11-30,31112.4,2.4623987722585783
2010-12-31,31550.7,4.661739436199208
2011-01-31,30514.9,0.3426425567316871
2011-02-28,28822.4,-6.0333192058161895
2011-03-31,25593.0,-17.648610905533857
2011-04-30,23473.0,-24.83974051090917
2011-05-31,22773.0,-27.13642602777857
2011-06-30,21443.2,-30.439295932733412
2011-07-31,20739.3,-32.757832485482794
2011-08-31,20051.1,-35.51809414163374
2011-09-30,19096.1,-38.53529631393957
2011-10-31,17123.5,-44.84385820811389
2011-11-30,15246.0,-50.99703012303776
2011-12-31,13230.1,-58.06717442085279
2012-01-31,11458.6,-62.44916417881101
2012-02-29,10816.0,-62.47363161985122
2012-03-31,10224.4,-60.05001367561442
2012-04-30,10311.2,-56.07208281855749
2012-05-31,10653.7,-53.21784569446274
2012-06-30,10109.0,-52.856849723921805
2012-07-31,9006.0,-56.575197812848074
2012-08-31,9700.6,-51.62060934312831
2012-09-30,9591.6,-49.77194296217552
2012-10-31,10038.7,-41.374718953484965
2012-11-30,9591.4,-37.089072543617995
2012-12-31,9558.6,-27.75111299234322
2013-01-31,8162.6,-28.764421482554592
2013-02-28,8086.7,-25.233912721893493
2013-03-31,8020.1,-21.5592112984625
2013-04-30,9007.2,-12.64644270308014
2013-05-31,10636.2,-0.16426218121403657
2013-06-30,10354.0,2.4235829458898017
2013-07-31,14291.1,58.68421052631578
2013-08-31,14321.3,47.63313609467454
2013-09-30,14092.9,46.929605071103865
2013-10-31,13958.3,39.04489625150664
2013-11-30,13034.7,35.89986863231647
2013-12-31,12343.0,29.12978888121691
2014-01-31,12348.9,51.286354837919276
2014-02-28,12361.6,52.86334351465989
2014-03-31,12562.0,56.63146344808667
2014-04-30,12596.4,39.84812150279775
2014-05-31,12417.4,16.746582426054403
2014-06-30,11818.2,14.14139463009465
2014-07-31,11866.6,-16.96510415573329
2014-08-31,12006.5,-16.163337127216103
2014-09-30,12228.4,-13.230066203549306
2014-10-31,12237.7,-12.326716004097914
2014-11-30,11303.4,-13.282238946811209
2014-12-31,10796.8,-12.526938345621009
2015-01-31,10730.7,-13.104001166095758
2015-02-28,10948.6,-11.430559150918974
2015-03-31,10766.8,-14.290718038528905
2015-04-30,15943.5,26.571877679336954
2015-05-31,15030.0,21.039831204600002
2015-06-30,15535.9,31.457413142441304
2015-07-31,14153.2,19.269209377580765
2015-08-31,13650.3,13.690917419730964
2015-09-30,11874.9,-2.8908115534329926
2015-10-31,11885.4,-2.878808926513976
2015-11-30,12121.2,7.234991241573341
2015-12-31,12123.4,12.286973918197997
2016-01-31,12069.1,12.472625271417526
2016-02-29,11852.2,8.253109986664974
2016-03-31,11885.3,10.388416242523313
2016-04-30,12269.4,-23.044500893781173
2016-05-31,12834.0,-14.61077844311377
2016-06-30,12707.6,-18.20493180311408
2016-07-31,10565.2,-25.351157335443574
2016-08-31,11588.8,-15.102232185373222
2016-09-30,14596.2,22.91640350655586
2016-10-31,14203.5,19.50376091675501
2016-11-30,18411.8,51.89750189750188
2016-12-31,19735.3,62.78684197502351
2017-01-31,21691.5,79.72756874994822
2017-02-28,21735.6,83.38873795582253
2017-03-31,23705.0,99.44805768470297
2017-04-30,23771.3,93.74460038795702
2017-05-31,26239.4,104.45223624746767
2017-06-30,26442.1,108.08099090308158
2017-07-31,31113.8,194.49324196418428
2017-08-31,31166.8,168.9389755626122
2017-09-30,31531.7,116.0267740918869
2017-10-31,31785.3,123.78498257471749
2017-11-30,31743.4,72.407912317101
2017-12-31,32072.4,62.512857671279384
2018-01-31,33068.1,52.44727197289261
2018-02-28,37407.4,72.10198936307258
2018-03-31,37468.4,58.06116852984604
2018-04-30,38866.4,63.50136509151794
2018-05-31,39098.3,49.00607483402821
2018-06-30,37301.0,41.06670801487022
2018-07-31,39421.6,26.70133509889503
2018-08-31,39584.7,27.009189265500467
2018-09-30,39642.6,25.723002565671994
2018-10-31,39621.3,24.652905588432404
2018-11-30,39717.1,25.11923738477919
2018-12-31,37642.0,17.365710080941852
2019-01-31,37588.7,13.67057677943395
2019-02-28,39059.0,4.415169191122614
2019-03-31,39125.3,4.4221263784949505
2019-04-30,39335.1,1.2059259411728362
2019-05-31,39452.3,0.9054102096510697
2019-06-30,39456.1,5.777593094018929
2019-07-31,39785.3,0.9225906609574563
2019-08-31,39652.6,0.17153091977455404
2019-09-30,39753.7,0.2802540701164924
2019-10-31,39801.8,0.45556304311065166
2019-11-30,40126.3,1.0302867027048856
2019-12-31,40027.1,6.336273311726259
2020-01-31,39934.7,6.241237393152721
2020-02-29,39916.6,2.195652730484654
2020-03-31,34587.3,-11.598633109522483
2020-04-30,31331.3,-20.34773014432403
2020-05-31,30281.5,-23.245286079645556
2020-06-30,32015.5,-18.857920575018817
2020-07-31,31620.6,-20.521901305255973
2020-08-31,31737.7,-19.960607879432867
2020-09-30,32024.2,-19.443473186143667
2020-10-31,32847.3,-17.472827862056484
2020-11-30,33186.7,-17.294392954246973
2020-12-31,33422.6,-16.500071201760814
2021-01-31,33552.3,-15.982090763170865
2021-02-28,33943.2,-14.964701402424064
2021-03-31,34264.6,-0.9330014195962244
2021-04-30,34060.9,8.712054718444495
2021-05-31,34023.0,12.35572874527351
2021-06-30,34287.9,7.097811997313808
2021-07-31,34144.2,7.980873228211993
2021-08-31,31591.6,-0.4603358151346937
2021-09-30,31959.9,-0.2007856558477683
2021-10-31,31824.8,-3.112889035019628
2021-11-30,32057.1,-3.403773198299309
2021-12-31,32050.4,-4.105605189303041
2022-01-31,32081.9,-4.38241193599247
2022-02-28,29499.9,-13.09039807678709
2022-03-31,26938.5,-21.38095877377818
2022-04-30,27191.8,-20.167112436841073
2022-05-31,25863.9,-23.98113041178026
2022-06-30,23822.4,-30.522429195138812
2022-07-31,23670.4,-30.67519520152763
2022-08-31,24004.8,-24.01524455868015
2022-09-30,24339.4,-23.84394193974324
2022-10-31,24391.3,-23.357570196827638
2022-11-30,24243.1,-24.37525540363913
2022-12-31,24447.2,-23.722636846966026
2023-01-31,23772.4,-25.900897390740575
2023-02-28,24619.4,-16.54412387838603
2023-03-31,24120.5,-10.460864561872418
2023-04-30,23812.2,-12.428746901639464
2023-05-31,24344.4,-5.874984051129184
2023-06-30,24713.7,3.7414366310699165
2023-07-31,24156.7,2.05446464783019
2023-08-31,24675.4,2.7936079450776585
2023-09-30,24934.4,2.4445960048316673
