Date,Foreign Exchange Reserves USD mn,yryr%
2006-04-30,23089.86413357,38.605746755525416
2006-05-31,23385.30638441,43.068497513554235
2006-06-30,23226.7910612,39.46290936282111
2006-07-31,23332.1198173,29.555449915190835
2006-08-31,23692.58482411,16.93674839691033
2006-09-30,23769.75429341,18.425580886297467
2006-10-31,27014.2564435,34.91029880351548
2006-11-30,28148.05068471,43.27412731365179
2006-12-31,28122.52997524,41.39879320163325
2007-01-31,28209.7803893,34.40416945034783
2007-02-28,28641.61372131,35.78414748490979
2007-03-31,28793.39264488,30.71824350517751
2007-04-30,29247.78122668,26.669351787813667
2007-05-31,29513.00288272,26.203191002000636
2007-06-30,29744.13521666,28.059597807925883
2007-07-31,30764.23469174,31.85357752590199
2007-08-31,33690.13278804,42.19694912205745
2007-09-30,35843.11290082,50.792946609285124
2007-10-31,36475.0286517,35.02140519020798
2007-11-30,37369.03316343,32.75886697095096
2007-12-31,36955.75349435,31.409775460767797
2008-01-31,37920.71415367,34.42399632452782
2008-02-29,38333.85609519,33.839721700697176
2008-03-31,39631.66953414,37.641541665244645
2008-04-30,39322.77518841,34.447036797921385
2008-05-31,38972.66531224,32.05252433007648
2008-06-30,39107.49658816,31.479689368327925
2008-07-31,39215.29838351,27.470417439114982
2008-08-31,37898.37354969,12.491018625916261
2008-09-30,36519.55246132,1.8872232508704068
2008-10-31,34529.43362847,-5.334046593378961
2008-11-30,34448.07598628,-7.816517929097788
2008-12-31,36375.80308802,-1.5693101925757347
2009-01-31,33186.02160695,-12.485768404922748
2009-02-28,32701.27372756,-14.693492753881221
2009-03-31,33194.45795225,-16.24259501948253
2009-04-30,32841.27943981,-16.48280345816069
2009-05-31,37859.7991102,-2.8555044750570024
2009-06-30,37034.99375185,-5.299502696721992
2009-07-31,38947.74335753,-0.6822720647524316
2009-08-31,38594.63316573,1.837175453260853
2009-09-30,39989.20306001,9.50080262447055
2009-10-31,40438.05470316,17.111838955326107
2009-11-30,41645.62508667,20.89390740793955
2009-12-31,39157.1453935,7.646133059247862
2010-01-31,37498.30803337,12.994285598599431
2010-02-28,39288.65986958,20.14412709700746
2010-03-31,42018.08623683,26.581630877276964
2010-04-30,41774.71825865,27.201859888597802
2010-05-31,38375.40407513,1.361879822524159
2010-06-30,37669.48136712,1.7132110768570241
2010-07-31,40044.00384547,2.8146957780752935
2010-08-31,38950.71819841,0.9226283642881805
2010-09-30,43147.94816811,7.898994894596467
2010-10-31,43705.63315833,8.080454114709568
2010-11-30,41715.35667011,0.1674403572881511
2010-12-31,41980.40885239,7.2100849807061
2011-01-31,43761.94550786,16.703786925308606
2011-02-28,43263.42709925,10.116830767107787
2011-03-31,45499.12068946,8.284609710707812
2011-04-30,46541.24474553,11.410074527296254
2011-05-31,46154.69455902,20.27155328100254
2011-06-30,49095.56783165,30.332476184562807
2011-07-31,46149.79781335,15.247710971765693
2011-08-31,46154.24553249,18.493952530955006
2011-09-30,44513.60757037,3.165062210928804
2011-10-31,44184.52846176,1.0957290143701393
2011-11-30,42102.77760995,0.9287249846711587
2011-12-31,42470.11212162,1.1665042876353837
2012-01-31,42086.18736634,-3.829258781968514
2012-02-29,44113.4087196,1.964665486162387
2012-03-31,45662.50979216,0.35910386887509915
2012-04-30,44943.50317464,-3.4329583998576996
2012-05-31,41078.32675614,-10.99859472883875
2012-06-30,41382.84698833,-15.709607168140149
2012-07-31,39215.33203715,-15.025993839119334
2012-08-31,38667.86603766,-16.220348547480878
2012-09-30,41420.63068142,-6.948385129334711
2012-10-31,40894.95567476,-7.445078405322336
2012-11-30,40398.3006286,-4.048371813234441
2012-12-31,40997.75297374,-3.4668124813602152
2013-01-31,42582.47107875,1.1792080572423869
2013-02-28,42036.04977841,-4.70913266846914
2013-03-31,41242.45172847,-9.679840385052385
2013-04-30,42544.3198996,-5.338220444715514
2013-05-31,42422.32799303,3.271801319631673
2013-06-30,41995.13501459,1.4795696062976704
2013-07-31,44177.76490663,12.654318124296182
2013-08-31,42417.81597228,9.697845572775554
2013-09-30,44744.96385323,8.025790812743928
2013-10-31,46876.8424118,14.627443992394307
2013-11-30,44064.0512243,9.074021774828879
2013-12-31,44777.60259923,9.219650715762606
2014-01-31,44333.37904433,4.111804508343253
2014-02-28,43652.19726079,3.8446702078321016
2014-03-31,43040.28465045,4.359180520635597
2014-04-30,44945.16654978,5.643166128511967
2014-05-31,41831.04287498,-1.3938063892843133
2014-06-30,42743.8352253,1.7828260593754086
2014-07-31,41352.37714478,-6.395497300104413
2014-08-31,40581.67605088,-4.328699814719162
2014-09-30,39208.90429572,-12.372475203397382
2014-10-31,40335.99946672,-13.953249853350858
2014-11-30,39119.47517411,-11.22133783164998
2014-12-31,38965.02616194,-12.980990718314956
2015-01-31,34523.09272977,-22.12844255510158
2015-02-28,34117.63951073,-21.84210268522793
2015-03-31,32853.11002594,-23.668929486049507
2015-04-30,33577.3833948,-25.29255986267035
2015-05-31,33210.38926401,-20.60826844966417
2015-06-30,33572.61414602,-21.456242826454574
2015-07-31,32135.57011612,-22.288457556843156
2015-08-31,32830.8488549,-19.09932745572721
2015-09-30,32511.0998556,-17.082355552718475
2015-10-31,34934.2157393,-13.391966974505854
2015-11-30,33896.55268783,-13.351207967474533
2015-12-31,34995.32101978,-10.187867257323957
2016-01-31,34302.87495902,-0.6378854075263507
2016-02-29,33489.26377451,-1.8417913584624523
2016-03-31,35618.51167941,8.417472961575069
2016-04-30,35709.84374603,6.350883051715828
2016-05-31,35878.88527292,8.035124152554985
2016-06-30,33932.04916808,1.070619703597342
2016-07-31,35117.072525,9.277888638995723
2016-08-31,35368.55391295,7.729635835082127
2016-09-30,36034.80431074,10.838465849481382
2016-10-31,36291.95923377,3.886572134901467
2016-11-30,35040.24913136,3.374078933816249
2016-12-31,34803.15518307,-0.5491186567523898
2017-01-31,35907.75197227,4.678549582701952
2017-02-28,35287.05417872,5.368258962976569
2017-03-31,35774.31524884,0.43742301989575516
2017-04-30,37828.77991156,5.933759275453476
2017-05-31,38497.53601262,7.298584445365863
2017-06-30,38800.40127466,14.347356631675744
2017-07-31,39558.70334769,12.64806688976703
2017-08-31,40175.58874259,13.591267659602924
2017-09-30,37963.4855679,5.352273431342502
2017-10-31,38134.3524122,5.076587809885003
2017-11-30,37931.62121827,8.251574000146888
2017-12-31,38854.82755733,11.641681200878406
2018-01-31,40193.6058686,11.935734377467512
2018-02-28,41400.28421102,17.324285561889184
2018-03-31,41346.474486,15.575865529224009
2018-04-30,39077.86322172,3.301939193070025
2018-05-31,37257.51359237,-3.2210436009294408
2018-06-30,35699.23948283,-7.992602369953639
2018-07-31,35345.75198683,-10.649872226173496
2018-08-31,34640.90486928,-13.776235884858867
2018-09-30,35136.02563162,-7.4478407184791156
2018-10-31,35317.50382874,-7.386643289526084
2018-11-30,35472.64925376,-6.482643993412074
2018-12-31,36503.92528956,-6.050476647467451
2019-01-31,35182.35827436,-12.46777313442008
2019-02-28,35594.16045653,-14.024357236041674
2019-03-31,34591.55910177,-16.33734307024709
2019-04-30,36368.66133589,-6.932830156189784
2019-05-31,35244.89887818,-5.401902918723389
2019-06-30,35671.44594944,-0.07785469324457228
2019-07-31,38124.83541513,7.8625669906117635
2019-08-31,37796.29187404,9.108846944579208
2019-09-30,37284.22753697,6.113958157569099
2019-10-31,37577.6587393,6.399531862500352
2019-11-30,35905.04782263,1.2189632800661654
2019-12-31,35596.84247363,-2.4848911691955022
2020-01-31,37979.6764763,7.950911590763421
2020-02-29,38062.34898171,6.934251274712078
2020-03-31,36234.52103291,4.749603584811912
2020-04-30,34892.79945585,-4.0580594001230486
2020-05-31,38236.51405826,8.488079907450373
2020-06-30,37965.59778975,6.431339631036215
2020-07-31,41458.86743159,8.745039762550345
2020-08-31,41334.99043187,9.362554849621429
2020-09-30,36807.59404686,-1.278378342792219
2020-10-31,37966.97234568,1.0360241149692584
2020-11-30,38481.58077202,7.175963006978892
2020-12-31,44289.24492946,24.41902666583222
2021-01-31,44022.68550875,15.911165110163438
2021-02-28,41072.30226908,7.907954626805513
2021-03-31,40528.88593044,11.851584552834705
2021-04-30,44667.76267986,28.014270498353987
2021-05-31,44383.29424445,16.075681420184672
2021-06-30,42213.96182297,11.190035928703267
2021-07-31,44852.94358416,8.186610881665924
2021-08-31,45217.83584626,9.393604241398968
2021-09-30,43861.42081001,19.164052815214493
2021-10-31,42186.26359305,11.11305691945721
2021-11-30,40511.20989845,5.2742872972249
2021-12-31,41978.60913845,-5.21714875629552
2022-01-31,44503.41059511,1.0919940044649135
2022-02-28,43174.32812603,5.11786712899327
2022-03-31,40752.85306412,0.5526111279357426
2022-04-30,39007.92122134,-12.67097593198223
2022-05-31,40211.97588186,-9.398397378111722
2022-06-30,40351.21108062,-4.412641367710757
2022-07-31,40012.28484033,-10.792287767573628
2022-08-31,39536.16534653,-12.565109305645683
2022-09-30,39258.98353084,-10.493133131974686
2022-10-31,42260.2234352,0.17531735652973612
2022-11-30,43489.18843826,7.350998766205552
2022-12-31,46228.27246899,10.123401936743882
2023-01-31,50807.39436751,14.165170013043182
2023-02-28,51495.17567652,19.272674090493425
2023-03-31,54190.47267727,32.97344505428228
2023-04-30,55183.03160829,41.46621988690109
2023-05-31,52924.06489309,31.6126943092208
2023-06-30,54666.84106635,35.4775720538548
2023-07-31,55766.4012147,39.3731985994731
2023-08-31,54793.34503613,38.590438794133306
2023-09-30,59108.04165232,50.55927672168974
