Date,Foreign Exchange Reserves USD mn,yryr%
1961-01-31,146.58767956,-2.4247265432056575
1961-02-28,164.81633964,-2.4247265414342634
1961-03-31,143.55408383,-2.4247265386400096
1961-04-30,145.82928063,-2.4247265404092944
1961-05-31,140.43923107,-2.4247265415808017
1961-06-30,140.35797404,-2.424726542510003
1961-07-31,153.38618429,-2.4247265378844363
1961-08-31,148.34824852,-2.424726539485922
1961-09-30,172.31907195,-2.4247265432840615
1961-10-31,169.36673324,-2.424726544405975
1961-11-30,155.17383892,-2.4247265383012584
1961-12-31,212.05375892,-2.424726541871214
1962-01-31,148.28707856,1.1593054785374424
1962-02-28,166.72706449,1.1593054755211218
1962-03-31,145.21831418,1.1593054726125596
1962-04-30,147.51988746,1.159305471916472
1962-05-31,142.06735076,1.1593054715519635
1962-06-30,141.98515171,1.1593054695533622
1962-07-31,155.16439872,1.1593054734564845
1962-08-31,150.06805788,1.1593054701742211
1962-09-30,174.31677638,1.1593054717585982
1962-10-31,171.33021105,1.1593054742442543
1962-11-30,156.97277772,1.1593054683189497
1962-12-31,214.51210976,1.1593054763662236
1963-01-31,124.51097694,-16.033832381679623
1963-02-28,139.99432644,-16.033832378547864
1963-03-31,121.9342531,-16.033832379529688
1963-04-30,123.86679598,-16.033832378304613
1963-05-31,119.28850987,-16.033832381713943
1963-06-30,119.21949049,-16.033832373189348
1963-07-31,130.28559912,-16.03383237729341
1963-08-31,126.00639703,-16.03383237573488
1963-09-30,146.36711665,-16.033832377138168
1963-10-31,143.8594122,-16.033832376464574
1963-11-30,131.80402566,-16.033832378818403
1963-12-31,180.11759765,-16.03383237826582
1964-01-31,149.64582354,20.186851968973073
1964-02-29,168.25477388,20.18685196654173
1964-03-31,146.54894027,20.18685196670138
1964-04-30,148.87160272,20.186851966395714
1964-05-31,143.36910477,20.186851966080322
1964-06-30,143.28615254,20.186851957749873
1964-07-31,156.58616014,20.186851960342732
1964-08-31,151.44312186,20.18685196113015
1964-09-30,175.91402981,20.186851962557917
1964-10-31,172.90009877,20.1868519590684
1964-11-30,158.41110921,20.186851969632013
1964-12-31,216.47767045,20.186851964711416
1965-01-31,159.52285435,6.600271612231046
1965-02-28,179.36004596,6.600271614236841
1965-03-31,156.22156838,6.600271617235354
1965-04-30,158.69753286,6.600271616932041
1965-05-31,152.8318551,6.6002716172222975
1965-06-30,152.7434278,6.6002716189618615
1965-07-31,166.92127202,6.6002716145281415
1965-08-31,161.43877925,6.600271618304587
1965-09-30,187.52483359,6.600271617073705
1965-10-31,184.31197492,6.600271619960507
1965-11-30,168.86667269,6.60027161740242
1965-12-31,230.76578468,6.600271612447961
1966-01-31,137.6145432,-13.733650415966226
1966-02-28,154.72736426,-13.733650417046317
1966-03-31,134.7666443,-13.733650418751486
1966-04-30,136.90256848,-13.73365041486001
1966-05-31,131.8424624,-13.73365041356488
1966-06-30,131.76617939,-13.733650417658104
1966-07-31,143.99688805,-13.73365041649891
1966-08-31,139.26734167,-13.733650417206068
1966-09-30,161.7708285,-13.733650416833843
1966-10-31,158.99921261,-13.7336504158164
1966-11-30,145.67511419,-13.733650418146349
1966-12-31,199.07321854,-13.733650412667409
1967-01-31,69.44890117,-49.53374871937227
1967-02-28,78.08510045,-49.53374871765557
1967-03-31,68.01167336,-49.5337487155937
1967-04-30,69.08959422,-49.5337487184594
1967-05-31,66.53594837,-49.53374871888011
1967-06-30,66.4974512,-49.5337487146974
1967-07-31,72.66983137,-49.533748712147954
1967-08-31,70.2830066,-49.533748718677614
1967-09-30,81.63967281,-49.53374871910234
1967-10-31,80.24094217,-49.533748719361036
1967-11-30,73.51676918,-49.533748719692696
1967-12-31,100.4647907,-49.533748719788996
1968-01-31,66.02300571,-4.932972879749298
1968-02-29,74.23318362,-4.932972881896314
1968-03-31,64.65667596,-4.932972876937313
1968-04-30,65.68142327,-4.932972886115761
1968-05-31,63.25374808,-4.932972882189935
1968-06-30,63.21714996,-4.932972889643628
1968-07-31,69.08504829,-4.93297288904937
1968-08-31,66.81596495,-4.932972873132602
1968-09-30,77.61240989,-4.93297288117831
1968-10-31,76.28267825,-4.932972885106379
1968-11-30,69.8902069,-4.932972871972452
1968-12-31,95.50888982,-4.932972880816444
1969-01-31,85.11124359,28.911494826278172
1969-02-28,95.69510666,28.91149482401787
1969-03-31,83.34988748,28.91149481851589
1969-04-30,84.67090456,28.91149482546833
1969-05-31,81.54135218,28.911494820624384
1969-06-30,81.494173,28.911494826268825
1969-07-31,89.05856845,28.911494823245487
1969-08-31,86.13345919,28.911494811839876
1969-09-30,100.05131776,28.91149482641069
1969-10-31,98.33714083,28.911494832052508
1969-11-30,90.09651045,28.911494823461446
1969-12-31,123.12193756,28.91149482738278
1970-01-31,108.24,27.17473677322402
1970-02-28,121.7,27.174736773526064
1970-03-31,106.0,27.174736769062747
1970-04-30,107.68,27.174736775954923
1970-05-31,103.7,27.17473677783202
1970-06-30,103.64,27.174736775352027
1970-07-31,113.26,27.17473677289948
1970-08-31,109.54,27.174736774901852
1970-09-30,127.24,27.174736773801776
1970-10-31,125.06,27.174736772342257
1970-11-30,114.58,27.17473676584552
1970-12-31,156.58,27.174736771580754
1971-01-31,161.94,49.611973392461195
1971-02-28,180.4,48.23336072308957
1971-03-31,202.62,91.15094339622642
1971-04-30,171.64,59.39821693907872
1971-05-31,202.22,95.00482160077146
1971-06-30,242.16,133.65495947510615
1971-07-31,199.0,75.70192477485432
1971-08-31,109.96,0.3834215811575614
1971-09-30,208.16,63.596353348003774
1971-10-31,251.82,101.35934751319367
1971-11-30,198.4,73.15412812009076
1971-12-31,281.38,79.7036658577085
1972-01-31,216.7,33.81499320736074
1972-02-29,166.6,-7.649667405764971
1972-03-31,233.8,15.38841180534991
1972-04-30,234.0,36.331857375903056
1972-05-31,228.6,13.045198298882399
1972-06-30,209.08,-13.660389824909148
1972-07-31,202.54,1.7788944723618139
1972-08-31,202.76,84.39432520916696
1972-09-30,241.1,15.824365872405831
1972-10-31,223.72,-11.158764196648397
1972-11-30,201.0,1.310483870967749
1972-12-31,243.58,-13.433790603454398
1973-01-31,219.65,1.3613290263036593
1973-02-28,222.01,33.2593037214886
1973-03-31,280.98,20.179640718562887
1973-04-30,309.72,32.358974358974365
1973-05-31,339.79,48.639545056867895
1973-06-30,330.1,57.88215037306295
1973-07-31,356.3,75.91586847042562
1973-08-31,301.37,48.63385283093314
1973-09-30,282.93,17.34964744919121
1973-10-31,280.77,25.500625782227782
1973-11-30,246.14,22.457711442786056
1973-12-31,377.98,55.176943919862055
1974-01-31,447.0,103.50557705440475
1974-02-28,587.2,164.49259042385484
1974-03-31,802.3,185.53633710584378
1974-04-30,1029.5,232.39700374531833
1974-05-31,1386.5,308.04614614909207
1974-06-30,1484.8,349.8030899727355
1974-07-31,1884.7,428.9643558798765
1974-08-31,2133.1,607.8010419086173
1974-09-30,2472.2,773.7850351677092
1974-10-31,2823.6,905.6629981835666
1974-11-30,2969.2,1106.3053546762005
1974-12-31,3452.3,813.3552039790466
1975-01-31,3674.4,722.013422818792
1975-02-28,3690.3,528.4570844686648
1975-03-31,3757.2,368.3036270721675
1975-04-30,4115.7,299.77659057795046
1975-05-31,3985.1,187.42156509195817
1975-06-30,3789.5,155.21955818965517
1975-07-31,3774.3,100.2599883270547
1975-08-31,3593.8,68.47780225962217
1975-09-30,3549.4,43.5725264946202
1975-10-31,3702.0,31.109222269443258
1975-11-30,3615.0,21.749966320894522
1975-12-31,3583.7,3.806158213364985
1976-01-31,3569.1,-2.8657740039190083
1976-02-29,3441.3,-6.747418909031788
1976-03-31,3475.3,-7.50292771212604
1976-04-30,3881.0,-5.7025536360764795
1976-05-31,3823.4,-4.057614614438776
1976-06-30,3773.4,-0.42485816070721993
1976-07-31,3751.2,-0.6120340195533092
1976-08-31,3734.7,3.9206411041237565
1976-09-30,3703.7,4.34721361356849
1976-10-31,3704.4,0.06482982171798213
1976-11-30,3344.6,-7.479944674965422
1976-12-31,3286.3,-8.298685715880227
1977-01-31,3076.9,-13.790591465635593
1977-02-28,3220.4,-6.419085810594838
1977-03-31,3224.7,-7.210888268638693
1977-04-30,3241.2,-16.48544189641845
1977-05-31,3159.9,-17.353664277867864
1977-06-30,3124.3,-17.201992897651984
1977-07-31,2965.2,-20.953294945617408
1977-08-31,3064.6,-17.94253889201275
1977-09-30,3051.1,-17.620217620217616
1977-10-31,2993.7,-19.18529316488501
1977-11-30,3009.7,-10.013155534294093
1977-12-31,2814.5,-14.356571219912972
1978-01-31,2073.2,-32.62049465370991
1978-02-28,2676.1,-16.901627127064966
1978-03-31,2470.2,-23.39752535119546
1978-04-30,2179.7,-32.750215969394056
1978-05-31,1926.1,-39.0455394158043
1978-06-30,1840.9,-41.0780014723298
1978-07-31,1485.8,-49.89208147848374
1978-08-31,1523.5,-50.287150035893745
1978-09-30,1315.5,-56.88440234669463
1978-10-31,1385.5,-53.71947756956275
1978-11-30,1367.5,-54.563577765225766
1978-12-31,1298.9,-53.84970687511104
1979-01-31,1200.9,-42.07505305807446
1979-02-28,1233.4,-53.91054145958671
1979-03-31,1351.1,-45.304023965670794
1979-04-30,1231.2,-43.515162637060136
1979-05-31,1522.2,-20.96983541872176
1979-06-30,1748.7,-5.008419794665652
1979-07-31,1910.0,28.55027594561852
1979-08-31,2388.6,56.78372169346897
1979-09-30,2628.4,99.80235651843405
1979-10-31,2858.7,106.32984482136409
1979-11-30,2946.6,115.47349177330895
1979-12-31,3059.8,135.56855801062437
1980-01-31,3072.4,155.8414522441502
1980-02-29,3412.7,176.69044916490998
1980-03-31,3667.1,171.41588335430393
1980-04-30,3970.1,222.45776478232617
1980-05-31,4288.0,181.69754302982523
1980-06-30,4496.4,157.12815234173956
1980-07-31,4937.6,158.51308900523563
1980-08-31,5206.6,117.9770576906975
1980-09-30,5524.0,110.16588038350328
1980-10-31,5395.0,88.72214643019556
1980-11-30,5374.1,82.38308559017173
1980-12-31,5462.0,78.5083992417805
1981-01-31,5177.9,68.52948834787136
1981-02-28,5163.6,51.30541799748003
1981-03-31,5572.1,51.94840609746123
1981-04-30,5283.3,33.077252462154604
1981-05-31,6123.1,42.79617537313434
1981-06-30,5515.1,22.655902499777625
1981-07-31,5268.2,6.695560596241079
1981-08-31,5105.2,-1.9475281373641296
1981-09-30,4224.8,-23.519188993482977
1981-10-31,3467.8,-35.72196478220574
1981-11-30,2852.1,-46.92878807614299
1981-12-31,2441.6,-55.29842548517028
1982-01-31,1679.9,-67.55634523648584
1982-02-28,1726.6,-66.56208846541173
1982-03-31,977.4,-82.45903698785018
1982-04-30,773.8,-85.35385081293889
1982-05-31,756.7,-87.6418807466806
1982-06-30,858.3,-84.43727221627894
1982-07-31,857.3,-83.72688963972514
1982-08-31,804.5,-84.24155762751704
1982-09-30,871.5,-79.37180458246544
1982-10-31,1072.8,-69.06395985927678
1982-11-30,902.2,-68.36716805161109
1982-12-31,1043.3,-57.26982306684141
1983-01-31,1193.6,-28.948151675694987
1983-02-28,647.0,-62.52751071469941
1983-03-31,562.2,-42.48004910988335
1983-04-30,593.5,-23.300594468854996
1983-05-31,580.6,-23.272102550548436
1983-06-30,641.9,-25.212629616684147
1983-07-31,699.8,-18.371631867490954
1983-08-31,582.7,-27.569919204474825
1983-09-30,557.2,-36.06425702811244
1983-10-31,513.9,-52.09731543624161
1983-11-30,374.6,-58.47927288849479
1983-12-31,224.4,-78.49132560145691
1984-01-31,224.4,-81.19973190348524
1984-02-29,210.8,-67.41885625965996
1984-03-31,333.1,-40.75062255425116
1984-04-30,478.4,-19.39342881213143
1984-05-31,443.0,-23.699621081639688
1984-06-30,582.5,-9.253777847016664
1984-07-31,532.9,-23.849671334667043
1984-08-31,315.9,-45.78685429895316
1984-09-30,479.9,-13.87293610911703
1984-10-31,705.6,37.302977232924704
1984-11-30,463.1,23.625200213561136
1984-12-31,710.1,216.4438502673797
1985-01-31,567.1,152.71836007130128
1985-02-28,779.4,269.7343453510436
1985-03-31,804.3,141.45902131492042
1985-04-30,1191.9,149.14297658862878
1985-05-31,1148.6,159.27765237020313
1985-06-30,1031.6,77.09871244635191
1985-07-31,804.7,51.00394070182024
1985-08-31,758.0,139.9493510604622
1985-09-30,784.0,63.36736820170869
1985-10-31,1017.7,44.23185941043084
1985-11-30,1236.5,167.00496652990716
1985-12-31,1657.9,133.47415856921563
1986-01-31,1308.9,130.80585434667609
1986-02-28,1320.3,69.39953810623555
1986-03-31,1030.8,28.161133905259227
1986-04-30,893.1,-25.069217216209417
1986-05-31,859.7,-25.15235939404491
1986-06-30,986.2,-4.400930593253182
1986-07-31,828.8,2.994904933515574
1986-08-31,948.1,25.079155672823216
1986-09-30,2120.05,170.41454081632654
1986-10-31,3292.0,223.47450132652057
1986-11-30,2497.5,101.98139911039226
1986-12-31,2836.6,71.09596477471499
1987-01-31,2287.019221,74.72833837573533
1987-02-28,2558.1,93.75142013178824
1987-03-31,9449.5051494,816.7156722351573
1987-04-30,2651.8,196.92083753219129
1987-05-31,4241.6728656,393.389887821333
1987-06-30,5831.5457312,491.3147162036098
1987-07-31,3976.6,379.8021235521236
1987-08-31,4889.0,415.66290475688214
1987-09-30,7237.7380006,241.39468411594063
1987-10-31,7255.0938,120.38559538274605
1987-11-30,4671.6,87.05105105105106
1987-12-31,7504.58891,164.56281851512378
1988-01-31,7925.6614,246.54983776369406
1988-02-29,8240.5976935,222.1374337789766
1988-03-31,8555.533987,-9.460507701366371
1988-04-30,6438.41242,142.79404253714455
1988-05-31,5458.61302,28.690099235832033
1988-06-30,4478.81362,-23.196801903869122
1988-07-31,5458.61302,37.268345320122705
1988-08-31,5132.01322,4.970611986091211
1988-09-30,5024.1688188,-30.583715265964283
1988-10-31,5204.93168627,-28.25824407301254
1988-11-30,5120.37124169,9.6063713008391
1988-12-31,5229.104587,-30.32123878188553
1989-01-31,4310.46022,-45.613873688825514
1989-02-28,4769.7824035,-42.11848969083518
1989-03-31,4540.12131175,-46.93351322490632
1989-04-30,9236.52053,43.459597296191845
1989-05-31,5157.917716,-5.50863933563841
1989-06-30,1079.314902,-75.90176788825609
1989-07-31,1053.73,-80.69601204300062
1989-08-31,2430.32087267,-52.643908569861395
1989-09-30,2309.655256,-54.029107315075244
1989-10-31,3033.53067727,-41.718146171407035
1989-11-30,2984.24728256,-41.71814617146712
1989-12-31,3047.61909194,-41.718146171399184
1990-01-31,3386.768956,-21.42906364647996
1990-02-28,3960.73500581,-16.961935141870043
1990-03-31,3770.02887949,-16.96193514184242
1990-04-30,3696.20444,-59.98271829749292
1990-05-31,3170.336448,-38.53456719238597
1990-06-30,2644.468456,145.0136147568914
1990-07-31,2839.614978,169.48221821529233
1990-08-31,2884.80662733,18.700648123088893
1990-09-30,2762.124273,19.59032699034111
1990-10-31,2828.84862611,-6.747320958171477
1990-11-30,3807.807807,27.596926342294225
1990-12-31,4541.44783308,49.01625485582204
1991-01-31,4003.753231,18.21748938341221
1991-02-28,4682.281485,18.217489383449383
1991-03-31,4428.320007,17.461169358444085
1991-04-30,4222.378414,14.235521398810924
1991-05-31,4085.359959,28.862031712036142
1991-06-30,3902.18624,47.56032469006695
1991-07-31,3833.018357,34.98373500268246
1991-08-31,3681.72236134,27.624580672416734
1991-09-30,3869.66778473,40.09752647830991
1991-10-31,4023.90782217,42.24542752233962
1991-11-30,3738.14038113,-1.82959407094887
1991-12-31,4149.29770418,-8.63491431176574
1992-01-31,4109.64572466,2.6448306763789287
1992-02-29,5517.3574887,17.834809939881268
1992-03-31,4109.64572443,-7.196279448329401
1992-04-30,1885.97930859,-55.33372133732208
1992-05-31,2789.49041655,-31.719837552997365
1992-06-30,2834.30371303,-27.366262430621457
