Date,Bank Lending yryr%
2015-02-28,17.99037434
2015-03-31,20.63242609
2015-04-30,22.18918962
2015-05-31,22.50789044
2015-06-30,22.1393273
2015-07-31,23.51535621
2015-08-31,25.32849422
2015-09-30,28.33917125
2015-10-31,27.0722925
2015-11-30,26.93591949
2015-12-31,25.79031526
2016-01-31,23.42940333
2016-02-29,22.61060389
2016-03-31,25.46685756
2016-04-30,24.37521997
2016-05-31,30.38715648
2016-06-30,31.29922192
2016-07-31,30.02569532
2016-08-31,29.81676971
2016-09-30,25.72793598
2016-10-31,25.40596124
2016-11-30,65.05450276
2016-12-31,64.27595589
2017-01-31,69.57029082
2017-02-28,57.13613767
2017-03-31,57.64265597
2017-04-30,57.76104792
2017-05-31,51.83898792
2017-06-30,51.31177854
2017-07-31,49.7080527
2017-08-31,47.42576857
2017-09-30,46.68198347
2017-10-31,46.06466837
2017-11-30,11.25457366
2017-12-31,12.54666088
2018-01-31,9.92984776
2018-02-28,19.83039166
2018-03-31,15.3305985
2018-04-30,16.10861847
2018-05-31,14.98620077
2018-06-30,14.24557488
2018-07-31,15.41061199
2018-08-31,15.75007376
2018-09-30,16.49962713
2018-10-31,18.69192111
2018-11-30,22.86404186
2018-12-31,23.99889297
2019-01-31,22.37593352
2019-02-28,21.24263876
2019-03-31,19.78835046
2019-04-30,18.103364
2019-05-31,14.3617594
2019-06-30,13.78579556
2019-07-31,11.49185691
2019-08-31,10.91543494
2019-09-30,9.94119468
2019-10-31,7.51982768
2019-11-30,3.97110547
2019-12-31,4.18788378
2020-01-31,3.53077662
2020-02-29,4.01401901
2020-03-31,8.83188274
2020-04-30,12.82897513
2020-05-31,16.57695132
2020-06-30,18.66203359
2020-07-31,22.41010813
2020-08-31,25.35521794
2020-09-30,30.72666372
2020-10-31,31.83067295
2020-11-30,33.00679564
2020-12-31,31.88477789
2021-01-31,34.4287174
2021-02-28,34.70783361
2021-03-31,31.10369598
2021-04-30,28.63544376
2021-05-31,30.59545529
2021-06-30,31.96453732
2021-07-31,28.23398071
2021-08-31,27.90906283
2021-09-30,23.76140678
2021-10-31,24.26784334
2021-11-30,25.20987675
2021-12-31,24.2908294
2022-01-31,24.83347279
2022-02-28,25.97296098
2022-03-31,29.09819679
2022-04-30,28.39965952
2022-05-31,24.70632846
2022-06-30,22.76208856
2022-07-31,25.94178349
2022-08-31,25.50678271
2022-09-30,25.31532551
2022-10-31,30.22314936
2022-11-30,29.35971428
2022-12-31,32.09452537
2023-01-31,35.55002754
2023-02-28,34.88960643
2023-03-31,31.07800033
2023-04-30,29.51664511
2023-05-31,30.39210797
2023-06-30,34.62410408
2023-07-31,37.12448739
