Date,CPI yryrl,Bank Lending yryr%,CPI adjusted Bank Lending
2007-10-31,6.485097231961627,11.955510337134143,-5.470413105172516
2007-11-30,6.859279146561168,11.35962644640947,-4.500347299848301
2007-12-31,7.1389996086673,10.26701820684449,-3.1280185981771904
2008-01-31,6.859279146561168,8.93076054666667,-2.071481400105502
2008-02-29,6.6723632042908125,7.675969455550189,-1.0036062512593764
2008-03-31,6.485097231961627,6.560289314553609,-0.07519208259198162
2008-04-30,6.391332574365285,5.92711089333333,0.4642216810319555
2008-05-31,6.765864847381486,5.876485865481246,0.88937898190024
2008-06-30,6.485097231961627,6.19430288233608,0.2907943496255472
2008-07-31,6.485097231961627,6.58482558666667,-0.09972835470504293
2008-08-31,6.297479916138839,6.804014080484707,-0.5065341643458687
2008-09-30,5.543470688810053,6.958211839601083,-1.4147411507910306
2008-10-31,4.974209189481401,7.25266027666667,-2.2784510871852683
2008-11-30,4.1141943331175215,7.767163006829132,-3.6529686737116105
2008-12-31,3.4401426717332315,8.262012229102467,-4.821869557369236
2009-01-31,3.0529205034822797,8.34246654666667,-5.289546043184389
2009-02-28,2.955880224154443,7.823822680785713,-4.86794245663127
2009-03-31,2.858745685191247,6.746704585211739,-3.8879589000204917
2009-04-30,3.343477608623742,5.46121949,-2.1177418813762583
2009-05-31,3.729578474369693,4.125360018133338,-0.39578154376364516
2009-06-30,3.6331929247390207,2.9314952193524664,0.7016977053865543
2009-07-31,4.974209189481401,1.87867439333333,3.0955347961480713
2009-08-31,4.879016416943205,1.025183079792357,3.8538333371508484
2009-09-30,4.783732941416006,0.1624657372171049,4.621267204198901
2009-10-31,4.592893188839973,-1.06445515,5.657348338839973
2009-11-30,5.069311431551816,-2.67310403916294,7.742415470714756
2009-12-31,5.448818528406978,-4.06395156076138,9.512770089168358
2010-01-31,6.203539091945269,-4.24966845333333,10.453207545278598
2010-02-28,5.543470688810053,-2.886025902047269,8.429496590857323
2010-03-31,5.732506661926935,-0.5710101262597371,6.3035167881866725
2010-04-30,5.543470688810053,1.21048933333333,4.332981355476723
2010-05-31,4.974209189481401,1.605285830606624,3.3689233588747776
2010-06-30,5.164323315183839,1.0690642241255914,4.095259091058248
2010-07-31,3.922071315328133,0.42738018,3.4946911353281327
2010-08-31,3.6331929247390207,0.3498709630471225,3.283321961691898
2010-09-30,3.729578474369693,0.6012659562569841,3.128312518112709
2010-10-31,4.1141943331175215,0.76189348,3.3523008531175216
2010-11-30,4.1141943331175215,0.4905805653609173,3.6236137677566043
2010-12-31,4.592893188839973,-0.2028635863893325,4.7957567752293055
2011-01-31,3.922071315328133,-1.19029978666667,5.112371101994803
2011-02-28,4.018178963283177,-2.184496782413637,6.202675745696814
2011-03-31,4.401688541677426,-3.0077827590379025,7.409471300715328
2011-04-30,4.592893188839973,-3.08053780666667,7.673430995506643
2011-05-31,3.825871211709027,-2.137380637402303,5.96325184911133
2011-06-30,3.4401426717332315,-0.7503112824976317,4.190453954230863
2011-07-31,3.0529205034822797,0.44354886333333,2.6093716401489497
2011-08-31,3.5367143837291346,0.8462647465257622,2.6904496372033724
2011-09-30,3.5367143837291346,0.6872719369113502,2.8494424468177844
2011-10-31,3.825871211709027,0.358,3.467871211709027
2011-11-30,4.210117601863533,0.1849295052999375,4.025188096563595
2011-12-31,4.018178963283177,0.1335151575453532,3.8846638057378233
2012-01-31,5.354076692802976,0.09896881666667,5.255107876136306
2012-02-29,5.732506661926935,-0.021251138497641,5.753757800424577
2012-03-31,5.354076692802976,-0.3647200174848669,5.718796710287843
2012-04-30,5.543470688810053,-1.02907017,6.5725408588100525
2012-05-31,5.164323315183839,-2.111352900017621,7.275676215201459
2012-06-30,5.448818528406978,-3.3146648134289665,8.763483341835943
