Date,Bank Lending yryr%
2008-01-31,8.93076054666667
2008-02-29,7.675969455550189
2008-03-31,6.560289314553609
2008-04-30,5.92711089333333
2008-05-31,5.876485865481246
2008-06-30,6.19430288233608
2008-07-31,6.58482558666667
2008-08-31,6.804014080484707
2008-09-30,6.958211839601083
2008-10-31,7.25266027666667
2008-11-30,7.767163006829132
2008-12-31,8.262012229102467
2009-01-31,8.34246654666667
2009-02-28,7.823822680785713
2009-03-31,6.746704585211739
2009-04-30,5.46121949
2009-05-31,4.125360018133338
2009-06-30,2.9314952193524664
2009-07-31,1.87867439333333
2009-08-31,1.025183079792357
2009-09-30,0.1624657372171049
2009-10-31,-1.06445515
2009-11-30,-2.67310403916294
2009-12-31,-4.06395156076138
2010-01-31,-4.24966845333333
2010-02-28,-2.886025902047269
2010-03-31,-0.5710101262597371
2010-04-30,1.21048933333333
2010-05-31,1.605285830606624
2010-06-30,1.0690642241255914
2010-07-31,0.42738018
2010-08-31,0.3498709630471225
2010-09-30,0.6012659562569841
2010-10-31,0.76189348
2010-11-30,0.4905805653609173
2010-12-31,-0.20286358638933258
2011-01-31,-1.19029978666667
2011-02-28,-2.184496782413637
2011-03-31,-3.0077827590379025
2011-04-30,-3.08053780666667
2011-05-31,-2.137380637402303
2011-06-30,-0.7503112824976317
2011-07-31,0.44354886333333
2011-08-31,0.8462647465257622
2011-09-30,0.6872719369113502
2011-10-31,0.358
2011-11-30,0.1849295052999375
2011-12-31,0.13351515754535326
2012-01-31,0.09896881666667
2012-02-29,-0.021251138497641004
2012-03-31,-0.36472001748486693
2012-04-30,-1.02907017
2012-05-31,-2.111352900017621
2012-06-30,-3.3146648134289665
2012-07-31,-4.41147107666667
2012-08-31,-5.093883120185862
2012-09-30,-5.2847622206176625
2012-10-31,-4.96603502
2012-11-30,-4.196599793804654
2012-12-31,-3.256504255727743
2013-01-31,-2.58184750666667
2013-02-28,-2.445212102296047
2013-03-31,-2.5718820712273804
2013-04-30,-2.59203513333333
2013-05-31,-2.226424374516758
2013-06-30,-1.6991141773740768
2013-07-31,-1.30356732333333
2013-08-31,-1.3028993179097232
2013-09-30,-1.5690214517684153
2013-10-31,-1.91737893333333
2013-11-30,-2.158027435802539
2013-12-31,-2.2444786585822807
2014-01-31,-2.13184693666667
2014-02-28,-1.8572499576555115
2014-03-31,-1.4958955676434966
2014-04-30,-1.25773295666667
2014-05-31,-1.2377549855142689
2014-06-30,-1.2842226906324035
2014-07-31,-1.17452047
2014-08-31,-0.7732867012749716
2014-09-30,-0.3503885776143732
2014-10-31,-0.22530423
2014-11-30,-0.6206381402489544
2014-12-31,-1.2788805439574968
2015-01-31,-1.76980000666667
2015-02-28,-1.807781948903189
2015-03-31,-1.5770282160193012
2015-04-30,-1.37917629333333
2015-05-31,-1.449154639744984
2015-06-30,-1.7567382507484104
2015-07-31,-2.22869503
2015-08-31,-2.7247032608473383
2015-09-30,-2.961516618160724
2015-10-31,-2.64323885333333
2015-11-30,-1.6379584312675866
2015-12-31,-0.3461126833116236
2016-01-31,0.56419151
2016-02-29,0.6740833462480759
2016-03-31,0.39207021736089664
2016-04-30,0.31770688666667
2016-05-31,0.8601349249405335
2016-06-30,1.5952237106326517
2016-07-31,1.96586669
2016-08-31,1.527740780496921
2016-09-30,0.6992201183489315
2016-10-31,0.00211912333333
2016-11-30,-0.09995622551075378
2016-12-31,0.24909911585838612
2017-01-31,0.77082574
2017-02-28,1.1843581551000433
2017-03-31,1.5371139393059519
2017-04-30,1.78246601666667
2017-05-31,1.9406911018731956
2017-06-30,1.9836525021554483
2017-07-31,1.88997575
2017-08-31,1.662561793063686
2017-09-30,1.438459734466369
2017-10-31,1.36088002666667
2017-11-30,1.5452765551173968
2017-12-31,1.9434898422844564
2018-01-31,2.44542542333333
2018-02-28,2.894370592194144
2018-03-31,3.266312703162452
2018-04-30,3.377706
2018-05-31,3.169672837182797
2018-06-30,2.8361875704453707
2018-07-31,2.60564078333333
2018-08-31,2.6794520863430287
2018-09-30,2.9716609032993966
2018-10-31,3.36520804
2018-11-30,3.703661082498134
2018-12-31,3.871210784360572
2019-01-31,3.7125626
2019-02-28,3.254839053289736
2019-03-31,2.7877880460895925
2019-04-30,2.87276802333333
2019-05-31,3.8400802565172705
2019-06-30,5.1686145823889476
2019-07-31,6.27223368666667
2019-08-31,6.631487040814467
2019-09-30,6.62787705846121
2019-10-31,6.84208537333333
2019-11-30,7.620552275080465
2019-12-31,8.550454492533937
2020-01-31,8.91596582
2020-02-29,8.302043973202885
2020-03-31,6.960696990728413
2020-04-30,5.52384485
2020-05-31,4.367981792085505
2020-06-30,3.6727940354051194
2020-07-31,3.41358917666667
2020-08-31,3.5614513545177005
2020-09-30,3.729508508542618
2020-10-31,3.47395206
2020-11-30,2.5642594211988
2020-12-31,1.4915731272435981
2021-01-31,1.05631354333333
2021-02-28,1.6668337867116372
2021-03-31,2.984019770827655
2021-04-30,4.17541933
2021-05-31,4.738748303165961
2021-06-30,4.798548773197091
2021-07-31,4.70924162333333
2021-08-31,4.761138794073137
2021-09-30,4.996419551897952
2021-10-31,5.42266234333333
2021-11-30,5.983099231041236
2021-12-31,6.592130855772242
2022-01-31,7.08246817333333
2022-02-28,7.34412710084567
2022-03-31,7.577877786053076
2022-04-30,7.95326808666667
2022-05-31,8.567643528173953
2022-06-30,8.903487771681188
2022-07-31,8.34494542
2022-08-31,6.486512104825966
2022-09-30,4.09794448403697
2022-10-31,1.95407790666667
2022-11-30,0.862831570888679
2022-12-31,0.48663122913848367
