Date,CPI yryrl,Bank Lending yryr%,CPI adjusted Bank Lending
1997-12-31,12.39859797809913,35.00621478,-22.60761680190087
1998-01-31,12.722278513996086,43.99754184,-31.27526332600391
1998-02-28,13.319258523578062,36.00414569,-22.684887166421937
1998-03-31,13.0282370262922,32.49728116,-19.4690441337078
1998-04-30,12.827887225968777,29.79943254,-16.971545314031225
1998-05-31,12.5124906928901,38.82836464,-26.315873947109896
1998-06-30,11.483647658962962,36.90595596,-25.422308301037038
1998-07-31,11.23371224424178,34.34940352,-23.115691275758223
1998-08-31,10.660973505825828,34.00008678,-23.339113274174167
1998-09-30,10.035199392670403,30.50945988,-20.474260487329598
1998-10-31,9.401843677250351,39.01573705,-29.613893372749647
1998-11-30,8.818485486173621,29.37979844,-20.561312953826377
1998-12-31,8.248280513590172,40.18385389,-31.935573376409828
1999-01-31,6.659265994913197,33.06630886,-26.4070428650868
1999-02-28,5.48858334842707,34.09498099,-28.606397641572933
1999-03-31,5.971126365536089,35.33361596,-29.362489594463913
1999-04-30,6.087870718107329,35.65130215,-29.56343143189267
1999-05-31,6.244883927248852,31.44990014,-25.205016212751147
1999-06-30,6.331277021175252,28.83612352,-22.504846498824747
1999-07-31,6.087870718107329,27.23529676,-21.147426041892672
1999-08-31,6.957270335196046,26.54131361,-19.584043274803953
1999-09-30,7.698881852811082,25.3000638,-17.60118194718892
1999-10-31,8.32375985700556,18.30340064,-9.979640782994439
1999-11-30,8.805666382028313,22.74851525,-13.942848867971687
1999-12-31,9.316242047413631,14.80677596,-5.490533912586368
2000-01-31,9.620977504716087,14.35508532,-4.734107815283913
2000-02-29,9.927503663392354,13.05765055,-3.130146886607646
2000-03-31,9.75893985925138,16.48947855,-6.730538690748622
2000-04-30,9.363605196126713,14.12785682,-4.764251623873287
2000-05-31,9.49282887113849,13.10411449,-3.61128561886151
2000-06-30,9.750776334781204,20.18747005,-10.436693715218798
2000-07-31,10.985838506023883,16.93185192,-5.946013413976116
2000-08-31,10.127417794063245,15.40183436,-5.274416565936756
2000-09-30,9.777078639105394,18.11655537,-8.339476730894607
2000-10-31,9.404574437903898,19.92326295,-10.518688512096103
2000-11-30,8.887131290263225,16.5992381,-7.712106809736776
2000-12-31,8.150625155513842,18.49356908,-10.342943924486159
