Date,CPI yryrl,Bank Lending yryr%,CPI adjusted Bank Lending
1997-04-30,5.226074662967687,19.56033528,-14.334260617032314
1997-05-31,4.758984045001538,19.65907318,-14.900089134998462
1997-06-30,4.647031014959566,18.1353143,-13.488283285040435
1997-07-31,3.5506415702221448,17.38175249,-13.831110919777856
1997-08-31,3.714554735072518,13.96795333,-10.253398594927482
1997-09-30,3.617687971577877,11.38516106,-7.767473088422123
1997-10-31,3.8797389718404394,11.72562347,-7.8458844981595615
1997-11-30,3.853893117737476,11.92542407,-8.071530952262524
1997-12-31,3.908331381057772,11.08578939,-7.177458008942228
1998-01-31,3.686848980532973,10.99394273,-7.307093749467027
1998-02-28,3.714843352195029,11.42482879,-7.709985437804971
1998-03-31,3.3365493125300136,10.71003703,-7.373487717469986
1998-04-30,3.52715741162108,10.75292997,-7.22577255837892
1998-05-31,3.793420210656305,10.74527804,-6.9518578293436954
1998-06-30,4.003109038201645,13.26705609,-9.263947051798356
1998-07-31,4.180244012634386,13.22777546,-9.047531447365614
1998-08-31,4.255961444796255,16.94120932,-12.685247875203743
1998-09-30,4.586341675283643,19.16778164,-14.581439964716358
1998-10-31,4.308358610498651,18.73314662,-14.424788009501349
1998-11-30,3.694351518961177,18.20756044,-14.513208921038824
1998-12-31,3.5122135060613258,18.86712899,-15.354915483938676
1999-01-31,3.7641205233312616,18.48287153,-14.71875100666874
1999-02-28,3.6685336415634975,18.37790096,-14.709367318436504
1999-03-31,3.7477152784921977,19.04063362,-15.292918341507804
1999-04-30,3.207904018007252,19.22796708,-16.020063061992747
1999-05-31,2.758795654603989,18.74838102,-15.98958536539601
1999-06-30,2.8364600340000767,18.41977027,-15.583310235999924
1999-07-31,2.834023931852803,18.61854079,-15.784516858147198
1999-08-31,2.824321228098988,18.2335988,-15.409277571901011
1999-09-30,2.3851215788509927,17.89234949,-15.507227911149009
1999-10-31,2.296995923569563,17.16815421,-14.871158286430438
1999-11-30,2.977676392306436,16.4645192,-13.486842807693566
1999-12-31,3.1425091193818715,15.65803893,-12.515529810618128
2000-01-31,2.8791150390689317,15.01392262,-12.134807580931069
2000-02-29,2.9575455209679014,14.24300585,-11.285460329032098
2000-03-31,2.9500664435070023,13.01929084,-10.069224396492999
2000-04-30,2.859740714254429,12.400577,-9.540836285745572
2000-05-31,2.767472216614604,11.42950631,-8.662034093385397
2000-06-30,2.5105921117853285,11.09233241,-8.58174029821467
2000-07-31,2.7559155444898344,8.1707169,-5.414801355510166
2000-08-31,2.582400900293331,7.70073993,-5.11833902970667
2000-09-30,2.4938948393557507,7.67842517,-5.1845303306442485
2000-10-31,2.491823279475546,7.39745396,-4.905630680524454
2000-11-30,2.319905202777629,7.37537086,-5.0554656572223715
2000-12-31,2.2324201141272444,6.53062532,-4.2982052058727565
2001-01-31,2.5547330921885023,6.22824143,-3.6735083378114974
2001-02-28,2.3046287506474363,6.21652907,-3.9119003193525637
2001-03-31,2.1364822512005675,6.44291387,-4.306431618799433
2001-04-30,2.29518271803094,6.24170046,-3.9465177419690596
2001-05-31,2.127739840412694,6.39749066,-4.269750819587306
2001-06-30,2.206873381463569,6.47999118,-4.273117798536431
2001-07-31,2.1996813601924234,9.27539354,-7.075712179807576
2001-08-31,2.1156199920934977,10.44194456,-8.326324567906502
2001-09-30,2.112182500741755,10.5329259,-8.420743399258246
2001-10-31,2.270981624583796,9.94127828,-7.670296655416204
2001-11-30,2.187207480592801,9.776273,-7.589065519407199
2001-12-31,2.4233819165639723,10.74077257,-8.317390653436028
2002-01-31,2.411692447473798,11.23434735,-8.822654902526203
2002-02-28,2.570422639507828,10.64781637,-8.077393730492172
2002-03-31,2.72671263181876,10.61696962,-7.890256988181241
2002-04-30,2.402037019827343,10.58817115,-8.186134130172658
2002-05-31,2.715821867910285,10.76277813,-8.046956262089715
2002-06-30,2.7114898826313065,10.19961072,-7.488120837368694
2002-07-31,2.545881332506964,9.10834802,-6.5624666874930355
2002-08-31,2.6223195090161253,7.65962951,-5.037310000983875
2002-09-30,2.930902862352672,7.16111816,-4.230215297647328
2002-10-31,2.768069183170216,6.20799315,-3.439923966829784
2002-11-30,3.0771658666753687,5.92264636,-2.845480493324631
2002-12-31,2.9101542471509987,3.7679405,-0.8577862528490012
2003-01-31,2.8964842872888314,6.22527932,-3.328795032711169
2003-02-28,3.045920753170851,6.88912479,-3.843204036829149
2003-03-31,3.498219118109568,7.32822682,-3.830007701890432
2003-04-30,3.87946243134,7.83278528,-3.9533228486600005
2003-05-31,3.8644684973207353,7.30301234,-3.438543842679265
2003-06-30,3.934174919350879,6.99814731,-3.063972390649121
2003-07-31,4.305046010933759,7.37253455,-3.0674885390662414
2003-08-31,4.74969492797841,7.27348499,-2.5237900620215896
2003-09-30,4.963389926770242,7.28328965,-2.3198997232297582
2003-10-31,5.563900115578627,8.27636673,-2.7124666144213725
2003-11-30,5.8486136414994485,8.14587835,-2.2972647085005518
2003-12-31,6.20180559007811,9.08023542,-2.878429829921889
2004-01-31,7.63943718130944,5.92389827,1.7155389113094408
2004-02-29,9.35809305142286,4.97402379,4.3840692614228605
2004-03-31,10.339518903802547,4.15210908,6.187409823802548
2004-04-30,11.524478315064083,3.84470636,7.6797719550640835
2004-05-31,11.222352859623106,4.17914229,7.043210569623106
2004-06-30,11.072775716325028,4.03131487,7.041460846325028
2004-07-31,11.317473256403062,3.85303151,7.464441746403062
2004-08-31,10.56175520411447,3.67172516,6.8900300441144715
2004-09-30,11.256851806022157,3.39581144,7.861040366022157
2004-10-31,11.862798711766844,3.33913763,8.523661081766845
2004-11-30,11.038565186516095,4.06101494,6.9775502465160955
2004-12-31,10.752844783375757,3.90817285,6.844671933375757
2005-01-31,8.979499911621467,2.37340581,6.606094101621467
